ParkName,ParkCode,Season,LocationID,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,DETimeStamp
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,13,6,18,0.41,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,14,6.5,21,0.46,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,15,7,24,0.6,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,16,7.5,26,0.52,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,17,8,24,0.39,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,18,8.5,21,0.11,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,19,9,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM03,BUFFRMINVE2005NOV30,meters,20,9.5,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,1,0,8,0,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,2,2,20,0.19,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,3,4,17,0.26,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,4,6,16,0.22,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,5,8,16,0.21,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,6,10,23,0.33,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,7,12,24,0.41,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,8,14,26,0.48,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,9,16,23,0.45,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,10,18,26,0.41,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,11,20,21,0.27,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,12,22,6,0,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM04,BUFFRMINVE2005DEC01,meters,13,24,1,0,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,1,0,10,0,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,2,1,33,0.12,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,3,2,46,0.26,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,4,3,50,0.32,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,5,4,50,0.22,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,6,5,48,0.26,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,7,6,45,0.21,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,8,7,46,0.22,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,9,8,38,0.33,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,10,9,34,0.26,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,11,10,29,0.2,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,12,11,22,0.16,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,13,12,19,0.08,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,14,13,10,0.08,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM05,BUFFRMINVE2005DEC20,meters,15,14,2,0,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,1,1,6,0.11,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,2,3,15,0.47,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,3,5,20,0.54,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,4,7,26,0.56,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,5,9,30,0.67,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,6,11,30,0.58,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,7,13,22,0.49,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,8,15,16,0.3,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,9,17,16,0.31,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,10,19,12,0.35,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,11,21,12,0.28,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,12,23,14,0.31,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,13,25,14,0.48,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,14,27,14,0.38,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,15,29,14,0.32,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,16,31,10,0.25,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,17,33,10,0.17,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM06,BUFFRMINVE2005DEC14,meters,18,35,8,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,1,0,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,2,1,6,0.02,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,3,2,28,0.2,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM01,BUFFRMINVE2007JAN08,meters,4,3,22,0.28,big boulder moved to left,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,1,0,1,-0.05,tree roots creating on bank eddie,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,2,1,10,-0.02,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,3,2,26,0.01,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,4,3,44,0.03,,10/5/2020 11:46
Buffalo National River,BUFF,2005,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,meters,5,4,52,0.07,,10/5/2020 11:46
