ParkName,ParkCode,Season,LocationID,EventID,Units,GaugeSiteNo,GaugeLocation,Discharge_cms,Comments,DETimeStamp
Buffalo National River,BUFF,2006,BUFFRMINVEBM05,BUFFRMINVE2007FEB22,meters,7056000,"Buffalo River near St. Joe, AR",32.28,cms - St. Joe USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2011,BUFFRMINVEBM01,BUFFRMINVE2012Jan05,meters,7055646,"Buffalo River near Boxley, AR",1.16,cms - Boxley USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2011,BUFFRMINVEBM02,BUFFRMINVE2012Jan06,meters,7055680,"Buffalo River at Pruitt, AR",1.86,cms - Pruitt USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2011,BUFFRMINVEBM03,BUFFRMINVE2012Jan09,meters,7055680,"Buffalo River at Pruitt, AR",1.44,cms - Pruitt USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2011,BUFFRMINVEBM04,BUFFRMINVE2012Jan04,meters,7056000,"Buffalo River near St. Joe, AR",25.71,cms - St. Joe USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2011,BUFFRMINVEBM05,BUFFRMINVE2012Jan10,meters,7056000,"Buffalo River near St. Joe, AR",51.82,cms - St. Joe USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2011,BUFFRMINVEBM06,BUFFRMINVE2012Jan18,meters,7056700,"Buffalo River near Harriet, AR",24.49,cms - Harriett USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2011,BUFFRMINVEBT20,BUFFRMINVE2012Jan05,meters,7056515,"Bear Creek near Silver Hill, AR",0.05,cms - Bear Creek USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2013,BUFFRMINVEBM03,BUFFRMINVE2014Feb19,meters,7055680,"Buffalo River at Pruitt, AR",3.28,"Pruitt USGS gauge, Carver gauge = 6.7ft",10/8/2020 15:29
Buffalo National River,BUFF,2013,BUFFRMINVEBM04,BUFFRMINVE2013Dec04,meters,7056000,"Buffalo River near St. Joe, AR",4.44,St. Joe USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2013,BUFFRMINVEBT20,BUFFRMINVE2013Dec04,meters,7056515,"Bear Creek near Silver Hill, AR",0.16,Bear Creek USGS gauge,10/8/2020 15:29
Buffalo National River,BUFF,2015,BUFFRMINVEBM01,BUFFRMINVE2015Dec17,meters,7055646,"Buffalo River near Boxley, AR",1.35,,10/8/2020 15:29
Buffalo National River,BUFF,2015,BUFFRMINVEBM02,BUFFRMINVE2015Dec18,meters,7055680,"Buffalo River at Pruitt, AR",11.92,,10/8/2020 15:29
Buffalo National River,BUFF,2015,BUFFRMINVEBM03,BUFFRMINVE2015Dec18,meters,7055680,"Buffalo River at Pruitt, AR",11.92,BM03 2015 also entered as Pruitt (11.92) guage + Big Cr (0.17) guage,3/27/2023 12:31
Buffalo National River,BUFF,2015,BUFFRMINVEBM03,BUFFRMINVE2015Dec18,meters,14111470,Buffalo River at Pruitt + Big Creek near Mt. Judea AR,12.09,11.92 (Pruitt) + 0.17 (Big Creek),10/8/2020 15:29
Buffalo National River,BUFF,2015,BUFFRMINVEBM04,BUFFRMINVE2015Nov24,meters,7056000,"Buffalo River near St. Joe, AR",10.22,,10/8/2020 15:29
Buffalo National River,BUFF,2015,BUFFRMINVEBM05,BUFFRMINVE2015Dec17,meters,7056000,"Buffalo River near St. Joe, AR",10.22,,10/8/2020 15:29
Buffalo National River,BUFF,2015,BUFFRMINVEBM06,BUFFRMINVE2015Dec09,meters,7056700,"Buffalo River near Harriet, AR",14.26,,10/8/2020 15:29
Buffalo National River,BUFF,2015,BUFFRMINVEBT13,BUFFRMINVE2015Nov23,meters,7055790,"Big Creek near Mt. Judea, AR",0.17,,10/8/2020 15:29
Buffalo National River,BUFF,2015,BUFFRMINVEBT20,BUFFRMINVE2015Nov24,meters,7056515,"Bear Creek near Silver Hill, AR",0.12,,10/8/2020 15:29
Buffalo National River,BUFF,2017,BUFFRMINVEBM02,BUFFRMINVE2017Nov29,meters,7055680,"Buffalo River at Pruitt, AR",0.24,,10/8/2020 15:29
Buffalo National River,BUFF,2017,BUFFRMINVEBM03,BUFFRMINVE2017Dec01,meters,7055680,"Buffalo River at Pruitt, AR",0.24,Pruitt only; Big Cr guage no longer taking discharge,10/8/2020 15:29
Buffalo National River,BUFF,2017,BUFFRMINVEBM04,BUFFRMINVE2017Nov16,meters,7056000,"Buffalo River near St. Joe, AR",1.41,,10/8/2020 15:29
Buffalo National River,BUFF,2017,BUFFRMINVEBM05,BUFFRMINVE2017Nov30,meters,7056000,"Buffalo River near St. Joe, AR",1.49,,10/8/2020 15:29
Buffalo National River,BUFF,2017,BUFFRMINVEBM06,BUFFRMINVE2017Dec08,meters,7056700,"Buffalo River near Harriet, AR",2.01,,10/8/2020 15:29
Buffalo National River,BUFF,2017,BUFFRMINVEBT20,BUFFRMINVE2017Nov16,meters,7056515,"Bear Creek near Silver Hill, AR",0.29,,10/8/2020 15:29
Buffalo National River,BUFF,2019,BUFFRMINVEBM01,BUFFRMINVE2019Nov18,meters,7055646,"Buffalo River near Boxley, AR",2.37,,10/8/2020 15:29
Buffalo National River,BUFF,2019,BUFFRMINVEBM02,BUFFRMINVE2019Nov20,meters,7055680,"Buffalo River at Pruitt, AR",6.54,,10/8/2020 15:29
Buffalo National River,BUFF,2019,BUFFRMINVEBM03,BUFFRMINVE2019Nov20,meters,7055680,"Buffalo River at Pruitt, AR",6.54,Pruitt only; Big Cr guage no longer taking data,10/8/2020 15:29
Buffalo National River,BUFF,2019,BUFFRMINVEBM04,BUFFRMINVE2019Nov18,meters,7056000,"Buffalo River near St. Joe, AR",30.29,,10/8/2020 15:29
Buffalo National River,BUFF,2019,BUFFRMINVEBM05,BUFFRMINVE2019Nov21,meters,7056000,"Buffalo River near St. Joe, AR",30.29,,10/8/2020 15:29
Buffalo National River,BUFF,2019,BUFFRMINVEBM06,BUFFRMINVE2019Nov19,meters,7056700,"Buffalo River near Harriet, AR",30.58,,10/8/2020 15:29
Buffalo National River,BUFF,2019,BUFFRMINVEBT20,BUFFRMINVE2019Nov05,meters,7056515,"Bear Creek near Silver Hill, AR",0.64,,10/8/2020 15:29
Buffalo National River,BUFF,2021,BUFFRMINVEBM01,BUFFRMINVE2021Nov10,meters,7055646,"Buffalo River near Boxley, AR",0.46,,3/6/2023 8:20
Buffalo National River,BUFF,2021,BUFFRMINVEBM02,BUFFRMINVE2021Nov09,meters,7055680,"Buffalo River at Pruitt, AR",0.85,,3/6/2023 14:24
Buffalo National River,BUFF,2021,BUFFRMINVEBM03,BUFFRMINVE2021Nov08,meters,7055680,"Buffalo River at Pruitt, AR",0.94,Pruitt guage only; Big Cr guage no longer collecting data,3/7/2023 7:33
Buffalo National River,BUFF,2021,BUFFRMINVEBM04,BUFFRMINVE2021Nov03,meters,7056000,"Buffalo River near St. Joe, AR",5.77,,3/7/2023 8:14
Buffalo National River,BUFF,2021,BUFFRMINVEBM05,BUFFRMINVE2021Nov02,meters,7056000,"Buffalo River near St. Joe, AR",6.28,,3/7/2023 9:19
Buffalo National River,BUFF,2021,BUFFRMINVEBM06,BUFFRMINVE2021Nov01,meters,7056700,"Buffalo River near Harriet, AR",8.29,,3/7/2023 9:25
Buffalo National River,BUFF,2021,BUFFRMINVEBT20,BUFFRMINVE2021Nov03,meters,7056515,"Bear Creek near Silver Hill, AR",0.3,,3/7/2023 13:05
