"ParkName","ParkCode","Season","LocationID","EventID","RiffleNo","Replicate","Width","Depth","Velocity","Substrate","Substrate_mm","Embeddedness","Embeddedness%","Vegetation","Vegetation%","Algae","Algae%","Periphyton","Periphyton%","Deposition","Deposition%","Organics","Organics%","DETimeStamp"
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM02","OZARRMINVE2006JAN12",1,"L",22.00,18.00,0.33,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM02","OZARRMINVE2006JAN12",1,"M",21.60,34.00,0.67,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM02","OZARRMINVE2006JAN12",1,"R",21.80,18.00,0.13,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM02","OZARRMINVE2006JAN12",2,"L",9.00,35.00,0.63,13.00,27.30,2.00,25.00,0.00,0.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM02","OZARRMINVE2006JAN12",2,"M",8.00,40.00,1.08,14.00,38.50,1.00,5.00,0.00,0.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM02","OZARRMINVE2006JAN12",2,"R",13.50,37.00,0.86,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM02","OZARRMINVE2006JAN12",3,"L",10.40,28.00,0.59,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,1.00,5.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM02","OZARRMINVE2006JAN12",3,"M",9.00,34.00,0.53,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM02","OZARRMINVE2006JAN12",3,"R",9.70,48.00,1.12,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM03","OZARRMINVE2006JAN10",1,"L",10.50,30.00,0.88,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,1.00,5.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM03","OZARRMINVE2006JAN10",1,"M",13.00,32.00,1.04,12.00,19.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM03","OZARRMINVE2006JAN10",1,"R",9.40,40.00,2.00,14.00,38.50,2.00,25.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM03","OZARRMINVE2006JAN10",2,"L",7.50,52.00,1.20,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,1.00,5.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM03","OZARRMINVE2006JAN10",2,"M",8.10,52.00,1.22,14.00,38.50,2.00,25.00,0.00,0.00,1.00,5.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM03","OZARRMINVE2006JAN10",2,"R",12.30,56.00,1.28,12.00,19.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM03","OZARRMINVE2006JAN10",3,"L",18.00,20.00,0.34,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM03","OZARRMINVE2006JAN10",3,"M",21.30,26.00,0.68,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,3.00,57.50,10/5/2020 11:45:57
"Ozark National Scenic Riverways - RIVERS","OZAR",2005,"OZARRMINVEJM03","OZARRMINVE2006JAN10",3,"R",20.00,40.00,0.48,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM01","BUFFRMINVE2007JAN08",1,"L",24.00,42.00,0.77,15.00,54.50,3.00,57.50,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM01","BUFFRMINVE2007JAN08",1,"M",20.00,43.00,0.73,14.00,38.50,2.00,25.00,0.00,0.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM01","BUFFRMINVE2007JAN08",1,"R",20.00,52.00,0.78,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM01","BUFFRMINVE2007JAN08",2,"L",28.00,27.00,0.63,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM01","BUFFRMINVE2007JAN08",2,"M",36.00,50.00,1.10,15.00,54.50,2.00,25.00,0.00,0.00,1.00,5.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM01","BUFFRMINVE2007JAN08",2,"R",32.00,36.00,0.50,14.00,38.50,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM01","BUFFRMINVE2007JAN08",3,"L",16.20,26.00,0.76,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM01","BUFFRMINVE2007JAN08",3,"M",11.20,42.00,1.15,15.00,54.50,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM01","BUFFRMINVE2007JAN08",3,"R",9.10,22.00,0.75,15.00,54.50,2.00,25.00,0.00,0.00,1.00,5.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM02","BUFFRMINVE2007JAN09",1,"L",18.00,36.00,0.32,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM02","BUFFRMINVE2007JAN09",1,"M",20.00,26.00,0.56,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM02","BUFFRMINVE2007JAN09",1,"R",38.00,37.00,0.93,14.00,38.50,2.00,25.00,2.00,25.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM02","BUFFRMINVE2007JAN09",2,"L",37.00,41.00,0.83,13.00,27.30,2.00,25.00,2.00,25.00,2.00,25.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM02","BUFFRMINVE2007JAN09",2,"M",41.00,43.00,0.99,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,1.00,5.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM02","BUFFRMINVE2007JAN09",2,"R",32.00,42.00,0.98,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM02","BUFFRMINVE2007JAN09",3,"L",38.00,46.00,0.83,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM02","BUFFRMINVE2007JAN09",3,"M",37.00,18.00,0.44,14.00,38.50,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM02","BUFFRMINVE2007JAN09",3,"R",42.00,30.00,0.46,15.00,54.50,2.00,25.00,1.00,5.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM03","BUFFRMINVE2007FEB21",1,"L",30.10,56.00,1.14,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM03","BUFFRMINVE2007FEB21",1,"M",32.00,48.00,1.13,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM03","BUFFRMINVE2007FEB21",1,"R",32.50,40.00,1.10,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM03","BUFFRMINVE2007FEB21",2,"L",33.00,42.00,1.20,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM03","BUFFRMINVE2007FEB21",2,"M",32.50,38.00,1.01,14.00,38.50,2.00,25.00,0.00,0.00,1.00,5.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM03","BUFFRMINVE2007FEB21",2,"R",31.00,54.00,1.14,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM03","BUFFRMINVE2007FEB21",3,"L",23.20,46.00,1.09,14.00,38.50,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM03","BUFFRMINVE2007FEB21",3,"M",26.60,54.00,0.94,15.00,54.50,2.00,25.00,1.00,5.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM03","BUFFRMINVE2007FEB21",3,"R",35.50,54.00,1.30,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM04","BUFFRMINVE2007FEB09",1,"L",32.40,18.00,0.60,14.00,38.50,2.00,25.00,2.00,25.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM04","BUFFRMINVE2007FEB09",1,"M",45.30,30.00,0.96,14.00,38.50,2.00,25.00,2.00,25.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM04","BUFFRMINVE2007FEB09",1,"R",43.00,44.00,0.77,14.00,38.50,2.00,25.00,2.00,25.00,0.00,0.00,2.00,25.00,2.00,25.00,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM04","BUFFRMINVE2007FEB09",2,"L",54.80,28.00,0.82,14.00,38.50,2.00,25.00,2.00,25.00,0.00,0.00,2.00,25.00,3.00,57.50,2.00,25.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM04","BUFFRMINVE2007FEB09",2,"M",55.60,44.00,0.97,14.00,38.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,1.00,5.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM04","BUFFRMINVE2007FEB09",2,"R",58.00,50.00,1.13,15.00,54.50,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,1.00,5.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM04","BUFFRMINVE2007FEB09",3,"L",30.20,44.00,0.65,14.00,38.50,2.00,25.00,2.00,25.00,0.00,0.00,2.00,25.00,2.00,25.00,3.00,57.50,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM04","BUFFRMINVE2007FEB09",3,"M",28.20,42.00,0.81,14.00,38.50,2.00,25.00,2.00,25.00,0.00,0.00,2.00,25.00,2.00,25.00,3.00,57.50,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM04","BUFFRMINVE2007FEB09",3,"R",26.80,50.00,0.96,14.00,38.50,2.00,25.00,0.00,0.00,1.00,5.00,2.00,25.00,1.00,5.00,3.00,57.50,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM05","BUFFRMINVE2007FEB22",1,"L",20.00,50.00,1.24,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,1.00,5.00,1.00,5.00,10/5/2020 11:45:57
"Buffalo National River","BUFF",2006,"BUFFRMINVEBM05","BUFFRMINVE2007FEB22",1,"M",20.00,54.00,1.29,13.00,27.30,2.00,25.00,0.00,0.00,0.00,0.00,2.00,25.00,2.00,25.00,1.00,5.00,10/5/2020 11:45:57
