ParkName,ParkCode,LocationID,PeriodID,EventID,GaugeSiteNo,StreamName,GaugeLocation,Discharge_cms,Comments,Units
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan05,7055646,Buffalo River,Buffalo River near Boxley. AR,1.16,cms - Boxley USGS gauge,meters
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec17,7055646,Buffalo River,Buffalo River near Boxley. AR,1.35,,meters
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov18,7055646,Buffalo River,Buffalo River near Boxley. AR,2.37,,meters
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov10,7055646,Buffalo River,Buffalo River near Boxley. AR,0.46,,meters
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov14,7055646,Buffalo River,Buffalo River near Boxley. AR,0.22,,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan06,7055680,Buffalo River,Buffalo River at Pruitt. AR,1.86,cms - Pruitt USGS gauge,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec18,7055680,Buffalo River,Buffalo River at Pruitt. AR,11.92,,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2017Nov15,BUFFRMINVE2017Nov29,7055680,Buffalo River,Buffalo River at Pruitt. AR,0.24,,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov20,7055680,Buffalo River,Buffalo River at Pruitt. AR,6.54,,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov09,7055680,Buffalo River,Buffalo River at Pruitt. AR,0.85,,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov02,7055680,Buffalo River,Buffalo River at Pruitt. AR,1.15,,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan09,7055680,Buffalo River,Buffalo River at Pruitt. AR,1.44,cms - Pruitt USGS gauge,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2013Nov21,BUFFRMINVE2014Feb19,7055680,Buffalo River,Buffalo River at Pruitt. AR,3.28,Pruitt USGS gauge. Carver gauge = 6.7ft,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2015Nov23,BUFFRMINVE2015Dec18,7055680,Buffalo River,Buffalo River at Pruitt. AR,11.92,BM03 2015 also entered as Pruitt (11.92) gauge + Big Cr (0.17) gauge,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2017Nov15,BUFFRMINVE2017Dec01,7055680,Buffalo River,Buffalo River at Pruitt. AR,0.24,Pruitt only; Big Cr gauge no longer taking discharge,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2019Nov04,BUFFRMINVE2019Nov20,7055680,Buffalo River,Buffalo River at Pruitt. AR,6.54,Pruitt only; Big Cr gauge no longer taking data,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2021Nov01,BUFFRMINVE2021Nov08,7055680,Buffalo River,Buffalo River at Pruitt. AR,0.94,Pruitt gauge only; Big Cr gauge no longer collecting data,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2023Nov01,BUFFRMINVE2023Nov02,7055680,Buffalo River,Buffalo River at Pruitt. AR,1.08,,meters
Buffalo National River,BUFF,BUFFRMINVEBT13,BUFFRMINVE2015Nov23,BUFFRMINVE2015Nov23,7055790,Big Creek,Big Creek near Mt. Judea. AR,0.17,,meters
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan04,7056000,Buffalo River,Buffalo River near St. Joe. AR,25.71,cms - St. Joe USGS gauge,meters
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2013Nov21,BUFFRMINVE2013Dec04,7056000,Buffalo River,Buffalo River near St. Joe. AR,4.44,St. Joe USGS gauge,meters
