ParkName,ParkCode,LocationID,PeriodID,EventID,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,1,0.00,8.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,2,2.00,20.00,0.19,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,3,4.00,17.00,0.26,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,4,6.00,16.00,0.22,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,5,8.00,16.00,0.21,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,6,10.00,23.00,0.33,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,7,12.00,24.00,0.41,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,8,14.00,26.00,0.48,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,9,16.00,23.00,0.45,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,10,18.00,26.00,0.41,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,11,20.00,21.00,0.27,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,12,22.00,6.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,13,24.00,1.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,1,1.00,6.00,0.11,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,2,3.00,15.00,0.47,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,3,5.00,20.00,0.54,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,4,7.00,26.00,0.56,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,5,9.00,30.00,0.67,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,6,11.00,30.00,0.58,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,7,13.00,22.00,0.49,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,8,15.00,16.00,0.30,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,9,17.00,16.00,0.31,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,10,19.00,12.00,0.35,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,11,21.00,12.00,0.28,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,12,23.00,14.00,0.31,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,13,25.00,14.00,0.48,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,14,27.00,14.00,0.38,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,15,29.00,14.00,0.32,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,16,31.00,10.00,0.25,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,17,33.00,10.00,0.17,
Buffalo National River,BUFF,BUFFRMINVEBM06,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC14,18,35.00,8.00,0.09,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,1,0.00,10.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,2,1.00,33.00,0.12,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,3,2.00,46.00,0.26,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,4,3.00,50.00,0.32,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,5,4.00,50.00,0.22,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,6,5.00,48.00,0.26,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,7,6.00,45.00,0.21,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,8,7.00,46.00,0.22,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,9,8.00,38.00,0.33,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,10,9.00,34.00,0.26,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,11,10.00,29.00,0.20,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,12,11.00,22.00,0.16,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,13,12.00,19.00,0.08,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,14,13.00,10.00,0.08,
Buffalo National River,BUFF,BUFFRMINVEBM05,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC20,15,14.00,2.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,1,0.00,1.00,-0.05,tree roots creating on bank eddie
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,2,1.00,10.00,-0.02,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,3,2.00,26.00,0.01,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,4,3.00,44.00,0.03,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,5,4.00,52.00,0.07,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,6,5.00,60.00,0.09,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,7,6.00,62.00,0.13,
