TaxonCode,TSN,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
BAETAN,-999,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Anafroptilum,6.3,C,Collectors
BAETAN,-999,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Anafroptilum,6.3,Sc,Scrapers
CRANBS,-999,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,(Stygobromus/Bactrurus),,C,Collectors
GOMPPH,-999,Arthropoda,Insecta,Odonata,Gomphidae,,Phanogomphus,,Pr,Predators
HYDPHL,-999,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius/Limnohydrobius,,C,Collectors
HYDPHL,-999,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius/Limnohydrobius,,Pr,Predators
LIMO,-999,Arthropoda,Insecta,Diptera,Limoniidae,,,,Sh,Shredders
LIMOGIE,-999,Arthropoda,Insecta,Diptera,Limoniidae,,Gonomyia/Idiocera/Ellipteroides,,C,Collectors
PLAOHP,-999,Mollusca,Gastropoda,,Planorbidae,,Helisoma/Planorbella,,Sc,Scrapers
PSYCPE,-999,Arthropoda,Insecta,Diptera,Psychodidae,,Pericomaini,,C,Collectors
PSYCPS,-999,Arthropoda,Insecta,Diptera,Psychodidae,,Psychodini,9.9,C,Collectors
STRAOH,-999,Arthropoda,Insecta,Diptera,Stratiomyidae,,Odontomyia/Hedriodiscus,,Sc,Scrapers
HYDD,50844,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,,,,Pr,Predators
HYDDHY,50845,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,,Hydra,5,Pr,Predators
PLANPH,54535,Platyhelminthes,Rhabditophora,Tricladida,Planariidae,,Phagocata,,Pr,Predators
BRAN,69169,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,,,6,C,Collectors
HIR,69290,Annelida,Clitellata,Hirudinida,,,,10,C,Collectors
GLSS,69380,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,,,7,Pr,Predators
ERPO,69438,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,,,7.8,Pa,Parasites
VIVI,70304,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,,,6,Sc,Scrapers
HYDR,70493,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,,,7,Sc,Scrapers
HYDRPR,70505,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,,Probythinella,,Sc,Scrapers
EMMEFO,70605,Mollusca,Gastropoda,Littorinimorpha,Emmericiidae,,Fontigens,,Sc,Scrapers
AMNIAM,70747,Mollusca,Gastropoda,Littorinimorpha,Amnicolidae,,Amnicola,4.8,Sc,Scrapers
PLEU,71541,Mollusca,Gastropoda,Neotaenioglossa,Pleuroceridae,,,,Sc,Scrapers
PLEUPL,71549,Mollusca,Gastropoda,,Pleuroceridae,,Pleurocera,3.7,Sc,Scrapers
PLEUEL,71654,Mollusca,Gastropoda,,Pleuroceridae,,Elimia,2.5,Sc,Scrapers
LYMN,76483,Mollusca,Gastropoda,,Lymnaeidae,,,6,Sc,Scrapers
LYMNGA,76497,Mollusca,Gastropoda,,Lymnaeidae,,Galba,6,Sc,Scrapers
LYMNPS,76528,Mollusca,Gastropoda,,Lymnaeidae,,Pseudosuccinea,7.2,Sc,Scrapers
PLAOFE,76569,Mollusca,Gastropoda,,Planorbidae,,Ferrissia,6.9,Sc,Scrapers
PLAO,76591,Mollusca,Gastropoda,,Planorbidae,,,7,Sc,Scrapers
PLAOGY,76592,Mollusca,Gastropoda,,Planorbidae,,Gyraulus,8,Sc,Scrapers
PLAOHE,76599,Mollusca,Gastropoda,,Planorbidae,,Helisoma,6,Sc,Scrapers
PLAOME,76626,Mollusca,Gastropoda,,Planorbidae,,Menetus,8.4,Sc,Scrapers
PHYSPY,76698,Mollusca,Gastropoda,,Physidae,,Physella,9.1,Sc,Scrapers
BIVAL,79118,Mollusca,Bivalvia,,,,,8,F,Filterers
UNIO,79913,Mollusca,Bivalvia,Unionida,Unionidae,,,0,F,Filterers
UNIOLA,79986,Mollusca,Bivalvia,Unionida,Unionidae,,Lampsilis,0,F,Filterers
UNIOCY,80084,Mollusca,Bivalvia,Unionida,Unionidae,,Cyclonaias,0,F,Filterers
UNIOST,80150,Mollusca,Bivalvia,Unionida,Unionidae,,Strophitus,0,F,Filterers
CYRECO,81385,Mollusca,Bivalvia,Venerida,Cyrenidae,,Corbicula,6.3,F,Filterers
SPHA,81389,Mollusca,Bivalvia,Veneroida,Sphaeriidae,,,6,F,Filterers
SPHASP,81391,Mollusca,Bivalvia,Veneroida,Sphaeriidae,,Sphaerium,7.7,F,Filterers
SPHAPI,81400,Mollusca,Bivalvia,Veneroida,Sphaeriidae,,Pisidium,6.8,F,Filterers
TROM,82769,Arthropoda,Arachnida,Trombidiformes,Hydrachnidiae,,,5.7,Pr,Predators
TROM,82769,Arthropoda,Arachnida,Trombidiformes,Hydrachnidiae,,,5.7,Pa,Parasites
CLAD,83832,Arthropoda,Branchiopoda,Diplostraca,Cladocera,,,8,F,Filterers
CLAD,83832,Arthropoda,Branchiopoda,Diplostraca,Cladocera,,,8,C,Collectors
ASELLI,92666,Arthropoda,Malacostraca,Isopoda,Asellidae,,Lirceus,7.7,C,Collectors
ASELCA,92686,Arthropoda,Malacostraca,Isopoda,Asellidae,,Caecidotea,8,C,Collectors
GAMMGA,93773,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,Gammarus,6,C,Collectors
CRANST,93861,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,Stygobromus,,C,Collectors
HYALHY,94025,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,,Hyalella,6.8,C,Collectors
CRANCR,95081,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,Crangonyx,8,C,Collectors
PODUPO,99240,Arthropoda,Collembola,Poduromorpha,Poduridae,,Podura,,C,Collectors
ENTO,99643,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,,,,C,Collectors
SMIN,100258,Arthropoda,Collembola,Symphypleona,Sminthuridae,,,,C,Collectors
HEPT,100504,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,4,F,Filterers
HEPTSE,100507,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,2.3,Sc,Scrapers
HEPTSE,100507,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,2.3,C,Collectors
HEPTRH,100572,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Rhithrogena,0,C,Collectors
HEPTHE,100602,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,2.4,Sc,Scrapers
HEPTHE,100602,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,2.4,C,Collectors
HEPTEP,100626,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Epeorus,1.3,C,Collectors
HEPTLE,100676,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,1.2,C,Collectors
HEPTLE,100676,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,1.2,Sc,Scrapers
HEPTST,100713,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenacron,7.1,C,Collectors
HEPTMC,100744,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,5,C,Collectors
HEPTMC,100744,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,5,Sc,Scrapers
BAET,100775,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,4,C,Collectors
BAETHE,100794,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Heterocloeon,3.6,Sc,Scrapers
BAETBA,100800,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Baetis,2.8,C,Collectors
BAETAC,100801,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Acentrella,3.6,C,Collectors
BAETPA,100899,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Paracloeodes,8.7,Sc,Scrapers
BAETCA,100903,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Callibaetis,5.6,C,Collectors
SIPHSI,100953,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,,Siphlonurus,2.6,C,Collectors
SIPHSI,100953,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,,Siphlonurus,2.6,Sc,Scrapers
AMELAM,100996,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,2.1,Sc,Scrapers
AMELAM,100996,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,2.1,C,Collectors
ISONIS,101041,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,,Isonychia,3.8,F,Filterers
