TaxonCode,TSN,Taxon,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
BAETAN,-999,Anafroptilum,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Anafroptilum,6.3,C,Collectors
BAETAN,-999,Anafroptilum,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Anafroptilum,6.3,Sc,Scrapers
CRANBS,-999,Crangonyctidae,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,(Stygobromus/Bactrurus),,C,Collectors
GOMPPH,-999,Phanogomphus,Arthropoda,Insecta,Odonata,Gomphidae,,Phanogomphus,,Pr,Predators
HYDPHL,-999,Hydrophilidae,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius/Limnohydrobius,,C,Collectors
HYDPHL,-999,Hydrophilidae,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius/Limnohydrobius,,Pr,Predators
LIMO,-999,Limoniidae,Arthropoda,Insecta,Diptera,Limoniidae,,,,Sh,Shredders
LIMOGIE,-999,Limoniidae,Arthropoda,Insecta,Diptera,Limoniidae,,Gonomyia/Idiocera/Ellipteroides,,C,Collectors
PLAOHP,-999,Planorbidae,Mollusca,Gastropoda,,Planorbidae,,Helisoma/Planorbella,,Sc,Scrapers
PSYCPE,-999,Pericomaini,Arthropoda,Insecta,Diptera,Psychodidae,,Pericomaini,,C,Collectors
PSYCPS,-999,Psychodini,Arthropoda,Insecta,Diptera,Psychodidae,,Psychodini,9.9,C,Collectors
STRAOH,-999,Stratiomyidae,Arthropoda,Insecta,Diptera,Stratiomyidae,,Odontomyia/Hedriodiscus,,Sc,Scrapers
HYDD,50844,Hydridae,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,,,,Pr,Predators
HYDDHY,50845,Hydra,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,,Hydra,5,Pr,Predators
PLANPH,54535,Phagocata,Platyhelminthes,Rhabditophora,Tricladida,Planariidae,,Phagocata,,Pr,Predators
BRAN,69169,Branchiobdellidae,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,,,6,C,Collectors
HIR,69290,Hirudinida,Annelida,Clitellata,Hirudinida,,,,10,C,Collectors
GLSS,69380,Glossiphoniidae,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,,,7,Pr,Predators
ERPO,69438,Erpobdellidae,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,,,7.8,Pa,Parasites
VIVI,70304,Viviparidae,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,,,6,Sc,Scrapers
HYDR,70493,Hydrobiidae,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,,,7,Sc,Scrapers
HYDRPR,70505,Probythinella,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,,Probythinella,,Sc,Scrapers
EMMEFO,70605,Fontigens,Mollusca,Gastropoda,Littorinimorpha,Emmericiidae,,Fontigens,,Sc,Scrapers
AMNIAM,70747,Amnicola,Mollusca,Gastropoda,Littorinimorpha,Amnicolidae,,Amnicola,4.8,Sc,Scrapers
PLEU,71541,Pleuroceridae,Mollusca,Gastropoda,Neotaenioglossa,Pleuroceridae,,,,Sc,Scrapers
PLEUPL,71549,Pleurocera,Mollusca,Gastropoda,,Pleuroceridae,,Pleurocera,3.7,Sc,Scrapers
PLEUEL,71654,Elimia,Mollusca,Gastropoda,,Pleuroceridae,,Elimia,2.5,Sc,Scrapers
LYMN,76483,Lymnaeidae,Mollusca,Gastropoda,,Lymnaeidae,,,6,Sc,Scrapers
LYMNGA,76497,Galba,Mollusca,Gastropoda,,Lymnaeidae,,Galba,6,Sc,Scrapers
LYMNPS,76528,Pseudosuccinea,Mollusca,Gastropoda,,Lymnaeidae,,Pseudosuccinea,7.2,Sc,Scrapers
PLAOFE,76569,Ferrissia,Mollusca,Gastropoda,,Planorbidae,,Ferrissia,6.9,Sc,Scrapers
PLAO,76591,Planorbidae,Mollusca,Gastropoda,,Planorbidae,,,7,Sc,Scrapers
PLAOGY,76592,Gyraulus,Mollusca,Gastropoda,,Planorbidae,,Gyraulus,8,Sc,Scrapers
PLAOHE,76599,Helisoma,Mollusca,Gastropoda,,Planorbidae,,Helisoma,6,Sc,Scrapers
PLAOME,76626,Menetus,Mollusca,Gastropoda,,Planorbidae,,Menetus,8.4,Sc,Scrapers
PHYSPY,76698,Physella,Mollusca,Gastropoda,,Physidae,,Physella,9.1,Sc,Scrapers
BIVAL,79118,Bivalvia,Mollusca,Bivalvia,,,,,8,F,Filterers
UNIO,79913,Unionidae,Mollusca,Bivalvia,Unionida,Unionidae,,,0,F,Filterers
UNIOLA,79986,Lampsilis,Mollusca,Bivalvia,Unionida,Unionidae,,Lampsilis,0,F,Filterers
UNIOCY,80084,Cyclonaias,Mollusca,Bivalvia,Unionida,Unionidae,,Cyclonaias,0,F,Filterers
UNIOST,80150,Strophitus,Mollusca,Bivalvia,Unionida,Unionidae,,Strophitus,0,F,Filterers
CYRECO,81385,Corbicula,Mollusca,Bivalvia,Venerida,Cyrenidae,,Corbicula,6.3,F,Filterers
SPHA,81389,Sphaeriidae,Mollusca,Bivalvia,Veneroida,Sphaeriidae,,,6,F,Filterers
SPHASP,81391,Sphaerium,Mollusca,Bivalvia,Veneroida,Sphaeriidae,,Sphaerium,7.7,F,Filterers
