Status,ReachID,ActiveDates,startUTMZone,XstartUTM,YstartUTM,startUTMDatum,XstartDD,YstartDD,startDDDatum,LocationID,dwcType,dwcBasisOfRecord
Active,HOMELOW01,2004 - Present,14N,684033.9984,4462184.586,EPSG:32614,-96.835,40.29,EPSG:4326,NA,Event,MachineObservation
Retired,HOMEUPP01,2004,14N,683556.2183,4461639.216,EPSG:32614,-96.841,40.285,EPSG:4326,NA,Event,MachineObservation
Active,PIPELOW01,2001 - Present,14N,714317.9134,4877116.472,EPSG:32614,-96.326,44.016,EPSG:4326,NA,Event,MachineObservation
Retired,PIPEMID01,2001 - 2006,14N,714488.4427,4876962.659,EPSG:32614,-96.324,44.014,EPSG:4326,NA,Event,MachineObservation
Retired,PIPEUPP01,2001 - 2006,14N,714726.4025,4877069,EPSG:32614,-96.321,44.015,EPSG:4326,NA,Event,MachineObservation
Active,PIPEABV01,2001 - Present,14N,714864.1333,4877045.839,EPSG:32614,-96.319,44.015,EPSG:4326,NA,Event,MachineObservation
Active,TAPRMID12,2001 - Present,14N,717828.5556,4255108.882,EPSG:32614,-96.505,38.418,EPSG:4326,NA,Event,MachineObservation
Active,TAPRMID10,2001 - Present,14N,715113.3555,4254565.382,EPSG:32614,-96.536,38.413,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRUPP10,2002,14N,715584.9406,4255016.879,EPSG:32614,-96.531,38.417,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRMID05,2002,14N,713134.5987,4254410.277,EPSG:32614,-96.559,38.413,EPSG:4326,NA,Event,MachineObservation
Active,TAPRMID04,2001 - Present,14N,712782.9535,4254951.462,EPSG:32614,-96.563,38.417,EPSG:4326,NA,Event,MachineObservation
Active,TAPRLOW24,2001 - Present,14N,710984.8705,4254233.316,EPSG:32614,-96.584,38.411,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRMID24,2001 - 2006,14N,710783.5478,4255542.609,EPSG:32614,-96.585,38.423,EPSG:4326,NA,Event,MachineObservation
Active,TAPRLOW02,2001 - Present,14N,713259.9285,4256317.881,EPSG:32614,-96.557,38.43,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRMID02,2001 - 2005,14N,712356.9707,4256345.566,EPSG:32614,-96.567,38.43,EPSG:4326,NA,Event,MachineObservation
Active,TAPRMID23,2001 - Present,14N,709942.1007,4257774.032,EPSG:32614,-96.594,38.444,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRUPP01,2001 - 2005,14N,711575.245,4258285.761,EPSG:32614,-96.576,38.448,EPSG:4326,NA,Event,MachineObservation
Active,TAPRMID01,2001 - Present,14N,712854.1615,4257459.787,EPSG:32614,-96.561,38.44,EPSG:4326,NA,Event,MachineObservation
Active,TAPRLOW01,2001 - Present,14N,713236.2552,4257163.323,EPSG:32614,-96.557,38.437,EPSG:4326,NA,Event,MachineObservation
Active,TAPRLOW22,2001 - Present,14N,712420.9492,4259981.309,EPSG:32614,-96.565,38.463,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRUPL22,2001 - 2005,14N,711749.0051,4260196.105,EPSG:32614,-96.573,38.465,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRUPR22,2001 - 2005,14N,711476.1491,4259678.701,EPSG:32614,-96.576,38.46,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRMID18,2002,14N,710058.6258,4262485.658,EPSG:32614,-96.592,38.486,EPSG:4326,NA,Event,MachineObservation
Active,TAPRLOW34,2001 - Present,14N,709765.5107,4263504.856,EPSG:32614,-96.595,38.495,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRUPP36,2001 - 2005,14N,710062.0953,4263216.844,EPSG:32614,-96.591,38.493,EPSG:4326,NA,Event,MachineObservation
Active,TAPRUPP17,2002 - Present,14N,710455.1183,4263527.486,EPSG:32614,-96.587,38.495,EPSG:4326,NA,Event,MachineObservation
Retired,TAPRLOW17,2002,14N,710537.0128,4263231.822,EPSG:32614,-96.586,38.493,EPSG:4326,NA,Event,MachineObservation
Active,TAPRMID36,2001 - Present,14N,710560.3498,4263172.229,EPSG:32614,-96.586,38.492,EPSG:4326,NA,Event,MachineObservation
Active,TAPRLOW35,2006 - Present,14N,713915.6602,4257045.389,EPSG:32614,-96.549,38.436,EPSG:4326,NA,Event,MachineObservation
Active,EFMOUPP01,2014 - Present,15N,645225.6405,4772312.889,EPSG:32615,-91.216,43.09,EPSG:4326,NA,Event,MachineObservation
Active,HEHOLOW01,2008 - Present,15N,637479.0984,4614400.074,EPSG:32615,-91.349,41.67,EPSG:4326,NA,Event,MachineObservation
Active,HEHOUPP02,2021 - Present,15N,637116.8642,4614460.249,EPSG:32615,-91.353,41.67,EPSG:4326,NA,Event,MachineObservation
Active,GWCALOW03,2005 - Present,15N,379089.4976,4094607.693,EPSG:32615,-94.359,36.99,EPSG:4326,NA,Event,MachineObservation
Active,GWCALOW02,2005 - Present,15N,379318.0412,4094472.159,EPSG:32615,-94.356,36.989,EPSG:4326,NA,Event,MachineObservation
Active,GWCALOW01,2005 - Present,15N,379401.5086,4094355.844,EPSG:32615,-94.355,36.988,EPSG:4326,NA,Event,MachineObservation
Active,HOSPLOW02,2009 - Present,15N,489916.9361,3819517.745,EPSG:32615,-93.11,34.517,EPSG:4326,NA,Event,MachineObservation
Active,HOSPLOW01,2009 - Present,15N,496895.1779,3820679.132,EPSG:32615,-93.034,34.528,EPSG:4326,NA,Event,MachineObservation
Active,WICRLOW03,2006 - Present,15N,463235.0373,4105846.001,EPSG:32615,-93.414,37.098,EPSG:4326,NA,Event,MachineObservation
Active,WICRLOW02,2007 - Present,15N,464175.9845,4104715.188,EPSG:32615,-93.403,37.088,EPSG:4326,NA,Event,MachineObservation
Active,WICRLOW04,2006 - Present,15N,462681.0912,4103957.123,EPSG:32615,-93.42,37.081,EPSG:4326,NA,Event,MachineObservation
Active,CURRM01,2005 - Present,15N,623494.5755,4142096.589,EPSG:32615,-91.604,37.417,EPSG:4326,OZAR_RMFISH_CM01,Event,MachineObservation
