TaxonCode,TSN,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,Description
AESHBO,101645,Arthropoda,Insecta,Odonata,Aeshnidae,,Boyeria,6.3,Pr,Predators
AMELAM,100996,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,2.1,Sc,Scrapers
AMELAM,100996,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,2.1,C,Collectors
AMNIAM,70747,Mollusca,Gastropoda,Littorinimorpha,Amnicolidae,,Amnicola,4.8,Sc,Scrapers
ASELCA,92686,Arthropoda,Malacostraca,Isopoda,Asellidae,,Caecidotea,8,C,Collectors
ASELLI,92666,Arthropoda,Malacostraca,Isopoda,Asellidae,,Lirceus,7.7,C,Collectors
ATHEAT,130929,Arthropoda,Insecta,Diptera,Athericidae,,Atherix,2.1,Pr,Predators
BAET,100775,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,4,C,Collectors
BAETAC,100801,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Acentrella,3.6,C,Collectors
BAETAN,-999,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Anafroptilum,6.3,C,Collectors
BAETAN,-999,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Anafroptilum,6.3,Sc,Scrapers
BAETAP,568546,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Acerpenna,3.7,C,Collectors
BAETBA,100800,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Baetis,2.8,C,Collectors
BAETCA,100903,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Callibaetis,5.6,C,Collectors
BAETFA,568551,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Fallceon,6,Pr,Predators
BAETHE,100794,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Heterocloeon,3.6,Sc,Scrapers
BAETIS,776928,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Iswaeon,,C,Collectors
BAETLA,568552,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Labiobaetis,4.4,Pr,Predators
BAETPA,100899,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Paracloeodes,8.7,Sc,Scrapers
BAETPL,568553,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Plauditus,4,C,Collectors
BAETPR,206622,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Procloeon,7.7,C,Collectors
BATCBA,101494,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,,Baetisca,1.4,Sc,Scrapers
BATCBA,101494,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,,Baetisca,1.4,C,Collectors
BIVAL,79118,Mollusca,Bivalvia,,,,,8,F,Filterers
BRACHBR,116906,Arthropoda,Insecta,Trichoptera,Brachycentridae,,Brachycentrus,1.1,F,Filterers
BRACHMI,116958,Arthropoda,Insecta,Trichoptera,Brachycentridae,,Micrasema,0,Sh,Shredders
BRAN,69169,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,,,6,C,Collectors
CAENCA,101478,Arthropoda,Insecta,Ephemeroptera,Caenidae,,Caenis,7.6,C,Collectors
CAENCA,101478,Arthropoda,Insecta,Ephemeroptera,Caenidae,,Caenis,7.6,Sc,Scrapers
CALOCA,102052,Arthropoda,Insecta,Odonata,Calopterygidae,,Calopteryx,8.3,Pr,Predators
CALOHE,102048,Arthropoda,Insecta,Odonata,Calopterygidae,,Hetaerina,6.2,Pr,Predators
CAMBFA,1133539,Arthropoda,Malacostraca,Decapoda,Cambaridae,,Faxonius,2.7,C,Collectors
CAPNAL,102644,Arthropoda,Insecta,Plecoptera,Capniidae,,Allocapnia,2.8,Sh,Shredders
CAPNPA,102804,Arthropoda,Insecta,Plecoptera,Capniidae,,Paracapnia,0.2,Sh,Shredders
CERA,127338,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae ,,6,Sc,Scrapers
CERA,127338,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae ,,6,C,Collectors
CERA,127338,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae ,,6,Pr,Predators
CERAAT,127113,Arthropoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,Atrichopogon,6.8,C,Collectors
CERADA,127278,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Dasyhelea,6,Sc,Scrapers
CERADA,127278,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Dasyhelea,6,C,Collectors
CERAFO,127112,Arthropoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,,6,C,Collectors
CHLO,103202,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,1,C,Collectors
CHLO,103202,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,1,Pr,Predators
CHLOAL,103203,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Alloperla,1.4,Pr,Predators
CHLOHA,103260,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Haploperla,1.3,Pr,Predators
CHLOHA,103260,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Haploperla,1.3,C,Collectors
CLAD,83832,Arthropoda,Branchiopoda,Diplostraca,Cladocera,,,8,F,Filterers
CLAD,83832,Arthropoda,Branchiopoda,Diplostraca,Cladocera,,,8,C,Collectors
COEN,102077,Arthropoda,Insecta,Odonata,Coenagrionidae,,,6.1,Pr,Predators
