TaxonCode,TSN,ToleranceValue,Phylum,Class,Order,Family,Subfamily,Genus,FunctionalFeedingGroupCode,Description
AESHBO,101645,6.30,Arthropoda,Insecta,Odonata,Aeshnidae,,Boyeria,Pr,Predators
AMELAM,100996,2.10,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,Sc,Scrapers
AMELAM,100996,2.10,Arthropoda,Insecta,Ephemeroptera,Ameletidae,,Ameletus,C,Collectors
AMNIAM,70747,4.80,Mollusca,Gastropoda,Littorinimorpha,Amnicolidae,,Amnicola,Sc,Scrapers
ASELCA,92686,8.00,Arthropoda,Malacostraca,Isopoda,Asellidae,,Caecidotea,C,Collectors
ASELLI,92666,7.70,Arthropoda,Malacostraca,Isopoda,Asellidae,,Lirceus,C,Collectors
ATHEAT,130929,2.10,Arthropoda,Insecta,Diptera,Athericidae,,Atherix,Pr,Predators
BAET,100775,4.00,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,C,Collectors
BAETAC,100801,3.60,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Acentrella,C,Collectors
BAETAN,-999,6.30,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Anafroptilum,C,Collectors
BAETAN,-999,6.30,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Anafroptilum,Sc,Scrapers
BAETAP,568546,3.70,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Acerpenna,C,Collectors
BAETBA,100800,2.80,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Baetis,C,Collectors
BAETCA,100903,5.60,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Callibaetis,C,Collectors
BAETFA,568551,6.00,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Fallceon,Pr,Predators
BAETHE,100794,3.60,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Heterocloeon,Sc,Scrapers
BAETIS,776928,,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Iswaeon,C,Collectors
BAETLA,568552,4.40,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Labiobaetis,Pr,Predators
BAETPA,100899,8.70,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Paracloeodes,Sc,Scrapers
BAETPL,568553,4.00,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Plauditus,C,Collectors
BAETPR,206622,7.70,Arthropoda,Insecta,Ephemeroptera,Baetidae,,Procloeon,C,Collectors
BATCBA,101494,1.40,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,,Baetisca,Sc,Scrapers
BATCBA,101494,1.40,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,,Baetisca,C,Collectors
BIVAL,79118,8.00,Mollusca,Bivalvia,,,,,F,Filterers
BRACHBR,116906,1.10,Arthropoda,Insecta,Trichoptera,Brachycentridae,,Brachycentrus,F,Filterers
BRACHMI,116958,0.00,Arthropoda,Insecta,Trichoptera,Brachycentridae,,Micrasema,Sh,Shredders
BRAN,69169,6.00,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,,,C,Collectors
CAENCA,101478,7.60,Arthropoda,Insecta,Ephemeroptera,Caenidae,,Caenis,C,Collectors
CAENCA,101478,7.60,Arthropoda,Insecta,Ephemeroptera,Caenidae,,Caenis,Sc,Scrapers
CALOCA,102052,8.30,Arthropoda,Insecta,Odonata,Calopterygidae,,Calopteryx,Pr,Predators
CALOHE,102048,6.20,Arthropoda,Insecta,Odonata,Calopterygidae,,Hetaerina,Pr,Predators
CAMBFA,1133539,2.70,Arthropoda,Malacostraca,Decapoda,Cambaridae,,Faxonius,C,Collectors
CAPNAL,102644,2.80,Arthropoda,Insecta,Plecoptera,Capniidae,,Allocapnia,Sh,Shredders
CAPNPA,102804,0.20,Arthropoda,Insecta,Plecoptera,Capniidae,,Paracapnia,Sh,Shredders
CERA,127338,6.00,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae ,,Sc,Scrapers
CERA,127338,6.00,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae ,,C,Collectors
CERA,127338,6.00,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae ,,Pr,Predators
CERAAT,127113,6.80,Arthropoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,Atrichopogon,C,Collectors
CERADA,127278,6.00,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Dasyhelea,Sc,Scrapers
CERADA,127278,6.00,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Dasyhelea,C,Collectors
CERAFO,127112,6.00,Arthropoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,,C,Collectors
CHLO,103202,1.00,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,C,Collectors
CHLO,103202,1.00,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,Pr,Predators
CHLOAL,103203,1.40,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Alloperla,Pr,Predators
CHLOHA,103260,1.30,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Haploperla,Pr,Predators
CHLOHA,103260,1.30,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Haploperla,C,Collectors
CLAD,83832,8.00,Arthropoda,Branchiopoda,Diplostraca,"Cladocera",,,F,Filterers
CLAD,83832,8.00,Arthropoda,Branchiopoda,Diplostraca,"Cladocera",,,C,Collectors
COEN,102077,6.10,Arthropoda,Insecta,Odonata,Coenagrionidae,,,Pr,Predators
COENAR,102139,5.10,Arthropoda,Insecta,Odonata,Coenagrionidae,,Argia,Pr,Predators
COENEN,102102,9.00,Arthropoda,Insecta,Odonata,Coenagrionidae,,Enallagma,Pr,Predators
COENIS,102078,9.40,Arthropoda,Insecta,Odonata,Coenagrionidae,,Ischnura,Pr,Predators
CORI,103364,9.00,Arthropoda,Insecta,Hemiptera,Corixidae,,,He,Herbivores
CORI,103364,9.00,Arthropoda,Insecta,Hemiptera,Corixidae,,,Pr,Predators
CORIPA,103491,5.00,Arthropoda,Insecta,Hemiptera,Corixidae,,Palmacorixa,Pr,Predators
CORISI,103369,9.00,Arthropoda,Insecta,Hemiptera,Corixidae,,Sigara,Pr,Predators
CORITR,103423,5.00,Arthropoda,Insecta,Hemiptera,Corixidae,,Trichocorixa,Pr,Predators
CORYCH,115024,4.00,Arthropoda,Insecta,Megaloptera,Corydalidae,,Chauliodes,Pr,Predators
CORYCO,115033,5.60,Arthropoda,Insecta,Megaloptera,Corydalidae,,Corydalus,Pr,Predators
CORYNI,115028,5.80,Arthropoda,Insecta,Megaloptera,Corydalidae,,Nigronia,Pr,Predators
CRAM,693963,5.00,Arthropoda,Insecta,Lepidoptera,Crambidae,,,He,Herbivores
CRAM,693963,5.00,Arthropoda,Insecta,Lepidoptera,Crambidae,,,Sh,Shredders
CRAMPA,117714,5.00,Arthropoda,Insecta,Lepidoptera,Crambidae,,Parapoynx,He,Herbivores
CRAMPA,117714,5.00,Arthropoda,Insecta,Lepidoptera,Crambidae,,Parapoynx,Sh,Shredders
