ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04
Buffalo National River,BUFF,BUFFRMINVEBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05
Buffalo National River,BUFF,BUFFRMINVEBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06
Buffalo National River,BUFF,BUFFRMINVEBT01,01,Tributary,,Buffalo River,Smith Creek,Newton,279,BUFFT01
Buffalo National River,BUFF,BUFFRMINVEBT02,02,Tributary,Alternate; Not sampled,Buffalo River,Moore Creek,Newton,481,BUFFT02
Buffalo National River,BUFF,BUFFRMINVEBT03,03,Tributary,,Buffalo River,Whiteley Creek,Newton,640,BUFFT03
Buffalo National River,BUFF,BUFFRMINVEBT04,04,Tributary,,Buffalo River,Sneeds Creek,Newton,441,BUFFT04
Buffalo National River,BUFF,BUFFRMINVEBT05,05,Tributary,,Buffalo River,Cecil Creek,Newton,462,BUFFT05
Buffalo National River,BUFF,BUFFRMINVEBT06,06,Tributary,,Buffalo River,Glade Creek,Newton,403,BUFFT06
Buffalo National River,BUFF,BUFFRMINVEBT07,07,Tributary,,Buffalo River,Mill Creek (U),Newton,646,BUFFT07
Buffalo National River,BUFF,BUFFRMINVEBT08,08,Tributary,,Buffalo River,Vanishing Creek,Newton,229,BUFFT08
Buffalo National River,BUFF,BUFFRMINVEBT09,09,Tributary,,Buffalo River,Little Buffalo,Newton,420,BUFFT09
Buffalo National River,BUFF,BUFFRMINVEBT10,10,Tributary,,Buffalo River,Wells Creek,Newton,638,BUFFT10
