Status,ReachID,ActiveDates,XstartUTM,YstartUTM,XstartDD,YstartDD,LocationID
Active,HOMELOW01,2004 - Present,684033.9984,4462184.586,-96.835,40.29,
Retired,HOMEUPP01,2004,683556.2183,4461639.216,-96.841,40.285,
Active,PIPELOW01,2001 - Present,714317.9134,4877116.472,-96.326,44.016,
Retired,PIPEMID01,2001 - 2006,714488.4427,4876962.659,-96.324,44.014,
Retired,PIPEUPP01,2001 - 2006,714726.4025,4877069,-96.321,44.015,
Active,PIPEABV01,2001 - Present,714864.1333,4877045.839,-96.319,44.015,
Active,TAPRMID12,2001 - Present,717828.5556,4255108.882,-96.505,38.418,
Active,TAPRMID10,2001 - Present,715113.3555,4254565.382,-96.536,38.413,
Retired,TAPRUPP10,2002,715584.9406,4255016.879,-96.531,38.417,
Retired,TAPRMID05,2002,713134.5987,4254410.277,-96.559,38.413,
Active,TAPRMID04,2001 - Present,712782.9535,4254951.462,-96.563,38.417,
Active,TAPRLOW24,2001 - Present,710984.8705,4254233.316,-96.584,38.411,
Retired,TAPRMID24,2001 - 2006,710783.5478,4255542.609,-96.585,38.423,
Active,TAPRLOW02,2001 - Present,713259.9285,4256317.881,-96.557,38.43,
Retired,TAPRMID02,2001 - 2005,712356.9707,4256345.566,-96.567,38.43,
Active,TAPRMID23,2001 - Present,709942.1007,4257774.032,-96.594,38.444,
Retired,TAPRUPP01,2001 - 2005,711575.245,4258285.761,-96.576,38.448,
Active,TAPRMID01,2001 - Present,712854.1615,4257459.787,-96.561,38.44,
Active,TAPRLOW01,2001 - Present,713236.2552,4257163.323,-96.557,38.437,
Active,TAPRLOW22,2001 - Present,712420.9492,4259981.309,-96.565,38.463,
Retired,TAPRUPL22,2001 - 2005,711749.0051,4260196.105,-96.573,38.465,
Retired,TAPRUPR22,2001 - 2005,711476.1491,4259678.701,-96.576,38.46,
Retired,TAPRMID18,2002,710058.6258,4262485.658,-96.592,38.486,
Active,TAPRLOW34,2001 - Present,709765.5107,4263504.856,-96.595,38.495,
Retired,TAPRUPP36,2001 - 2005,710062.0953,4263216.844,-96.591,38.493,
Active,TAPRUPP17,2002 - Present,710455.1183,4263527.486,-96.587,38.495,
Retired,TAPRLOW17,2002,710537.0128,4263231.822,-96.586,38.493,
Active,TAPRMID36,2001 - Present,710560.3498,4263172.229,-96.586,38.492,
Active,TAPRLOW35,2006 - Present,713915.6602,4257045.389,-96.549,38.436,
Active,EFMOUPP01,2014 - Present,645225.6405,4772312.889,-91.216,43.09,
Active,HEHOLOW01,2008 - Present,637479.0984,4614400.074,-91.349,41.67,
Active,HEHOUPP02,2021 - Present,637116.8642,4614460.249,-91.353,41.67,
Active,GWCALOW03,2005 - Present,379089.4976,4094607.693,-94.359,36.99,
Active,GWCALOW02,2005 - Present,379318.0412,4094472.159,-94.356,36.989,
Active,GWCALOW01,2005 - Present,379401.5086,4094355.844,-94.355,36.988,
Active,HOSPLOW02,2009 - Present,489916.9361,3819517.745,-93.11,34.517,
Active,HOSPLOW01,2009 - Present,496895.1779,3820679.132,-93.034,34.528,
Active,WICRLOW03,2006 - Present,463235.0373,4105846.001,-93.414,37.098,
Active,WICRLOW02,2007 - Present,464175.9845,4104715.188,-93.403,37.088,
Active,WICRLOW04,2006 - Present,462681.0912,4103957.123,-93.42,37.081,
Active,CURRM01,2005 - Present,623494.5755,4142096.589,-91.604,37.417,OZAR_RMFISH_CM01
Active,CURRM02,2005 - Present,637181.0806,4131048.527,-91.452,37.316,OZAR_RMFISH_CM02
Active,CURRM03,2005 - Present,641996.4425,4126486.925,-91.398,37.274,OZAR_RMFISH_CM03
Active,CURRM04,2005 - Present,662429.6441,4113308.256,-91.171,37.152,OZAR_RMFISH_CM04
Active,CURRT08,2006 - Present,661594.1365,4110837.659,-91.181,37.13,OZAR_RMFISH_CT08
Active,CURRM05,2005 - Present,665302.639,4111960.813,-91.139,37.139,OZAR_RMFISH_CM05
Retired,CURRT13,2006,671989.4005,4100861.828,-91.066,37.038,OZAR_RMFISH_CT13
Active,CURRM06,2005 - Present,684562.4998,4080539.148,-90.93,36.853,OZAR_RMFISH_CM06
Active,JACKM01,2005 - Present,619816.8255,4101596.289,-91.652,37.053,OZAR_RMFISH_JM01
