ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,tbl_Locations_StreamName,TributaryName,County,StretchNumber,ReachID,PeriodID,Season,StartDate,EndDate,EventID,GaugeSiteNo,tlu_GaugeStations_StreamName,GaugeLocation,Discharge_cms,Units
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan05,7055646,Buffalo River,Buffalo River near Boxley, AR,1.16,meters
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec17,7055646,Buffalo River,Buffalo River near Boxley, AR,1.35,meters
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov18,7055646,Buffalo River,Buffalo River near Boxley, AR,2.37,meters
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov10,7055646,Buffalo River,Buffalo River near Boxley, AR,0.46,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan06,7055680,Buffalo River,Buffalo River at Pruitt, AR,1.86,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec18,7055680,Buffalo River,Buffalo River at Pruitt, AR,11.92,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Nov29,7055680,Buffalo River,Buffalo River at Pruitt, AR,0.24,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov20,7055680,Buffalo River,Buffalo River at Pruitt, AR,6.54,meters
Buffalo National River,BUFF,BUFFRMINVEBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov09,7055680,Buffalo River,Buffalo River at Pruitt, AR,0.85,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan09,7055680,Buffalo River,Buffalo River at Pruitt, AR,1.44,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2014Feb19,7055680,Buffalo River,Buffalo River at Pruitt, AR,3.28,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec18,7055680,Buffalo River,Buffalo River at Pruitt, AR,11.92,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Dec01,7055680,Buffalo River,Buffalo River at Pruitt, AR,0.24,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov20,7055680,Buffalo River,Buffalo River at Pruitt, AR,6.54,meters
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,BUFFRMINVE2021Nov01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,BUFFRMINVE2021Nov08,7055680,Buffalo River,Buffalo River at Pruitt, AR,0.94,meters
Buffalo National River,BUFF,BUFFRMINVEBT13,13,Tributary,,Buffalo River,Big Creek (U),Newton,244,BUFFT13,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Nov23,7055790,Big Creek,Big Creek near Mt. Judea, AR,0.17,meters
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan04,7056000,Buffalo River,Buffalo River near St. Joe, AR,25.71,meters
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2013Dec04,7056000,Buffalo River,Buffalo River near St. Joe, AR,4.44,meters
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Nov24,7056000,Buffalo River,Buffalo River near St. Joe, AR,10.22,meters
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Nov16,7056000,Buffalo River,Buffalo River near St. Joe, AR,1.41,meters
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,BUFFRMINVE2019Nov04,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,BUFFRMINVE2019Nov18,7056000,Buffalo River,Buffalo River near St. Joe, AR,30.29,meters
