ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,Season,StartDate,EndDate,RiffleNo,RiffleLength,Temperature,SpecificConductance,pH,DO,Turbidity,Note
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,1,9.30,11.40,126.60,7.37,8.07,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,2,12.30,11.10,126.70,7.27,8.74,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,3,17.50,10.40,126.70,7.16,8.47,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,1,21.00,8.90,47.90,7.70,10.28,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,2,19.00,8.00,48.70,7.81,11.34,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,3,13.00,7.50,49.00,8.11,11.51,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,1,-999.00,9.90,88.30,8.33,11.62,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,2,-999.00,10.00,88.90,8.02,11.86,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,3,-999.00,9.70,86.70,7.21,10.96,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,1,-999.00,7.20,89.10,6.97,9.12,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,2,-999.00,6.10,88.90,7.08,9.60,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,3,-999.00,7.20,85.60,6.79,9.91,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,1,-999.00,6.80,76.60,7.70,11.81,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,2,-999.00,6.80,77.30,7.89,12.30,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,3,-999.00,6.80,77.30,7.80,11.81,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,1,-999.00,4.60,73.01,8.80,13.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,2,-999.00,5.00,72.90,7.44,14.61,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,3,-999.00,5.60,73.20,7.33,13.60,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,1,-999.00,10.20,79.30,7.07,12.31,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,2,-999.00,10.00,79.10,7.07,12.29,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,3,-999.00,9.80,79.70,7.03,12.03,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,1,-999.00,9.30,64.00,8.00,11.27,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,2,-999.00,8.90,64.80,8.15,11.04,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,3,-999.00,8.70,64.80,8.52,11.60,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,1,-999.00,15.30,121.10,7.06,8.20,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,2,-999.00,15.30,121.00,7.11,8.79,-999.00,
