ParkName,ParkCode,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,StartDate,EndDate,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,1,0.00,8.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,2,2.00,20.00,0.19,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,3,4.00,17.00,0.26,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,4,6.00,16.00,0.22,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,5,8.00,16.00,0.21,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,6,10.00,23.00,0.33,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,7,12.00,24.00,0.41,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,8,14.00,26.00,0.48,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,9,16.00,23.00,0.45,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,10,18.00,26.00,0.41,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,11,20.00,21.00,0.27,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,12,22.00,6.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC01,meters,13,24.00,1.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,1,35.00,6.00,0.11,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,2,33.00,15.00,0.47,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,3,31.00,20.00,0.54,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,4,29.00,26.00,0.56,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,5,27.00,30.00,0.67,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,6,25.00,30.00,0.58,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,7,23.00,22.00,0.49,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,8,21.00,16.00,0.30,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,9,19.00,16.00,0.31,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,10,17.00,12.00,0.35,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,11,15.00,12.00,0.28,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,12,13.00,14.00,0.31,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,13,11.00,14.00,0.48,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,14,9.00,14.00,0.38,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,15,7.00,14.00,0.32,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,16,5.00,10.00,0.25,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,17,3.00,10.00,0.17,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Marion,87,BUFFM06,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC14,meters,18,1.00,8.00,0.09,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,1,0.00,10.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,2,1.00,33.00,0.12,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,3,2.00,46.00,0.26,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,4,3.00,50.00,0.32,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,5,4.00,50.00,0.22,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,6,5.00,48.00,0.26,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,7,6.00,45.00,0.21,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,8,7.00,46.00,0.22,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,9,8.00,38.00,0.33,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,10,9.00,34.00,0.26,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,11,10.00,29.00,0.20,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005DEC20,meters,12,11.00,22.00,0.16,
