TaxonCode,CommonName,ScientificName
ACFL,acadian flycatcher,Empidonax virescens
AMBI,american Bittern,Botaurus lentiginosus
AMCO,american Coot,Fulica americana
AMCR,american crow,Corvus brachyrhynchos
AMGO,american goldfinch,Spinus tristis
AMKE,american kestrel,Falco sparverius
AMRE,american redstart,Setophaga ruticilla
AMRO,american robin,Turdus migratorius
AMWO,american woodcock,Scolopax minor
ANHI,anhinga,Anhinga anhinga
ATSP,american tree sparrow,Spizelloides arborea
BACS,bachman's Sparrow,Peucaea aestivalis
BAEA,bald eagle,Haliaeetus leucocephalus
BANS,bank swallow,Riparia riparia
BAOR,northern oriole,Icterus galbula
BARS,barn swallow,Hirundo rustica
BAWW,black-and-white warbler,Mniotilta varia
BBCU,black-billed cuckoo,Coccyzus erythropthalmus
BBSA,buff-breasted sandpiper,Tryngites subruficollis
BBWA,bay-breasted warbler,Setophaga castanea
BCCH,black-capped chickadee,Poecile atricapillus
BCNH,black-crowned night-heron,Nycticorax nycticorax
BADO,barred owl,Strix varia
BEKI,belted kingfisher,Megaceryle alcyon
BEVI,bell's vireo,Vireo bellii
BEWR,bewick's wren,Thryomanes bewickii
BGGN,blue-gray gnatcatcher,Polioptila caerulea
BHCO,brown-headed cowbird,Molothrus ater
BLBW,blackburnian warbler,Setophaga fusca
BLGR,blue grosbeak,Passerina caerulea
BLJA,blue jay,Cyanocitta cristata
BLPW,blackpoll warbler,Setophaga striata
BLTE,black tern,Chlidonias niger
BLVU,black vulture,Coragyps atratus
BOBO,bobolink,Dolichonyx oryzivorus
BRBL,brewer's blackbird,Euphagus cyanocephalus
BRCR,brown creeper,Certhia americana
BRTH,brown thrasher,Toxostoma rufum
BTBW,black-throated blue warbler,Setophaga caerulescens
BTNW,black-throated green warbler,Setophaga virens
BUOW,burrowing owl,Athene cunicularia
BWHA,broad-winged hawk,Buteo platypterus
BWTE,blue-winged teal,Anas discors
BWWA,blue-winged warbler,Vermivora cyanoptera
CACH,carolina chickadee,Poecile carolinensis
CAEG,cattle egret,Bubulcus ibis
CANG,canada goose,Branta canadensis
CARW,carolina wren,Thryothorus ludovicianus
CAWA,canada warbler,Cardellina canadensis
CCSP,clay-colored sparrow,Spizella pallida
CEDW,cedar waxwing,Bombycilla cedrorum
CERW,cerulean warbler,Setophaga cerulea
CHSP,chipping sparrow,Spizella passerina
CHSW,chimney swift,Chaetura pelagica
CITE,cinnamon teal,Anas cyanoptera
CLSW,cliff swallow,Petrochelidon pyrrhonota
COGR,common grackle,Quiscalus quiscula
COHA,cooper's hawk,Accipiter cooperii
COMO,common moorhen,Gallinula chloropus
CONI,common nighthawk,Chordeiles minor
COSN,common snipe,Gallinago gallinago
COYE,common yellowthroat,Geothlypis trichas
CSWA,chestnut-sided warbler,Setophaga pensylvanica
CWWI,chuck-will's-widow,Antrostomus carolinensis
DCCO,double-crested cormorant,Phalacrocorax auritus
DICK,dickcissel,Spiza americana
DOWO,downy woodpecker,Dryobates pubescens
EABL,eastern bluebird,Sialia sialis
EAGR,eared grebe,Podiceps nigricollis
EAKI,eastern kingbird,Tyrannus tyrannus
EAME,eastern meadowlark,Sturnella magna
EAPH,eastern phoebe,Sayornis phoebe
EATO,"rufous-sided towhee, eastern towhee",Pipilo erythrophthalmus
EAWP,eastern wood-pewee,Contopus virens
EUCD,eurasian collared-dove,Streptopelia decaocto
EUST,european starling,Sturnus vulgaris
FICR,fish crow,Corvus ossifragus
FISP,field sparrow,Spizella pusilla
GBHE,great blue heron,Ardea herodias
GCFL,great crested flycatcher,Myiarchus crinitus
GCKI,golden-crowned kinglet,Regulus satrapa
GHOW,great horned owl,Bubo virginianus
GRPC,greater prairie-chicken,Tympanuchus cupido
GRCA,gray catbird,Dumetella carolinensis
GREG,great egret,Ardea alba
GRHE,green (green-backed) heron,Butorides virescens
GRRO,greater roadrunner,Geococcyx californianus
GRSP,grasshopper sparrow,Ammodramus savannarum
GTGR,great-tailed grackle,Quiscalus mexicanus
GWWA,golden-winged warbler,Vermivora chrysoptera
HAWO,hairy woodpecker,Leuconotopicus villosus
HESP,henslow's sparrow,Ammodramus henslowii
HETH,hermit thrush,Catharus guttatus
HOFI,house finch,Haemorhous mexicanus
HOLA,horned lark,Eremophila alpestris
HOME,hooded merganser,Lophodytes cucullatus
HOSP,house sparrow,Passer domesticus
HOWA,hooded warbler,Setophaga citrina
HOWR,house wren,Troglodytes aedon
INBU,indigo bunting,Passerina cyanea
KEWA,kentucky warbler,Geothlypis formosa
KILL,killdeer,Charadrius vociferus
KIRA,king rail,Rallus elegans
LALO,lapland Longspur,Calcarius lapponicus
