name	name_type	name_resolved	authority_system	authority_id
Empidonax virescens	scientific	Empidonax virescens	ITIS	178339
Botaurus lentiginosus	scientific	Botaurus lentiginosus	ITIS	174856
Fulica americana	scientific	Fulica americana	ITIS	176292
Corvus brachyrhynchos	scientific	Corvus brachyrhynchos	ITIS	179731
Spinus tristis	scientific	Spinus tristis	ITIS	179249
Falco sparverius	scientific	Falco sparverius	ITIS	175622
Setophaga ruticilla	scientific	Setophaga ruticilla	ITIS	178979
Turdus migratorius	scientific	Turdus migratorius	ITIS	179759
Scolopax minor	scientific	Scolopax minor	ITIS	176580
Anhinga anhinga	scientific	Anhinga anhinga	ITIS	174755
Spizelloides arborea	scientific	Spizelloides arborea	ITIS	997961
Peucaea aestivalis	scientific	Peucaea aestivalis	ITIS	997733
Haliaeetus leucocephalus	scientific	Haliaeetus leucocephalus	ITIS	175420
Riparia riparia	scientific	Riparia riparia	ITIS	178436
Icterus galbula	scientific	Icterus galbula	ITIS	179083
Hirundo rustica	scientific	Hirundo rustica	ITIS	178448
Mniotilta varia	scientific	Mniotilta varia	ITIS	178844
Coccyzus erythropthalmus	scientific	Coccyzus erythropthalmus	ITIS	177834
Tryngites subruficollis	scientific	Tryngites subruficollis	ITIS	176684
Setophaga castanea	scientific	Setophaga castanea	ITIS	950036
Poecile atricapillus	scientific	Poecile atricapillus	ITIS	554382
Nycticorax nycticorax	scientific	Nycticorax nycticorax	ITIS	174832
Strix varia	scientific	Strix varia	ITIS	177921
Megaceryle alcyon	scientific	Megaceryle alcyon	ITIS	178106
Vireo bellii	scientific	Vireo bellii	ITIS	179003
Thryomanes bewickii	scientific	Thryomanes bewickii	ITIS	178562
Polioptila caerulea	scientific	Polioptila caerulea	ITIS	179853
Molothrus ater	scientific	Molothrus ater	ITIS	179112
Setophaga fusca	scientific	Setophaga fusca	ITIS	950037
Passerina caerulea	scientific	Passerina caerulea	ITIS	726198
Cyanocitta cristata	scientific	Cyanocitta cristata	ITIS	179680
Setophaga striata	scientific	Setophaga striata	ITIS	950041
Chlidonias niger	scientific	Chlidonias niger	ITIS	176959
Coragyps atratus	scientific	Coragyps atratus	ITIS	175272
Dolichonyx oryzivorus	scientific	Dolichonyx oryzivorus	ITIS	179032
Euphagus cyanocephalus	scientific	Euphagus cyanocephalus	ITIS	179094
Certhia americana	scientific	Certhia americana	ITIS	178803
Toxostoma rufum	scientific	Toxostoma rufum	ITIS	178627
Setophaga caerulescens	scientific	Setophaga caerulescens	ITIS	950042
Setophaga virens	scientific	Setophaga virens	ITIS	950061
Athene cunicularia	scientific	Athene cunicularia	ITIS	177946
Buteo platypterus	scientific	Buteo platypterus	ITIS	175365
Anas discors	scientific	Anas discors	ITIS	175086
Vermivora cyanoptera	scientific	Vermivora cyanoptera	ITIS	950011
Poecile carolinensis	scientific	Poecile carolinensis	ITIS	554383
Bubulcus ibis	scientific	Bubulcus ibis	ITIS	174803
Branta canadensis	scientific	Branta canadensis	ITIS	174999
Thryothorus ludovicianus	scientific	Thryothorus ludovicianus	ITIS	178581
Cardellina canadensis	scientific	Cardellina canadensis	ITIS	950079
Spizella pallida	scientific	Spizella pallida	ITIS	179439
Bombycilla cedrorum	scientific	Bombycilla cedrorum	ITIS	178532
Setophaga cerulea	scientific	Setophaga cerulea	ITIS	950032
Spizella passerina	scientific	Spizella passerina	ITIS	179435
Chaetura pelagica	scientific	Chaetura pelagica	ITIS	178001
Anas cyanoptera	scientific	Anas cyanoptera	ITIS	175089
Petrochelidon pyrrhonota	scientific	Petrochelidon pyrrhonota	ITIS	178455
Quiscalus quiscula	scientific	Quiscalus quiscula	ITIS	179104
Accipiter cooperii	scientific	Accipiter cooperii	ITIS	175309
Gallinula chloropus	scientific	Gallinula chloropus	ITIS	176284
Chordeiles minor	scientific	Chordeiles minor	ITIS	177979
Gallinago gallinago	scientific	Gallinago gallinago	ITIS	176700
Geothlypis trichas	scientific	Geothlypis trichas	ITIS	178944
Setophaga pensylvanica	scientific	Setophaga pensylvanica	ITIS	950040
Antrostomus carolinensis	scientific	Antrostomus carolinensis	ITIS	1077350
Phalacrocorax auritus	scientific	Phalacrocorax auritus	ITIS	174717
Spiza americana	scientific	Spiza americana	ITIS	179165
Dryobates pubescens	scientific	Dryobates pubescens	ITIS	1145276
Sialia sialis	scientific	Sialia sialis	ITIS	179801
Podiceps nigricollis	scientific	Podiceps nigricollis	ITIS	174485
Tyrannus tyrannus	scientific	Tyrannus tyrannus	ITIS	178279
Sturnella magna	scientific	Sturnella magna	ITIS	179034
Sayornis phoebe	scientific	Sayornis phoebe	ITIS	178329
Pipilo erythrophthalmus	scientific	Pipilo erythrophthalmus	ITIS	179276
Contopus virens	scientific	Contopus virens	ITIS	178359
Streptopelia decaocto	scientific	Streptopelia decaocto	ITIS	177139
Sturnus vulgaris	scientific	Sturnus vulgaris	ITIS	179637
Corvus ossifragus	scientific	Corvus ossifragus	ITIS	179737
Spizella pusilla	scientific	Spizella pusilla	ITIS	179443
Ardea herodias	scientific	Ardea herodias	ITIS	174773
Myiarchus crinitus	scientific	Myiarchus crinitus	ITIS	178309
Regulus satrapa	scientific	Regulus satrapa	ITIS	179865
Bubo virginianus	scientific	Bubo virginianus	ITIS	177884
Tympanuchus cupido	scientific	Tympanuchus cupido	ITIS	175834
Dumetella carolinensis	scientific	Dumetella carolinensis	ITIS	178625
Ardea alba	scientific	Ardea alba	ITIS	554135
Butorides virescens	scientific	Butorides virescens	ITIS	174793
Geococcyx californianus	scientific	Geococcyx californianus	ITIS	177836
Ammodramus savannarum	scientific	Ammodramus savannarum	ITIS	179333
Quiscalus mexicanus	scientific	Quiscalus mexicanus	ITIS	179109
Vermivora chrysoptera	scientific	Vermivora chrysoptera	ITIS	178852
Leuconotopicus villosus	scientific	Leuconotopicus villosus	ITIS	1145285
Ammodramus henslowii	scientific	Ammodramus henslowii	ITIS	179340
Catharus guttatus	scientific	Catharus guttatus	ITIS	179779
Haemorhous mexicanus	scientific	Haemorhous mexicanus	ITIS	997805
Eremophila alpestris	scientific	Eremophila alpestris	ITIS	554256
Lophodytes cucullatus	scientific	Lophodytes cucullatus	ITIS	175183
Passer domesticus	scientific	Passer domesticus	ITIS	179628
Setophaga citrina	scientific	Setophaga citrina	ITIS	950029
Troglodytes aedon	scientific	Troglodytes aedon	ITIS	178541
Passerina cyanea	scientific	Passerina cyanea	ITIS	179150
Geothlypis formosa	scientific	Geothlypis formosa	ITIS	950025
Charadrius vociferus	scientific	Charadrius vociferus	ITIS	176520
Rallus elegans	scientific	Rallus elegans	ITIS	176207
Calcarius lapponicus	scientific	Calcarius lapponicus	ITIS	179526
Calamospiza melanocorys	scientific	Calamospiza melanocorys	ITIS	179312
Chondestes grammacus	scientific	Chondestes grammacus	ITIS	179371
Egretta caerulea	scientific	Egretta caerulea	ITIS	174827
Ixobrychus exilis	scientific	Ixobrychus exilis	ITIS	174846
Empidonax minimus	scientific	Empidonax minimus	ITIS	178344
Sternula antillarum	scientific	Sternula antillarum	ITIS	824127
Melospiza lincolnii	scientific	Melospiza lincolnii	ITIS	179484
Lanius ludovicianus	scientific	Lanius ludovicianus	ITIS	178515
Parkesia motacilla	scientific	Parkesia motacilla	ITIS	950009
Anas platyrhynchos	scientific	Anas platyrhynchos	ITIS	175063
Setophaga magnolia	scientific	Setophaga magnolia	ITIS	950035
Cistothorus palustris	scientific	Cistothorus palustris	ITIS	178608
Ictinia mississippiensis	scientific	Ictinia mississippiensis	ITIS	554268
Zenaida macroura	scientific	Zenaida macroura	ITIS	177125
Leiothlypis ruficapilla	scientific	Leiothlypis ruficapilla	ITIS	950018
Colinus virginianus	scientific	Colinus virginianus	ITIS	175863
Cardinalis cardinalis	scientific	Cardinalis cardinalis	ITIS	179124
Circus cyaneus	scientific	Circus cyaneus	ITIS	175430
Mimus polyglottos	scientific	Mimus polyglottos	ITIS	178620
Setophaga americana	scientific	Setophaga americana	ITIS	950033
Parkesia noveboracensis	scientific	Parkesia noveboracensis	ITIS	950010
Stelgidopteryx serripennis	scientific	Stelgidopteryx serripennis	ITIS	178443
Anas clypeata	scientific	Anas clypeata	ITIS	175096
Icterus spurius	scientific	Icterus spurius	ITIS	179064
Contopus cooperi	scientific	Contopus cooperi	ITIS	554221
Seiurus aurocapilla	scientific	Seiurus aurocapilla	ITIS	726205
Passerina ciris	scientific	Passerina ciris	ITIS	179156
Setophaga palmarum	scientific	Setophaga palmarum	ITIS	950043
Podilymbus podiceps	scientific	Podilymbus podiceps	ITIS	174505
Falco peregrinus	scientific	Falco peregrinus	ITIS	175604
Vireo philadelphicus	scientific	Vireo philadelphicus	ITIS	179022
Setophaga pinus	scientific	Setophaga pinus	ITIS	950045
Dryocopus pileatus	scientific	Dryocopus pileatus	ITIS	178166
Setophaga discolor	scientific	Setophaga discolor	ITIS	950052
Protonotaria citrea	scientific	Protonotaria citrea	ITIS	178846
Haemorhous purpreus	scientific	Haemorhous purpreus	ITIS	NA
Porphyrio martinica	scientific	Porphyrio martinica	ITIS	707815
Progne subis	scientific	Progne subis	ITIS	178464
Pheucticus ludovicianus	scientific	Pheucticus ludovicianus	ITIS	179139
Larus delawarensis	scientific	Larus delawarensis	ITIS	176830
Melanerpes carolinus	scientific	Melanerpes carolinus	ITIS	178195
Regulus calendula	scientific	Regulus calendula	ITIS	179870
Aythya americana	scientific	Aythya americana	ITIS	175125
Vireo olivaceus	scientific	Vireo olivaceus	ITIS	179021
Melanerpes erythrocephalus	scientific	Melanerpes erythrocephalus	ITIS	178186
Columba livia	scientific	Columba livia	ITIS	177071
Salpinctes obsoletus	scientific	Salpinctes obsoletus	ITIS	178614
Phasianus colchicus	scientific	Phasianus colchicus	ITIS	175905
Buteo lineatus	scientific	Buteo lineatus	ITIS	175359
Buteo jamaicensis	scientific	Buteo jamaicensis	ITIS	175350
Archilochus colubris	scientific	Archilochus colubris	ITIS	178032
Oxyura jamaicensis	scientific	Oxyura jamaicensis	ITIS	175175
Agelaius phoeniceus	scientific	Agelaius phoeniceus	ITIS	179045
Sayornis saya	scientific	Sayornis saya	ITIS	178333
Passerculus sandwichensis	scientific	Passerculus sandwichensis	ITIS	179314
Piranga olivacea	scientific	Piranga olivacea	ITIS	179883
Calidris pusilla	scientific	Calidris pusilla	ITIS	176667
Cistothorus platensis	scientific	Cistothorus platensis	ITIS	178605
Egretta thula	scientific	Egretta thula	ITIS	174813
Porzana carolina	scientific	Porzana carolina	ITIS	176242
Tringa solitaria	scientific	Tringa solitaria	ITIS	176615
Melospiza melodia	scientific	Melospiza melodia	ITIS	179492
Actitis macularius	scientific	Actitis macularius	ITIS	726049
Pipilo maculatus	scientific	Pipilo maculatus	ITIS	554380
Accipiter striatus	scientific	Accipiter striatus	ITIS	175304
Tyrannus forficatus	scientific	Tyrannus forficatus	ITIS	178293
Tympanuchus phasianellus	scientific	Tympanuchus phasianellus	ITIS	175841
Piranga rubra	scientific	Piranga rubra	ITIS	179888
Buteo swainsoni	scientific	Buteo swainsoni	ITIS	175367
Melospiza georgiana	scientific	Melospiza georgiana	ITIS	179488
Catharus ustulatus	scientific	Catharus ustulatus	ITIS	179788
Leiothlypis peregrina	scientific	Leiothlypis peregrina	ITIS	950014
Tachycineta bicolor	scientific	Tachycineta bicolor	ITIS	178431
Baeolophus bicolor	scientific	Baeolophus bicolor	ITIS	554138
Cathartes aura	scientific	Cathartes aura	ITIS	175265
Bartramia longicauda	scientific	Bartramia longicauda	ITIS	176610
Catharus fuscescens	scientific	Catharus fuscescens	ITIS	179796
Pooecetes gramineus	scientific	Pooecetes gramineus	ITIS	179366
Vireo gilvus	scientific	Vireo gilvus	ITIS	179023
Sitta carolinensis	scientific	Sitta carolinensis	ITIS	178775
Zonotrichia leucophrys	scientific	Zonotrichia leucophrys	ITIS	179455
Tyrannus verticalis	scientific	Tyrannus verticalis	ITIS	178287
Sturnella neglecta	scientific	Sturnella neglecta	ITIS	179039
Vireo griseus	scientific	Vireo griseus	ITIS	178991
Helmitheros vermivorum	scientific	Helmitheros vermivorum	ITIS	726195
Plegadis chihi	scientific	Plegadis chihi	ITIS	174926
Eudocimus albus	scientific	Eudocimus albus	ITIS	174930
Empidonax traillii	scientific	Empidonax traillii	ITIS	178341
Phalaropus tricolor	scientific	Phalaropus tricolor	ITIS	176736
Meleagris gallopavo	scientific	Meleagris gallopavo	ITIS	176136
Cardellina pusilla	scientific	Cardellina pusilla	ITIS	950080
Aix sponsa	scientific	Aix sponsa	ITIS	175122
Hylocichla mustelina	scientific	Hylocichla mustelina	ITIS	179777
Antrostomus vociferus	scientific	Antrostomus vociferus	ITIS	1077358
Zonotrichia albicollis	scientific	Zonotrichia albicollis	ITIS	179462
Zenaida asiatica	scientific	Zenaida asiatica	ITIS	177121
Icteria virens	scientific	Icteria virens	ITIS	178964
Coccyzus americanus	scientific	Coccyzus americanus	ITIS	177831
Empidonax flaviventris	scientific	Empidonax flaviventris	ITIS	178338
Sphyrapicus varius	scientific	Sphyrapicus varius	ITIS	178202
Setophaga petechia	scientific	Setophaga petechia	ITIS	950039
Xanthocephalus xanthocephalus	scientific	Xanthocephalus xanthocephalus	ITIS	179043
Setophaga coronata	scientific	Setophaga coronata	ITIS	950046
Colaptes auratus	scientific	Colaptes auratus	ITIS	178154
Vireo flavifrons	scientific	Vireo flavifrons	ITIS	179009
Setophaga dominica	scientific	Setophaga dominica	ITIS	950049
Empidonax alnorum	scientific	Empidonax alnorum	ITIS	178340
Junco hyemalis	scientific	Junco hyemalis	ITIS	179410
Vireo solitarius	scientific	Vireo solitarius	ITIS	179010
Leiothlypis celata	scientific	Leiothlypis celata	ITIS	950015
Euphagus carolinus	scientific	Euphagus carolinus	ITIS	179091
Empidonax difficilis	scientific	Empidonax difficilis	ITIS	178348
Acer negundo	scientific	Acer negundo	ITIS	28749
Acer rubrum	scientific	Acer rubrum	ITIS	28728
Acer saccharinum	scientific	Acer saccharinum	ITIS	28757
Acer saccharum	scientific	Acer saccharum	ITIS	28731
Aesculus glabra	scientific	Aesculus glabra	ITIS	28718
Aesculus pavia	scientific	Aesculus pavia	ITIS	28723
Ailanthus altissima	scientific	Ailanthus altissima	ITIS	28827
Amelanchier arborea	scientific	Amelanchier arborea	ITIS	25110
Amorpha fruticosa	scientific	Amorpha fruticosa	ITIS	25368
Asimina triloba	scientific	Asimina triloba	ITIS	18117
Betula papyrifera	scientific	Betula papyrifera	ITIS	19489
Callicarpa americana	scientific	Callicarpa americana	ITIS	32144
Carpinus caroliniana	scientific	Carpinus caroliniana	ITIS	19504
Carya alba	scientific	Carya alba	ITIS	501306
Carya cordiformis	scientific	Carya cordiformis	ITIS	19227
Carya glabra	scientific	Carya glabra	ITIS	19231
Carya illinoinensis	scientific	Carya illinoinensis	ITIS	19234
Carya ovalis	scientific	Carya ovalis	ITIS	19241
Carya ovata	scientific	Carya ovata	ITIS	19242
Carya texana	scientific	Carya texana	ITIS	19246
Castanea pumila	scientific	Castanea pumila	ITIS	19457
Catalpa speciosa	scientific	Catalpa speciosa	ITIS	34315
Celtis laevigata	scientific	Celtis laevigata	ITIS	19042
Celtis occidentalis	scientific	Celtis occidentalis	ITIS	19040
Celtis tenuifolia	scientific	Celtis tenuifolia	ITIS	19046
Cercis canadensis	scientific	Cercis canadensis	ITIS	25782
Cornus drummondii	scientific	Cornus drummondii	ITIS	27807
Cornus florida	scientific	Cornus florida	ITIS	27806
Cornus foemina	scientific	Cornus foemina	ITIS	27802
Cornus obliqua	scientific	Cornus obliqua	ITIS	511442
Cornus racemosa	scientific	Cornus racemosa	ITIS	501635
Corylus americana	scientific	Corylus americana	ITIS	19506
Diospyros virginiana	scientific	Diospyros virginiana	ITIS	23855
Elaeagnus angustifolia	scientific	Elaeagnus angustifolia	ITIS	27770
Elaeagnus umbellata	scientific	Elaeagnus umbellata	ITIS	27776
Euonymus alatus	scientific	Euonymus alatus	ITIS	27946
Fagus grandifolia	scientific	Fagus grandifolia	ITIS	19462
Forestiera acuminata	scientific	Forestiera acuminata	ITIS	32952
Frangula caroliniana	scientific	Frangula caroliniana	ITIS	506986
Fraxinus americana	scientific	Fraxinus americana	ITIS	32931
Fraxinus pennsylvanica	scientific	Fraxinus pennsylvanica	ITIS	32929
Gleditsia triacanthos	scientific	Gleditsia triacanthos	ITIS	26714
Gymnocladus dioicus	scientific	Gymnocladus dioicus	ITIS	502851
Ilex decidua	scientific	Ilex decidua	GBIF Backbone Taxonomy	5414259
Juglans nigra	scientific	Juglans nigra	ITIS	19254
Juniperus virginiana	scientific	Juniperus virginiana	ITIS	18048
Koelreuteria paniculata	scientific	Koelreuteria paniculata	ITIS	503286
Ligustrum vulgare	scientific	Ligustrum vulgare	ITIS	32980
Lindera benzoin	scientific	Lindera benzoin	ITIS	18147
Liquidamber styraciflua	scientific	Liquidamber styraciflua	ITIS	NA
Liriodendron tulipifera	scientific	Liriodendron tulipifera	ITIS	18086
Lonicera morrowii	scientific	Lonicera morrowii	ITIS	35299
Lonicera tatarica	scientific	Lonicera tatarica	ITIS	35306
Maclura pomifera	scientific	Maclura pomifera	ITIS	19102
Morus alba	scientific	Morus alba	ITIS	19066
Morus rubra	scientific	Morus rubra	ITIS	19070
Nyssa sylvatica	scientific	Nyssa sylvatica	ITIS	27821
Ostrya virginiana	scientific	Ostrya virginiana	ITIS	19511
Picea glauca	scientific	Picea glauca	ITIS	183295
Pinus strobus	scientific	Pinus strobus	ITIS	183385
Pinus taeda	scientific	Pinus taeda	ITIS	18037
Platanus occidentalis	scientific	Platanus occidentalis	ITIS	19020
Poncirus trifoliata	scientific	Poncirus trifoliata	ITIS	28989
Populus deltoides	scientific	Populus deltoides	ITIS	22445
Populus grandidentata	scientific	Populus grandidentata	ITIS	22463
Populus tremuloides	scientific	Populus tremuloides	ITIS	195773
Prunus americana	scientific	Prunus americana	ITIS	24763
Prunus serotina	scientific	Prunus serotina	ITIS	24764
Prunus virginiana	scientific	Prunus virginiana	ITIS	24806
Pseudotsuga menziesii	scientific	Pseudotsuga menziesii	ITIS	183424
Quercus alba	scientific	Quercus alba	ITIS	19290
Quercus coccinea	scientific	Quercus coccinea	ITIS	19288
Quercus falcata	scientific	Quercus falcata	ITIS	19277
Quercus imbricaria	scientific	Quercus imbricaria	ITIS	19359
Quercus macrocarpa	scientific	Quercus macrocarpa	ITIS	19287
Quercus marilandica	scientific	Quercus marilandica	ITIS	19374
Quercus muehlenbergii	scientific	Quercus muehlenbergii	ITIS	504714
Quercus nigra	scientific	Quercus nigra	ITIS	19280
Quercus pagoda	scientific	Quercus pagoda	ITIS	195195
Quercus phellos	scientific	Quercus phellos	ITIS	19282
Quercus rubra	scientific	Quercus rubra	ITIS	19408
Quercus shumardii	scientific	Quercus shumardii	ITIS	19417
Quercus stellata	scientific	Quercus stellata	ITIS	19422
Quercus velutina	scientific	Quercus velutina	ITIS	19447
Rhamnus cathartica	scientific	Rhamnus cathartica	ITIS	28573
Rhus aromatica	scientific	Rhus aromatica	ITIS	28779
Rhus copallinum	scientific	Rhus copallinum	ITIS	504754
Rhus glabra	scientific	Rhus glabra	ITIS	28782
Robinia pseudoacacia	scientific	Robinia pseudoacacia	ITIS	504804
Salix nigra	scientific	Salix nigra	ITIS	22484
Sambucus nigra ssp. canadensis	scientific	Sambucus nigra ssp. canadensis	ITIS	525079
Sapindus sapinnaria var. drummondii	scientific	Sapindus sapinnaria var. drummondii	NA	NA
Sassafras albidum	scientific	Sassafras albidum	ITIS	18158
Sideroxylon lanuginosum	scientific	Sideroxylon lanuginosum	ITIS	505219
Staphylea trifolia	scientific	Staphylea trifolia	ITIS	28646
Symphoricarpos occidentalis	scientific	Symphoricarpos occidentalis	ITIS	35336
Taxodium distichum	scientific	Taxodium distichum	ITIS	18041
Tilia americana	scientific	Tilia americana	ITIS	21536
Ulmus alata	scientific	Ulmus alata	ITIS	19051
Ulmus americana	scientific	Ulmus americana	ITIS	19049
Ulmus pumila	scientific	Ulmus pumila	ITIS	19057
Ulmus rubra	scientific	Ulmus rubra	ITIS	19050
Viburnum prunifolium	scientific	Viburnum prunifolium	ITIS	35253
Viburnum rufidulum	scientific	Viburnum rufidulum	ITIS	35274
Vitis riparia	scientific	Vitis riparia	ITIS	28624
Zanthoxylum americanum	scientific	Zanthoxylum americanum	ITIS	505788
