ParkUnit,Plot,SubPlot,EventDate,CanopyType,ReadingNumber,DotScore
Arkansas Post,ARPO1,1,2007-06-05,Hardwood,1,93
Arkansas Post,ARPO1,1,2007-06-05,Hardwood,2,95
Arkansas Post,ARPO1,1,2007-06-05,Hardwood,3,96
Arkansas Post,ARPO1,1,2007-06-05,Hardwood,4,93
Arkansas Post,ARPO1,1,2007-06-05,Total,1,93
Arkansas Post,ARPO1,1,2007-06-05,Total,2,95
Arkansas Post,ARPO1,1,2007-06-05,Total,3,96
Arkansas Post,ARPO1,1,2007-06-05,Total,4,93
Arkansas Post,ARPO1,1,2011-06-08,Hardwood,1,96
Arkansas Post,ARPO1,1,2011-06-08,Hardwood,2,96
Arkansas Post,ARPO1,1,2011-06-08,Hardwood,3,96
Arkansas Post,ARPO1,1,2011-06-08,Hardwood,4,96
Arkansas Post,ARPO1,1,2011-06-08,Total,1,96
Arkansas Post,ARPO1,1,2011-06-08,Total,2,96
Arkansas Post,ARPO1,1,2011-06-08,Total,3,96
Arkansas Post,ARPO1,1,2011-06-08,Total,4,96
Arkansas Post,ARPO1,1,2015-05-18,Hardwood,1,91
Arkansas Post,ARPO1,1,2015-05-18,Hardwood,2,92
Arkansas Post,ARPO1,1,2015-05-18,Hardwood,3,92
Arkansas Post,ARPO1,1,2015-05-18,Hardwood,4,93
Arkansas Post,ARPO1,1,2015-05-18,Total,1,91
Arkansas Post,ARPO1,1,2015-05-18,Total,2,92
Arkansas Post,ARPO1,1,2015-05-18,Total,3,92
Arkansas Post,ARPO1,1,2015-05-18,Total,4,93
Arkansas Post,ARPO1,1,2019-05-21,Hardwood,1,83
Arkansas Post,ARPO1,1,2019-05-21,Hardwood,2,87
Arkansas Post,ARPO1,1,2019-05-21,Hardwood,3,85
Arkansas Post,ARPO1,1,2019-05-21,Hardwood,4,82
Arkansas Post,ARPO1,1,2019-05-21,Total,1,83
Arkansas Post,ARPO1,1,2019-05-21,Total,2,87
Arkansas Post,ARPO1,1,2019-05-21,Total,3,85
Arkansas Post,ARPO1,1,2019-05-21,Total,4,82
Arkansas Post,ARPO10,1,2007-06-07,Hardwood,1,96
