ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyHeight
Arkansas Post,ARPO1,1,2007-06-05,Hardwood,23
Arkansas Post,ARPO1,1,2011-06-08,Hardwood,22.4
Arkansas Post,ARPO1,1,2015-05-18,Hardwood,37
Arkansas Post,ARPO1,1,2019-05-21,Hardwood,30.5
Arkansas Post,ARPO1,1,2019-05-21,Conifer,0.5
Arkansas Post,ARPO10,1,2007-06-07,Hardwood,5
Arkansas Post,ARPO10,1,2011-06-07,Hardwood,13.1
Arkansas Post,ARPO10,1,2015-05-19,Hardwood,13.5
Arkansas Post,ARPO10,1,2019-05-20,Hardwood,13
Arkansas Post,ARPO10,1,2019-05-20,Conifer,0.4
Arkansas Post,ARPO11,1,2015-05-19,Hardwood,6
Arkansas Post,ARPO12,1,2007-06-05,Hardwood,8
Arkansas Post,ARPO12,1,2011-06-08,Hardwood,27.5
Arkansas Post,ARPO12,1,2015-05-18,Hardwood,40
Arkansas Post,ARPO12,1,2019-05-21,Hardwood,0
Arkansas Post,ARPO13,1,2007-06-05,Hardwood,32.5
Arkansas Post,ARPO13,1,2011-06-08,Hardwood,7.2
Arkansas Post,ARPO13,1,2015-05-18,Hardwood,39
Arkansas Post,ARPO13,1,2019-05-21,Hardwood,11.5
Arkansas Post,ARPO14,1,2007-06-06,Hardwood,28
Arkansas Post,ARPO14,1,2011-06-08,Hardwood,29
Arkansas Post,ARPO14,1,2015-05-18,Hardwood,30
Arkansas Post,ARPO14,1,2019-05-21,Hardwood,25.5
Arkansas Post,ARPO15,1,2007-06-06,Hardwood,4
Arkansas Post,ARPO15,1,2011-06-08,Hardwood,31.7
Arkansas Post,ARPO15,1,2015-05-18,Hardwood,44
Arkansas Post,ARPO15,1,2019-05-21,Hardwood,8
Arkansas Post,ARPO16,1,2007-06-05,Hardwood,32
Arkansas Post,ARPO16,1,2011-06-08,Hardwood,30.9
Arkansas Post,ARPO16,1,2015-05-18,Hardwood,33
Arkansas Post,ARPO16,1,2019-05-21,Hardwood,32
Arkansas Post,ARPO17,1,2007-06-05,Hardwood,30
Arkansas Post,ARPO17,1,2011-06-08,Hardwood,28.5
Arkansas Post,ARPO17,1,2015-05-18,Hardwood,40
Arkansas Post,ARPO17,1,2019-05-21,Hardwood,32.5
Arkansas Post,ARPO18,1,2007-06-06,Hardwood,14
Arkansas Post,ARPO18,1,2011-06-08,Hardwood,14
Arkansas Post,ARPO18,1,2015-05-18,Hardwood,22
Arkansas Post,ARPO18,1,2019-05-20,Hardwood,19.5
Arkansas Post,ARPO19,1,2007-06-06,Conifer,9
Arkansas Post,ARPO19,1,2007-06-06,Hardwood,17
Arkansas Post,ARPO19,1,2011-06-08,Hardwood,28.7
Arkansas Post,ARPO19,1,2015-05-18,Hardwood,35
Arkansas Post,ARPO19,1,2019-05-21,Hardwood,16.5
