PlotID,decimalLongitude,decimalLatitude
HOCU1,-83.007052,39.373643
HOCU2,-83.007155,39.377238
HOCU4,-83.002664,39.377315
HOCU3,-83.007256,39.380764
HOCU5,-82.975234,39.381415
HOCU6,-82.979207,39.381348
HOCU7,-82.983827,39.381269
HOCU8,-82.983928,39.384867
HOCU9,-82.979309,39.384945
HOCU10,-82.979411,39.388556
HOCU11,-82.977839,39.379802
HOCU12,-83.099337,39.361357
HOCU13,-83.094816,39.365043
HOCU14,-83.094709,39.361441
HOCU15,-83.09357,39.358668
HOCU16,-83.09008,39.361524
HOCU17,-83.090188,39.365126
HOCU18,-83.085452,39.361607
HOCU19,-82.92122,39.288876
HOCU20,-82.920874,39.2991
HOCU21,-82.921602,39.30282
HOCU22,-82.917056,39.299163
HOCU23,-82.916961,39.29565
HOCU24,-83.222207,39.238446
HOCU25,-83.222094,39.234854
HOCU26,-83.221985,39.231414
HOCU27,-83.215237,39.233795
ARPO5,-91.346247,34.017896
ARPO4,-91.349259,34.020487
ARPO3,-91.346148,34.022996
ARPO1,-91.349161,34.025587
ARPO2,-91.343036,34.025504
ARPO11,-91.267358,33.981103
ARPO8,-91.270367,33.983696
ARPO9,-91.264245,33.983609
ARPO6,-91.267254,33.986202
ARPO10,-91.258124,33.983523
ARPO7,-91.261132,33.986116
ARPO27,-91.343284,34.012755
ARPO26,-91.34479,34.014051
ARPO25,-91.347802,34.016642
ARPO24,-91.349309,34.017937
ARPO21,-91.352322,34.020528
ARPO23,-91.347753,34.019192
ARPO18,-91.350766,34.021782
ARPO22,-91.346197,34.020446
ARPO19,-91.347704,34.021741
ARPO17,-91.34921,34.023037
ARPO20,-91.344641,34.0217
ARPO14,-91.347654,34.024291
ARPO15,-91.344592,34.02425
ARPO12,-91.346098,34.025546
ARPO16,-91.341529,34.024209
ARPO13,-91.339973,34.025463
ARPO33,-91.268862,33.982399
ARPO35,-91.264297,33.98106
ARPO34,-91.265801,33.982356
ARPO31,-91.267306,33.983652
ARPO28,-91.268811,33.984949
ARPO29,-91.26575,33.984906
ARPO36,-91.258176,33.980973
ARPO32,-91.261184,33.983566
ARPO30,-91.262689,33.984863
EFMO1,-91.183063,43.108123
EFMO2,-91.183831,43.104565
EFMO3,-91.184599,43.101007
EFMO4,-91.214489,43.100825
EFMO5,-91.209635,43.100263
EFMO8,-91.185366,43.097453
EFMO9,-91.180513,43.09689
EFMO12,-91.210401,43.096704
EFMO13,-91.205547,43.096142
EFMO14,-91.200694,43.09558
EFMO15,-91.190986,43.094458
EFMO16,-91.186134,43.093895
EFMO18,-91.220875,43.09427
EFMO17,-91.18128,43.093332
EFMO19,-91.216021,43.093708
EFMO22,-91.20146,43.092026
EFMO26,-91.231347,43.091834
EFMO24,-91.191754,43.0909
EFMO25,-91.1869,43.090337
EFMO27,-91.211933,43.089592
EFMO33,-91.232112,43.088276
EFMO34,-91.207846,43.085472
EFMO37,-91.188435,43.083225
EFMO38,-91.183583,43.082662
EFMO39,-91.213465,43.082475
EFMO40,-91.208612,43.081913
EFMO41,-91.198907,43.080793
EFMO42,-91.189202,43.079667
EFMO43,-91.18435,43.079104
EFMO44,-91.18997,43.076109
EFMO45,-91.185117,43.07555
EFMO46,-91.190736,43.072555
EFMO47,-91.185884,43.071992
GWCA63,-94.357186,36.982304
GWCA53,-94.358797,36.98356
GWCA65,-94.354008,36.98234
GWCA55,-94.35562,36.983597
GWCA41,-94.358842,36.986109
GWCA57,-94.352442,36.983633
GWCA32,-94.357276,36.987402
GWCA21,-94.358887,36.988658
GWCA34,-94.354099,36.987438
GWCA23,-94.35571,36.988694
GWCA12,-94.357321,36.989951
GWCA1,-94.358933,36.991207
GWCA25,-94.352532,36.988731
GWCA14,-94.354144,36.989987
GWCA3,-94.355755,36.991243
GWCA5,-94.352578,36.99128
GWCA67,-94.357968,36.981658
GWCA62,-94.358774,36.982286
GWCA68,-94.35638,36.981676
GWCA58,-94.357991,36.982932
GWCA69,-94.354791,36.981694
GWCA64,-94.355597,36.982322
GWCA59,-94.356403,36.98295
GWCA54,-94.357208,36.983578
GWCA49,-94.358014,36.984207
GWCA46,-94.358819,36.984835
GWCA70,-94.353203,36.981712
GWCA60,-94.354814,36.982968
GWCA50,-94.356425,36.984225
GWCA43,-94.358036,36.985481
GWCA66,-94.35242,36.982358
GWCA61,-94.353225,36.982987
GWCA56,-94.354031,36.983615
GWCA51,-94.354836,36.984243
GWCA47,-94.355642,36.984871
GWCA44,-94.356448,36.985499
GWCA42,-94.357253,36.986127
GWCA36,-94.358059,36.986756
GWCA31,-94.358865,36.987384
GWCA52,-94.353248,36.984261
GWCA37,-94.35647,36.986774
GWCA26,-94.358082,36.98803
GWCA48,-94.352465,36.984907
GWCA45,-94.35327,36.985535
GWCA38,-94.354882,36.986792
GWCA33,-94.355687,36.98742
GWCA27,-94.356493,36.988048
GWCA22,-94.357299,36.988676
GWCA16,-94.358104,36.989304
GWCA11,-94.35891,36.989933
GWCA39,-94.353293,36.98681
GWCA28,-94.354904,36.988066
GWCA17,-94.356516,36.989323
GWCA6,-94.358127,36.990579
GWCA40,-94.351704,36.986828
GWCA35,-94.35251,36.987456
GWCA29,-94.353316,36.988084
GWCA24,-94.354121,36.988713
GWCA18,-94.354927,36.989341
GWCA13,-94.355733,36.989969
GWCA7,-94.356538,36.990597
GWCA2,-94.357344,36.991225
GWCA30,-94.351727,36.988103
GWCA19,-94.353338,36.989359
GWCA8,-94.35495,36.990615
GWCA20,-94.351749,36.989377
GWCA15,-94.352555,36.990005
GWCA9,-94.353361,36.990633
GWCA4,-94.354166,36.991262
GWCA10,-94.351772,36.990652
HEHO3,-91.355782,41.665755
HEHO6,-91.353918,41.66462
HEHO2,-91.354267,41.667153
HEHO5,-91.352403,41.666017
HEHO9,-91.350539,41.664882
HEHO1,-91.354617,41.669687
HEHO4,-91.350888,41.667415
HEHO8,-91.349024,41.666279
HEHO7,-91.34751,41.667677
HEHO12,-91.355199,41.667721
HEHO11,-91.354442,41.66842
HEHO10,-91.353685,41.669119
HEHO14,-91.355024,41.666454
HEHO13,-91.35351,41.667852
HEHO18,-91.35485,41.665187
HEHO17,-91.354092,41.665886
HEHO16,-91.353335,41.666585
HEHO15,-91.352578,41.667284
HEHO20,-91.35316,41.665318
HEHO19,-91.351646,41.666716
HEHO24,-91.351471,41.665449
HEHO23,-91.350714,41.666148
HEHO22,-91.349956,41.666847
HEHO21,-91.349199,41.667546
HEHO26,-91.349782,41.66558
HEHO25,-91.348267,41.666978
HEHO27,-91.355549,41.670254
HEHO28,-91.355374,41.668988
HEHO29,-91.352927,41.669818
HEHO31,-91.352753,41.668551
HEHO30,-91.351995,41.66925
HEHO33,-91.351063,41.668682
HEHO32,-91.350306,41.669381
HEHO36,-91.350131,41.668114
HEHO35,-91.349374,41.668813
HEHO34,-91.348616,41.669512
HEHO38,-91.348442,41.668245
HEHO37,-91.346927,41.669643
HOME27,-96.838166,40.28524
HOME28,-96.836504,40.285209
HOME20,-96.837314,40.285861
HOME29,-96.834841,40.285178
HOME21,-96.835652,40.28583
HOME30,-96.833178,40.285147
HOME22,-96.833989,40.285799
HOME15,-96.8348,40.286451
HOME23,-96.832327,40.285768
HOME16,-96.833138,40.28642
