ParkUnit,Plot,HabitatType,Slope,SlopeVariability,Aspect,AspectVariability,InRiparianCorridor
Agate Fossil Beds,AGFO1,prairie,2,medium,165,medium,0
Agate Fossil Beds,AGFO10,prairie,1,low,335,medium,0
Agate Fossil Beds,AGFO11,prairie,2,medium,300,high,0
Agate Fossil Beds,AGFO12,prairie,4,medium,327,medium,0
Agate Fossil Beds,AGFO13,prairie,6,low,31,low,0
Agate Fossil Beds,AGFO14,prairie,4,medium,310,high,0
Agate Fossil Beds,AGFO15,prairie,2,medium,310,high,0
Agate Fossil Beds,AGFO16,prairie,1,low,355,medium,0
Agate Fossil Beds,AGFO17,riparian,1,low,335,medium,1
Agate Fossil Beds,AGFO18,riparian,3,medium,0,low,1
Agate Fossil Beds,AGFO19,riparian,2,low,317,low,1
Agate Fossil Beds,AGFO2,prairie,15,high,45,high,0
Agate Fossil Beds,AGFO20,riparian,0,low,135,low,1
Agate Fossil Beds,AGFO21,riparian,0,low,85,low,1
Agate Fossil Beds,AGFO22,riparian,1,low,155,low,1
Agate Fossil Beds,AGFO23,riparian,2,medium,300,high,1
Agate Fossil Beds,AGFO24,riparian,0,low,97,low,1
Agate Fossil Beds,AGFO25,riparian,0,medium,104,medium,1
Agate Fossil Beds,AGFO26,riparian,2,low,289,low,1
Agate Fossil Beds,AGFO27,riparian,0,low,105,low,1
Agate Fossil Beds,AGFO28,riparian,0,low,120,low,1
Agate Fossil Beds,AGFO29,riparian,1,low,10,low,1
Agate Fossil Beds,AGFO3,prairie,15,high,240,high,0
Agate Fossil Beds,AGFO30,riparian,1,low,32,low,1
Agate Fossil Beds,AGFO31,prairie,2,low,130,medium,0
Agate Fossil Beds,AGFO32,prairie,5,medium,85,high,0
Agate Fossil Beds,AGFO33,prairie,5,medium,125,medium,0
Agate Fossil Beds,AGFO34,prairie,1,low,90,low,0
Agate Fossil Beds,AGFO35,prairie,4,medium,198,medium,0
Agate Fossil Beds,AGFO36,prairie,2,medium,97,medium,0
Agate Fossil Beds,AGFO37,prairie,3,low,171,medium,0
Agate Fossil Beds,AGFO38,prairie,4,low,122,low,0
Agate Fossil Beds,AGFO39,prairie,1,low,155,low,0
Agate Fossil Beds,AGFO4,prairie,5,medium,355,high,0
Agate Fossil Beds,AGFO40,prairie,6,low,153,medium,0
Agate Fossil Beds,AGFO41,prairie,5,low,122,medium,0
Agate Fossil Beds,AGFO42,prairie,8,medium,150,medium,0
Agate Fossil Beds,AGFO43,prairie,3,low,168,low,0
Agate Fossil Beds,AGFO44,prairie,3,low,151,low,0
Agate Fossil Beds,AGFO45,prairie,23,low,148,low,0
Agate Fossil Beds,AGFO46,prairie,0,low,120,low,0
Agate Fossil Beds,AGFO47,prairie,6,medium,341,medium,0
Agate Fossil Beds,AGFO48,prairie,1,low,150,low,0
Agate Fossil Beds,AGFO49,prairie,1,low,165,low,0
Agate Fossil Beds,AGFO5,prairie,5,medium,215,high,0
Agate Fossil Beds,AGFO50,prairie,6,medium,19,high,0
Agate Fossil Beds,AGFO51,prairie,1,low,130,low,0
Agate Fossil Beds,AGFO52,prairie,0,high,20,high,0
Agate Fossil Beds,AGFO53,prairie,13,high,320,high,0
Agate Fossil Beds,AGFO54,prairie,7,high,233,high,0
Agate Fossil Beds,AGFO6,prairie,4,low,217,high,0
Agate Fossil Beds,AGFO7,prairie,2,low,333,low,0
Agate Fossil Beds,AGFO8,prairie,1,low,313,low,0
Agate Fossil Beds,AGFO9,prairie,13,medium,348,high,0
Arkansas Post,ARPO1,Unknown,2.5,low,246,low,0
Arkansas Post,ARPO10,Unknown,1,low,120,medium,0
Arkansas Post,ARPO11,Unknown,1,low,118,low,0
Arkansas Post,ARPO12,Unknown,0,low,272,low,0
Arkansas Post,ARPO13,Unknown,0,low,326,low,0
Arkansas Post,ARPO14,Unknown,0.5,low,12,low,0
Arkansas Post,ARPO15,Unknown,0,low,38,low,0
Arkansas Post,ARPO16,Unknown,0,low,116,low,0
Arkansas Post,ARPO17,Unknown,0,low,332,low,0
Arkansas Post,ARPO18,Unknown,2,low,244,low,0
Arkansas Post,ARPO19,Unknown,0.5,low,208,low,0
Arkansas Post,ARPO2,Unknown,0.5,low,176,low,0
Arkansas Post,ARPO20,Unknown,0,low,96,low,0
Arkansas Post,ARPO21,Unknown,0,low,168,low,0
Arkansas Post,ARPO22,Unknown,1,low,314,low,0
Arkansas Post,ARPO23,Unknown,4,low,123,low,0
Arkansas Post,ARPO24,Unknown,0,low,272,low,0
Arkansas Post,ARPO25,Unknown,4,low,30,low,0
Arkansas Post,ARPO26,Unknown,0,low,138,low,0
Arkansas Post,ARPO27,Unknown,1,low,90,low,0
Arkansas Post,ARPO28,Unknown,9,low,75,low,0
Arkansas Post,ARPO29,Unknown,0,low,136,low,0
Arkansas Post,ARPO3,Unknown,1,low,168,low,0
Arkansas Post,ARPO30,Unknown,3,low,324,low,0
Arkansas Post,ARPO31,Unknown,1.5,low,190,low,0
Arkansas Post,ARPO32,Unknown,1.5,low,226,low,0
Arkansas Post,ARPO33,Unknown,0.5,low,120,low,0
Arkansas Post,ARPO34,Unknown,3,low,266,low,0
Arkansas Post,ARPO35,Unknown,1,low,82,low,0
Arkansas Post,ARPO36,Unknown,0,low,82,low,0
Arkansas Post,ARPO4,Unknown,1.5,low,209,medium,0
Arkansas Post,ARPO5,Unknown,1,medium,51,medium,0
Arkansas Post,ARPO6,Unknown,1.5,low,129,low,0
Arkansas Post,ARPO7,Unknown,3,low,228,low,0
Arkansas Post,ARPO8,Unknown,0,low,0,low,0
Arkansas Post,ARPO9,Unknown,2,low,267,low,0
Effigy Mounds,EFMO1,Unknown,9,medium,88,low,0
Effigy Mounds,EFMO10,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO11,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO12,Unknown,17,low,172,medium,0
Effigy Mounds,EFMO13,Unknown,1,low,154,low,1
Effigy Mounds,EFMO14,Unknown,2,low,89,low,1
Effigy Mounds,EFMO15,Unknown,9,high,270,high,1
Effigy Mounds,EFMO16,Unknown,4,high,227,high,0
Effigy Mounds,EFMO17,Unknown,12,low,132,low,0
Effigy Mounds,EFMO18,Unknown,13,low,38,low,0
Effigy Mounds,EFMO19,Unknown,3,low,359,low,0
Effigy Mounds,EFMO2,Unknown,9,medium,169,low,0
Effigy Mounds,EFMO20,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO21,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO22,Unknown,21,medium,47,low,0
Effigy Mounds,EFMO23,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO24,Unknown,16,low,208,low,0
Effigy Mounds,EFMO25,Unknown,14,low,287,low,0
Effigy Mounds,EFMO26,Unknown,20,low,36,low,0
Effigy Mounds,EFMO27,Unknown,1,low,94,low,0
Effigy Mounds,EFMO28,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO29,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO3,Unknown,7,low,347,low,0
Effigy Mounds,EFMO30,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO31,Unknown,NULL,Unknown,NULL,Unknown,1
Effigy Mounds,EFMO32,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO33,Unknown,19,medium,204,low,0
Effigy Mounds,EFMO34,Unknown,14,medium,32,low,0
Effigy Mounds,EFMO35,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO36,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO37,Unknown,27,low,308,low,1
Effigy Mounds,EFMO38,Unknown,35,low,150,low,0
Effigy Mounds,EFMO39,Unknown,8,low,300,low,0
Effigy Mounds,EFMO4,Unknown,7,low,321,low,0
Effigy Mounds,EFMO40,Unknown,11,medium,346,medium,1
Effigy Mounds,EFMO41,Unknown,11,low,18,low,0
Effigy Mounds,EFMO42,Unknown,21,low,268,low,0
Effigy Mounds,EFMO43,Unknown,15,low,252,low,1
Effigy Mounds,EFMO44,Unknown,30,low,268,low,0
Effigy Mounds,EFMO45,Unknown,13,low,27,low,0
Effigy Mounds,EFMO46,Unknown,19,low,298,low,0
Effigy Mounds,EFMO47,Unknown,6,medium,304,low,0
Effigy Mounds,EFMO48,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO49,Unknown,NULL,Unknown,NULL,Unknown,0
Effigy Mounds,EFMO5,Unknown,14,high,43,high,0
Effigy Mounds,EFMO50,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO51,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO52,Unknown,1,low,359,low,0
Effigy Mounds,EFMO6,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO7,Unknown,NULL,Unknown,0,Unknown,0
Effigy Mounds,EFMO8,Unknown,7,high,211,high,1
Effigy Mounds,EFMO9,Unknown,12,low,29,low,0
George Washington Carver,GWCA1,Unknown,2,high,132,medium,1
George Washington Carver,GWCA10,Unknown,1,low,235,low,0
George Washington Carver,GWCA11,Unknown,1,medium,149,low,1
George Washington Carver,GWCA12,Unknown,1,low,240,low,0
George Washington Carver,GWCA13,Unknown,2,low,210,low,0
George Washington Carver,GWCA14,Unknown,2,low,173,low,0
George Washington Carver,GWCA15,Unknown,1,low,229,low,0
George Washington Carver,GWCA16,Unknown,1,low,235,low,0
George Washington Carver,GWCA17,Unknown,1,low,236,low,0
George Washington Carver,GWCA18,Unknown,3,low,105,low,0
George Washington Carver,GWCA19,Unknown,1,low,220,low,0
George Washington Carver,GWCA2,Unknown,1,low,311,low,1
George Washington Carver,GWCA20,Unknown,1,low,190,low,0
George Washington Carver,GWCA21,Unknown,1,low,230,low,0
George Washington Carver,GWCA22,Unknown,1,low,228,low,0
George Washington Carver,GWCA23,Unknown,1,low,254,low,1
George Washington Carver,GWCA24,Unknown,1,low,239,low,0
George Washington Carver,GWCA25,Unknown,1,low,225,low,0
George Washington Carver,GWCA26,Unknown,1,low,347,low,1
George Washington Carver,GWCA27,Unknown,4,low,276,low,1
George Washington Carver,GWCA28,Unknown,2,low,184,low,1
George Washington Carver,GWCA29,Unknown,1,low,194,low,1
George Washington Carver,GWCA3,Unknown,2,low,249,low,0
George Washington Carver,GWCA30,Unknown,1,low,178,low,1
George Washington Carver,GWCA31,Unknown,1,low,335,low,0
George Washington Carver,GWCA32,Unknown,1,low,344,low,1
George Washington Carver,GWCA33,Unknown,3,medium,314,low,0
George Washington Carver,GWCA34,Unknown,7,low,1,low,1
George Washington Carver,GWCA35,Unknown,2,low,349,low,0
