ParkUnit,Plot,EventDate,VegType,CovClass,MidpointValue,Range
Agate Fossil Beds,AGFO1,2001-05-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,2003-06-04,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,2004-06-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,2005-06-06,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,2006-06-06,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,2001-05-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,2003-06-03,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,2004-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,2005-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,2006-06-07,Drainage,2,3,1 - 5%
Agate Fossil Beds,AGFO10,2006-06-07,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO11,2001-05-08,Pasture Road,3,15,5 - 25%
Agate Fossil Beds,AGFO11,2001-05-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO11,2003-06-03,Pasture Road,3,15,5 - 25%
Agate Fossil Beds,AGFO11,2003-06-03,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO11,2004-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO11,2005-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO11,2006-06-07,Pasture Road,3,15,5 - 25%
Agate Fossil Beds,AGFO11,2006-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,2001-05-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,2003-06-03,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,2004-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,2005-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,2006-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,2001-05-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,2003-06-03,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,2004-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,2005-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,2006-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,2001-05-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,2003-06-03,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,2004-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,2005-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,2006-06-07,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO15,2003-06-05,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO15,2004-06-09,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO15,2005-06-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO15,2006-06-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO16,2003-06-05,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO16,2004-06-09,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO16,2005-06-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO16,2006-06-08,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO17,2001-05-08,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO17,2001-05-08,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO17,2003-06-03,Shrub,3,15,5 - 25%
Agate Fossil Beds,AGFO17,2003-06-03,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO17,2003-06-03,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO17,2003-06-03,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO17,2004-06-07,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO17,2004-06-07,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO17,2005-06-07,Stream,2,3,1 - 5%
Agate Fossil Beds,AGFO17,2005-06-07,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO17,2006-06-07,Pasture Road,2,3,1 - 5%
Agate Fossil Beds,AGFO17,2006-06-07,Shrub,4,37.5,25 - 50%
Agate Fossil Beds,AGFO17,2006-06-07,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO17,2006-06-07,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO18,2001-05-08,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,2001-05-08,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,2003-06-03,Shrub,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,2003-06-03,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO18,2003-06-03,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO18,2003-06-03,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO18,2004-06-07,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO18,2004-06-07,Upland Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,2005-06-07,Stream,2,3,1 - 5%
Agate Fossil Beds,AGFO18,2005-06-07,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO18,2005-06-07,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,2006-06-07,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO18,2006-06-07,Upland Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,2006-06-07,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,2001-05-08,Intermittent Water Cover,3,15,5 - 25%
Agate Fossil Beds,AGFO19,2001-05-08,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO19,2003-06-05,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,2003-06-05,Wetland,5,62.5,50 - 75%
