ParkName,ParkCode,PeriodID,EventID,SurveyNumber,Round,DeerDate,StartTime,BeginningTemperatureInCelsius,BeginningHumidityInPercent,BeginningWindInMetersPerSecond,BeginningWindDirectionInDegrees,BeginningPrecipitation,EndTime,EndingTemperatureInCelsius,EndingHumidityInPercent,EndingWindInMetersPerSecond,EndingWindDirectionInDegrees,EndingPrecipitation,MoonIlluminationInPercent,DeerTotal,BeginningCloudCoverInPercent,EndingCloudCoverInPercent,VisibleAreaInSquareKilometers,DeerID,Year,Group,SideOfVehicle,DistanceInMeters,AngleInDegrees,QuadrantCompass,DeerNumber,VegetationType,Comment,GPSDate,GPSTime,GlobalID,LongitudeInDecimalDegrees,LatitudeInDecimalDegrees,GeodeticDatum,VerbatimCoordinates,VerbatimCoordinatesSystem,VerbatimSRS,dwcType,BasisofRecord,ScientificName,TaxonRank
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021030,1,DayA,2005-03-02,10:30:00,11.4,20.8,0.7,286,No rain,11:05:00,11.4,21.1,0.26,277,No rain,0,10, 5 - 25, 5 - 25,0.74,1,2005,1,Right,18,90,-9999,2,Upland Forest,NA,2005-03-02,10:44:52,{DAB1B4EC-03AF-4B8F-8A55-DAE18A8BFDE4},-93.4023314,37.10364242,EPSG:4326,15N 464250.699E 4106445.581N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021030,1,DayA,2005-03-02,10:30:00,11.4,20.8,0.7,286,No rain,11:05:00,11.4,21.1,0.26,277,No rain,0,10, 5 - 25, 5 - 25,0.74,2,2005,2,Right,84,90,-9999,3,Riparian Grassland,NA,2005-03-02,10:50:32,{E4005559-1293-483F-B103-E2E58DA97BC2},-93.40342719,37.09303374,EPSG:4326,15N 464148.335E 4105269.112N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021030,1,DayA,2005-03-02,10:30:00,11.4,20.8,0.7,286,No rain,11:05:00,11.4,21.1,0.26,277,No rain,0,10, 5 - 25, 5 - 25,0.74,3,2005,3,Right,23,90,-9999,4,Riparian Forest,NA,2005-03-02,10:56:08,{49F15683-F89F-424E-80B3-A85851D9BC49},-93.41139693,37.09721264,EPSG:4326,15N 463442.087E 4105735.739N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021030,1,DayA,2005-03-02,10:30:00,11.4,20.8,0.7,286,No rain,11:05:00,11.4,21.1,0.26,277,No rain,0,10, 5 - 25, 5 - 25,0.74,4,2005,4,Left,26,90,-9999,1,Upland Forest,NA,2005-03-02,11:00:07,{37BEBAB3-9971-4C12-A784-6E11D7329486},-93.41588539,37.10280183,EPSG:4326,15N 463045.941E 4106357.518N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021230,1,DayC,2005-03-02,12:30:00,12.2,17.5,2.3,47,No rain,13:07:00,14.5,14.4,0.5,34,No rain,0,12, 5 - 25, 5 - 25,0.74,5,2005,1,Right,18,90,-9999,4,Upland Forest,NA,2005-03-02,12:41:21,{E56A929C-F819-433A-9F89-4EFB4D5130F9},-93.40251377,37.10342594,EPSG:4326,15N 464234.393E 4106421.634N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021230,1,DayC,2005-03-02,12:30:00,12.2,17.5,2.3,47,No rain,13:07:00,14.5,14.4,0.5,34,No rain,0,12, 5 - 25, 5 - 25,0.74,6,2005,2,Left,0,90,-9999,1,Upland Forest,On road,2005-03-02,12:42:40,{5F9A97B2-9A66-4895-9D0F-79EDC31F8284},-93.40251351,37.10342374,EPSG:4326,15N 464234.417E 4106421.39N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021230,1,DayC,2005-03-02,12:30:00,12.2,17.5,2.3,47,No rain,13:07:00,14.5,14.4,0.5,34,No rain,0,12, 5 - 25, 5 - 25,0.74,7,2005,3,Right,102,90,-9999,3,Riparian Grassland,NA,2005-03-02,12:49:50,{670F62EA-0D15-45C3-B8DD-B3A12B59163B},-93.40342652,37.0930516,EPSG:4326,15N 464148.402E 4105271.092N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021230,1,DayC,2005-03-02,12:30:00,12.2,17.5,2.3,47,No rain,13:07:00,14.5,14.4,0.5,34,No rain,0,12, 5 - 25, 5 - 25,0.74,8,2005,4,Right,202,90,-9999,4,Riparian Grassland,NA,2005-03-02,12:51:42,{65435DFE-2518-473A-BEFC-26C8903651F3},-93.40347017,37.09326881,EPSG:4326,15N 464144.626E 4105295.206N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,9,2005,1,Right,36,90,-9999,2,Upland Forest,NA,2005-03-02,19:26:20,{F38FBC69-DB64-4780-886A-6E3F23829BDB},-93.41378083,37.11643731,EPSG:4326,15N 463239.536E 4107869.367N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
Wilson's Creek National Battlefield,WICR,WICRDeerSV2005Mar02,WICRDeerSV2005Mar021923,1,A,2005-03-02,19:23:00,11,34.2,0,-9999,No rain,20:24:00,10.4,27.2,0.3,30,No rain,66,55, 50 - 75, 50 - 75,0.74,10,2005,2,Left,27,90,-9999,5,Grassland/Prairie,NA,2005-03-02,19:32:14,{E43D83D2-0820-4281-9B70-799610E8D219},-93.40514565,37.11567452,EPSG:4326,15N 464006.331E 4107781.439N,UTM,EPSG:26915,Event,HumanObservation,Odocoileus virginianus,Species
