EventID,PeriodID,ParkCode,Route,SurveyNumber,Round,DeerDate,StartTime,BeginningTemperatureInCelsius,BeginningHumidityInPercent,BeginningWindInMetersPerSecond,BeginningWindDirectionInDegrees,BeginningPrecipitation,EndTime,EndingTemperatureInCelsius,EndingHumidityInPercent,EndingWindInMetersPerSecond,EndingWindDirectionInDegrees,EndingPrecipitation,MoonIlluminationInPercent,DeerTotal,BeginningCloudCoverInPercent,EndingCloudCoverInPercent,FieldNotes,dwcType,BasisofRecord,ScientificName,TaxonRank
ARPODeerSV2005Mar281923,ARPODeerSV2005Mar28,ARPO,Tour Road,1,A,2005-03-28,19:23:00,15.3,60.9,0,-9999,No rain,19:55:00,14.6,54.8,0,-9999,No rain,94,22,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar282023,ARPODeerSV2005Mar28,ARPO,Tour Road,1,B,2005-03-28,20:23:00,13.6,73.6,0,-9999,No rain,20:58:00,13.2,62.5,0,-9999,No rain,94,19,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar282123,ARPODeerSV2005Mar28,ARPO,Tour Road,1,C,2005-03-28,21:23:00,13.1,74.5,0,-9999,No rain,21:47:00,12.8,64.9,0.7,335,No rain,94,31,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar291030,ARPODeerSV2005Mar28,ARPO,Tour Road,2,DayA,2005-03-29,10:30:00,19,53.7,1.8,8,No rain,10:44:00,20.1,47.6,1.2,331,No rain,0,7, 5 - 25, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar291130,ARPODeerSV2005Mar28,ARPO,Tour Road,2,DayB,2005-03-29,11:30:00,20.7,49,6.1,8,No rain,11:43:00,21.8,40.8,2.3,342,No rain,0,0, 5 - 25, 5 - 25,No deer,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar291230,ARPODeerSV2005Mar28,ARPO,Tour Road,2,DayC,2005-03-29,12:30:00,21.5,39.5,7.3,323,No rain,12:43:00,22.8,34.7,2.8,335,No rain,0,0, 25 - 50, 25 - 50,No deer,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar291924,ARPODeerSV2005Mar28,ARPO,Tour Road,2,A,2005-03-29,19:24:00,19.6,43.1,2.2,20,No rain,19:48:00,18.6,47.6,0.7,323,No rain,88,28,Trace - 1,Trace - 1,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar292024,ARPODeerSV2005Mar28,ARPO,Tour Road,2,B,2005-03-29,20:24:00,19.5,40.6,4.8,357,No rain,20:48:00,19.1,44.6,0.4,350,No rain,88,25, 5 - 25, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar292124,ARPODeerSV2005Mar28,ARPO,Tour Road,2,C,2005-03-29,21:24:00,18,52.4,1.8,8,No rain,21:54:00,18,51.5,1.1,342,No rain,88,30, 1 - 5, 1 - 5,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar301030,ARPODeerSV2005Mar28,ARPO,Tour Road,3,DayA,2005-03-30,10:30:00,20.2,71.1,3.7,54,No rain,10:49:00,23.1,65.8,0.7,350,No rain,0,0, 95 - 100, 95 - 100,No deer,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar301130,ARPODeerSV2005Mar28,ARPO,Tour Road,3,DayB,2005-03-30,11:30:00,23.3,64.1,1.1,12,No rain,11:41:00,23.1,64.1,3.9,339,No rain,0,0, 75 - 95, 75 - 95,No deer,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar301230,ARPODeerSV2005Mar28,ARPO,Tour Road,3,DayC,2005-03-30,12:30:00,24.7,59,3.8,345,No rain,12:43:00,25.8,55.5,1.4,13,No rain,0,0, 50 - 75, 50 - 75,No deer,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar301925,ARPODeerSV2005Mar28,ARPO,Tour Road,3,A,2005-03-30,19:25:00,23.3,68.8,2.6,2,No rain,19:59:00,22.9,66.2,2.2,30,No rain,80,24,Trace - 1,Trace - 1,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar302025,ARPODeerSV2005Mar28,ARPO,Tour Road,3,B,2005-03-30,20:25:00,22.6,71,2.8,350,No rain,20:59:00,22.2,71.5,2.8,343,No rain,80,26, 5 - 25, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2005Mar302125,ARPODeerSV2005Mar28,ARPO,Tour Road,3,C,2005-03-30,21:25:00,21.3,78.5,3.2,346,No rain,21:51:00,21.3,78.2,2.7,33,No rain,80,28, 1 - 5, 1 - 5,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2006Jan031809,ARPODeerSV2006Jan03,ARPO,Tour Road,1,A,2006-01-03,18:09:00,14,62,1.1,340,No rain,18:32:00,13.8,57.8,0.5,0,No rain,14,7,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2006Jan031909,ARPODeerSV2006Jan03,ARPO,Tour Road,1,B,2006-01-03,19:09:00,12.6,60.8,1,340,No rain,19:29:00,14,56.5,0,-9999,No rain,14,9,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2006Jan032009,ARPODeerSV2006Jan03,ARPO,Tour Road,1,C,2006-01-03,20:09:00,13.3,57.4,2,340,No rain,20:41:00,14,53.8,1.1,330,No rain,14,17,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2006Jan041810,ARPODeerSV2006Jan03,ARPO,Tour Road,2,A,2006-01-04,18:10:00,15,49.1,1.2,174,No rain,18:32:00,15.3,49.3,1.3,136,No rain,23,6, 50 - 75, 50 - 75,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2006Jan041910,ARPODeerSV2006Jan03,ARPO,Tour Road,2,B,2006-01-04,19:10:00,14.8,50.4,2.2,176,No rain,19:28:00,14.9,50,1.5,138,No rain,23,7, 50 - 75, 50 - 75,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2006Jan042010,ARPODeerSV2006Jan03,ARPO,Tour Road,2,C,2006-01-04,20:10:00,14.6,49,1.3,174,No rain,20:44:00,15,48.9,0.9,189,No rain,23,16, 50 - 75, 50 - 75,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2006Jan051911,ARPODeerSV2006Jan03,ARPO,Tour Road,3,B,2006-01-05,19:11:00,10.2,42.1,1,168,No rain,19:37:00,9.9,42.3,1,166,No rain,33,14, 1 - 5, 1 - 5,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2006Jan052011,ARPODeerSV2006Jan03,ARPO,Tour Road,3,C,2006-01-05,20:11:00,9.4,43.5,1.5,174,No rain,20:37:00,9.6,42.5,2.3,153,No rain,33,9,Trace - 1,Trace - 1,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2007Feb201855,ARPODeerSV2007Feb20,ARPO,Tour Road,1,A,2007-02-20,18:55:00,17.7,79.9,5.4,22,No rain,19:19:00,17,79.9,1.3,36,No rain,9,0, 75 - 95, 50 - 75,No deer,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2007Feb211856,ARPODeerSV2007Feb20,ARPO,Tour Road,2,A,2007-02-21,18:56:00,16.6,78.3,0.7,58,No rain,19:21:00,16.2,71.5,0,-9999,No rain,17,5,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2007Feb222100,ARPODeerSV2007Feb20,ARPO,Tour Road,3,A,2007-02-22,21:00:00,14.3,42.7,3,184,No rain,21:19:00,14.4,35.6,2.1,209,No rain,27,14, 1 - 5, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Feb041838,ARPODeerSV2008Jan07,ARPO,Tour Road,4,A,2008-02-04,18:38:00,21.7,68.4,6.2,11,No rain,19:12:00,21.7,76.7,7.3,358,No rain,4,39, 25 - 50, 5 - 25,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Feb041938,ARPODeerSV2008Jan07,ARPO,Tour Road,4,B,2008-02-04,19:38:00,21.6,76.9,5.3,344,No rain,20:15:00,21.7,75.3,6.2,351,No rain,4,27, 5 - 25, 50 - 75,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Feb042038,ARPODeerSV2008Jan07,ARPO,Tour Road,4,C,2008-02-04,20:38:00,21.7,75.3,6.2,351,No rain,21:28:00,21.6,79.4,5.6,356,No rain,4,44, 50 - 75, 75 - 95,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Jan071819,ARPODeerSV2008Jan07,ARPO,Tour Road,1,A,2008-01-07,18:19:00,20.4,68.4,0.7,53,No rain,19:00:00,20.7,67.9,1.3,70,No rain,0,32, 75 - 95, 75 - 95,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Jan071912,ARPODeerSV2008Jan07,ARPO,Tour Road,1,B,2008-01-07,19:12:00,21.2,62.2,4.7,40,No rain,19:45:00,20.7,68.1,0.8,63,No rain,0,31, 75 - 95, 75 - 95,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Jan072012,ARPODeerSV2008Jan07,ARPO,Tour Road,1,C,2008-01-07,20:12:00,20.7,61.9,1.2,14,No rain,20:46:00,20.7,68.4,1.1,24,No rain,0,37, 95 - 100, 95 - 100,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Jan141818,ARPODeerSV2008Jan07,ARPO,Tour Road,2,A,2008-01-14,18:18:00,10.1,48.7,0,-9999,No rain,18:50:00,6.8,70.5,0,-9999,No rain,43,19,Trace - 1,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Jan141918,ARPODeerSV2008Jan07,ARPO,Tour Road,2,B,2008-01-14,19:18:00,6.4,76.7,0,-9999,No rain,19:48:00,5.7,78,0.7,356,No rain,43,23,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
ARPODeerSV2008Jan142018,ARPODeerSV2008Jan07,ARPO,Tour Road,2,C,2008-01-14,20:18:00,6.3,75.9,0.5,16,No rain,20:44:00,5.2,85,0,-9999,No rain,43,14,None present,None present,NA,Event,HumanObservation,Odocoileus virginianus,Species
