geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
1	37.10364242	37.10364242	-93.4023314	-93.4023314
2	37.09303374	37.09303374	-93.40342719	-93.40342719
3	37.09721264	37.09721264	-93.41139693	-93.41139693
4	37.10280183	37.10280183	-93.41588539	-93.41588539
5	37.10342594	37.10342594	-93.40251377	-93.40251377
6	37.10342374	37.10342374	-93.40251351	-93.40251351
7	37.0930516	37.0930516	-93.40342652	-93.40342652
8	37.09326881	37.09326881	-93.40347017	-93.40347017
9	37.11643731	37.11643731	-93.41378083	-93.41378083
10	37.11567452	37.11567452	-93.40514565	-93.40514565
11	37.11114959	37.11114959	-93.40068893	-93.40068893
12	37.10002578	37.10002578	-93.40442029	-93.40442029
13	37.09964645	37.09964645	-93.40438566	-93.40438566
14	37.09733517	37.09733517	-93.40406112	-93.40406112
15	37.09423066	37.09423066	-93.40363242	-93.40363242
16	37.09366115	37.09366115	-93.40351765	-93.40351765
17	37.09227588	37.09227588	-93.40350645	-93.40350645
18	37.09145393	37.09145393	-93.40491115	-93.40491115
19	37.09137787	37.09137787	-93.40525151	-93.40525151
20	37.09193794	37.09193794	-93.4038399	-93.4038399
21	37.09136682	37.09136682	-93.40537302	-93.40537302
22	37.09137931	37.09137931	-93.4059428	-93.4059428
23	37.09238061	37.09238061	-93.40731532	-93.40731532
24	37.09312103	37.09312103	-93.40758274	-93.40758274
25	37.09312643	37.09312643	-93.40758615	-93.40758615
26	37.09786708	37.09786708	-93.41161538	-93.41161538
27	37.0942447	37.0942447	-93.40360797	-93.40360797
28	37.09145849	37.09145849	-93.40490791	-93.40490791
29	37.09221467	37.09221467	-93.40723188	-93.40723188
30	37.09392156	37.09392156	-93.40778197	-93.40778197
31	37.09392001	37.09392001	-93.40777728	-93.40777728
32	37.09583922	37.09583922	-93.4100322	-93.4100322
33	37.09587376	37.09587376	-93.41075952	-93.41075952
34	37.09770461	37.09770461	-93.41150842	-93.41150842
35	37.11566781	37.11566781	-93.40477639	-93.40477639
36	37.11177803	37.11177803	-93.40123756	-93.40123756
37	37.09924608	37.09924608	-93.4043385	-93.4043385
38	37.09884533	37.09884533	-93.40427666	-93.40427666
39	37.0937455	37.0937455	-93.4035272	-93.4035272
40	37.09242879	37.09242879	-93.4034373	-93.4034373
41	37.09135619	37.09135619	-93.40543405	-93.40543405
42	37.09136834	37.09136834	-93.40588388	-93.40588388
43	37.09769737	37.09769737	-93.41148794	-93.41148794
44	37.10744577	37.10744577	-93.39911455	-93.39911455
45	37.10030574	37.10030574	-93.40439313	-93.40439313
46	37.09839083	37.09839083	-93.40421766	-93.40421766
47	37.09217746	37.09217746	-93.4036012	-93.4036012
48	37.11623949	37.11623949	-93.41339621	-93.41339621
49	37.11566875	37.11566875	-93.40530595	-93.40530595
50	37.11463916	37.11463916	-93.40221501	-93.40221501
51	37.10000762	37.10000762	-93.40440761	-93.40440761
52	37.09958575	37.09958575	-93.40438958	-93.40438958
53	37.09686609	37.09686609	-93.40399525	-93.40399525
54	37.09191146	37.09191146	-93.40388656	-93.40388656
55	37.09162287	37.09162287	-93.40664268	-93.40664268
56	37.09169923	37.09169923	-93.40674456	-93.40674456
57	37.09333561	37.09333561	-93.4076521	-93.4076521
58	37.09676123	37.09676123	-93.40398131	-93.40398131
59	37.09565996	37.09565996	-93.40836981	-93.40836981
60	37.11253412	37.11253412	-93.40162533	-93.40162533
61	37.11178665	37.11178665	-93.40125001	-93.40125001
62	37.09966482	37.09966482	-93.40438993	-93.40438993
63	37.09428213	37.09428213	-93.40361598	-93.40361598
64	37.09139577	37.09139577	-93.40511525	-93.40511525
65	37.09387301	37.09387301	-93.40777164	-93.40777164
66	37.09389869	37.09389869	-93.40778051	-93.40778051
67	37.09444702	37.09444702	-93.40782915	-93.40782915
68	37.09767868	37.09767868	-93.41150106	-93.41150106
69	37.11172289	37.11172289	-93.40121496	-93.40121496
70	37.09993196	37.09993196	-93.40442616	-93.40442616
71	37.0996443	37.0996443	-93.40440499	-93.40440499
72	37.09423382	37.09423382	-93.40361492	-93.40361492
73	37.09217632	37.09217632	-93.40360014	-93.40360014
74	37.091869	37.091869	-93.40396107	-93.40396107
75	37.0913677	37.0913677	-93.40531036	-93.40531036
76	37.09137299	37.09137299	-93.40587462	-93.40587462
77	37.097694	37.097694	-93.41151242	-93.41151242
78	37.09883032	37.09883032	-93.41349672	-93.41349672
79	37.1167066	37.1167066	-93.41442106	-93.41442106
80	37.11566749	37.11566749	-93.40518983	-93.40518983
81	37.11567523	37.11567523	-93.40488461	-93.40488461
82	37.11567805	37.11567805	-93.40428444	-93.40428444
83	37.10762011	37.10762011	-93.39902375	-93.39902375
84	37.09972687	37.09972687	-93.40440598	-93.40440598
85	37.10370258	37.10370258	-93.40227892	-93.40227892
86	37.09302738	37.09302738	-93.40342582	-93.40342582
87	37.10238692	37.10238692	-93.41566345	-93.41566345
88	37.11592895	37.11592895	-93.4166375	-93.4166375
89	37.11567484	37.11567484	-93.40531605	-93.40531605
90	37.09994216	37.09994216	-93.40442195	-93.40442195
91	37.09963345	37.09963345	-93.40440164	-93.40440164
92	37.09676223	37.09676223	-93.40398362	-93.40398362
93	37.09198949	37.09198949	-93.40378627	-93.40378627
94	37.09184776	37.09184776	-93.40399684	-93.40399684
95	37.09158207	37.09158207	-93.40458031	-93.40458031
96	37.09244334	37.09244334	-93.40732116	-93.40732116
97	37.09352928	37.09352928	-93.40771329	-93.40771329
98	36.44030538	36.44030538	-94.03778487	-94.03778487
99	36.44191812	36.44191812	-94.04938166	-94.04938166
100	36.44192647	36.44192647	-94.04948757	-94.04948757
101	36.45559526	36.45559526	-94.04615848	-94.04615848
102	36.45585948	36.45585948	-94.04474183	-94.04474183
103	36.44601404	36.44601404	-94.05191451	-94.05191451
104	36.44634978	36.44634978	-94.05183195	-94.05183195
105	36.45198881	36.45198881	-94.05134581	-94.05134581
106	36.45309838	36.45309838	-94.0508091	-94.0508091
107	36.46065737	36.46065737	-94.0249599	-94.0249599
108	36.45296113	36.45296113	-94.01619388	-94.01619388
109	36.44573232	36.44573232	-94.02632709	-94.02632709
110	34.0268326	34.0268326	-91.3439944	-91.3439944
111	34.02433819	34.02433819	-91.34320868	-91.34320868
112	34.0196078	34.0196078	-91.34519574	-91.34519574
113	34.02302515	34.02302515	-91.3509327	-91.3509327
114	34.02281279	34.02281279	-91.35137037	-91.35137037
115	34.02244796	34.02244796	-91.35181263	-91.35181263
116	34.02683329	34.02683329	-91.34420073	-91.34420073
117	34.02431424	34.02431424	-91.34321125	-91.34321125
118	34.01883616	34.01883616	-91.34616335	-91.34616335
119	34.0170017	34.0170017	-91.34515278	-91.34515278
120	34.02309814	34.02309814	-91.35046334	-91.35046334
121	34.02308429	34.02308429	-91.35060933	-91.35060933
122	34.02236533	34.02236533	-91.35189365	-91.35189365
123	34.0219371	34.0219371	-91.35228082	-91.35228082
124	34.02683382	34.02683382	-91.34387802	-91.34387802
125	34.02429613	34.02429613	-91.34320932	-91.34320932
126	34.02284559	34.02284559	-91.35133094	-91.35133094
127	34.02248617	34.02248617	-91.35178556	-91.35178556
128	34.02197827	34.02197827	-91.35223072	-91.35223072
129	34.01874003	34.01874003	-91.34629609	-91.34629609
130	34.0268615	34.0268615	-91.34652167	-91.34652167
131	34.02685397	34.02685397	-91.34604664	-91.34604664
132	34.02397463	34.02397463	-91.34322054	-91.34322054
133	34.02234193	34.02234193	-91.35192409	-91.35192409
134	34.02685548	34.02685548	-91.34712026	-91.34712026
135	36.44084234	36.44084234	-94.03209145	-94.03209145
136	36.45364946	36.45364946	-94.05046737	-94.05046737
137	36.4539599	36.4539599	-94.0501005	-94.0501005
138	36.45371682	36.45371682	-94.02159131	-94.02159131
139	36.45334122	36.45334122	-94.01680419	-94.01680419
140	36.44485857	36.44485857	-94.02669473	-94.02669473
141	36.4441635	36.4441635	-94.02697359	-94.02697359
142	36.44393169	36.44393169	-94.02709272	-94.02709272
143	36.44368061	36.44368061	-94.02716269	-94.02716269
144	36.4432037	36.4432037	-94.02801566	-94.02801566
145	36.44079512	36.44079512	-94.03224212	-94.03224212
146	36.4402986	36.4402986	-94.03757333	-94.03757333
147	36.44592428	36.44592428	-94.05193656	-94.05193656
148	36.45368436	36.45368436	-94.02172289	-94.02172289
149	36.44512754	36.44512754	-94.02658162	-94.02658162
150	36.44465495	36.44465495	-94.02677347	-94.02677347
151	36.44078073	36.44078073	-94.03227874	-94.03227874
152	36.44029643	36.44029643	-94.03768938	-94.03768938
153	36.4456113	36.4456113	-94.0520484	-94.0520484
154	36.45357237	36.45357237	-94.05051273	-94.05051273
155	36.45398718	36.45398718	-94.05004088	-94.05004088
156	36.45370746	36.45370746	-94.02153774	-94.02153774
157	36.44727443	36.44727443	-94.0255392	-94.0255392
158	36.44373453	36.44373453	-94.02714021	-94.02714021
159	36.44019122	36.44019122	-94.04496015	-94.04496015
160	36.45829851	36.45829851	-94.02207128	-94.02207128
161	36.45342208	36.45342208	-94.01709613	-94.01709613
162	36.44538288	36.44538288	-94.02648051	-94.02648051
163	36.44370274	36.44370274	-94.02716358	-94.02716358
164	36.44275353	36.44275353	-94.02875217	-94.02875217
165	36.46363687	36.46363687	-94.03631503	-94.03631503
166	36.44183223	36.44183223	-94.04897809	-94.04897809
167	36.45140598	36.45140598	-94.05147545	-94.05147545
168	36.46365302	36.46365302	-94.03641492	-94.03641492
169	36.44975799	36.44975799	-94.02134908	-94.02134908
170	36.44029162	36.44029162	-94.04778394	-94.04778394
171	36.44149698	36.44149698	-94.04850042	-94.04850042
172	36.4555731	36.4555731	-94.04623269	-94.04623269
173	36.45594987	36.45594987	-94.04438763	-94.04438763
174	36.4636243	36.4636243	-94.03692237	-94.03692237
175	36.46093817	36.46093817	-94.02578472	-94.02578472
176	36.45132346	36.45132346	-94.01862891	-94.01862891
177	36.45060756	36.45060756	-94.01991495	-94.01991495
178	36.44350103	36.44350103	-94.02750174	-94.02750174
179	36.44321785	36.44321785	-94.02798909	-94.02798909
180	36.44015512	36.44015512	-94.04526638	-94.04526638
181	36.46091494	36.46091494	-94.04101278	-94.04101278
182	36.45342739	36.45342739	-94.01709903	-94.01709903
183	36.46128324	36.46128324	-94.04071726	-94.04071726
184	36.46145061	36.46145061	-94.04058055	-94.04058055
185	36.4534196	36.4534196	-94.01709216	-94.01709216
186	36.45060857	36.45060857	-94.01987933	-94.01987933
187	36.44174502	36.44174502	-94.03046252	-94.03046252
188	36.44092969	36.44092969	-94.03189249	-94.03189249
189	36.44442677	36.44442677	-94.05233822	-94.05233822
190	36.44508821	36.44508821	-94.05225975	-94.05225975
191	36.44640031	36.44640031	-94.05182992	-94.05182992
192	36.45352494	36.45352494	-94.05055873	-94.05055873
193	36.45059586	36.45059586	-94.01988804	-94.01988804
194	36.45042457	36.45042457	-94.02017511	-94.02017511
195	36.44495766	36.44495766	-94.02664945	-94.02664945
196	36.44471957	36.44471957	-94.0267477	-94.0267477
197	36.44445538	36.44445538	-94.02685251	-94.02685251
198	36.44099414	36.44099414	-94.03176622	-94.03176622
199	36.44454763	36.44454763	-94.05234378	-94.05234378
200	36.44496522	36.44496522	-94.05229661	-94.05229661
201	36.44630647	36.44630647	-94.05183681	-94.05183681
202	36.45354552	36.45354552	-94.05054285	-94.05054285
203	36.45945092	36.45945092	-94.04543682	-94.04543682
204	36.45043016	36.45043016	-94.02019961	-94.02019961
205	36.45047352	36.45047352	-94.02013123	-94.02013123
206	36.44484853	36.44484853	-94.02669449	-94.02669449
207	36.44457981	36.44457981	-94.02680527	-94.02680527
208	36.4410061	36.4410061	-94.03174257	-94.03174257
209	36.44447182	36.44447182	-94.0523362	-94.0523362
210	36.44490966	36.44490966	-94.05231858	-94.05231858
211	36.44632723	36.44632723	-94.0518311	-94.0518311
212	36.45349684	36.45349684	-94.05057753	-94.05057753
213	36.45008957	36.45008957	-94.02077541	-94.02077541
214	36.44369638	36.44369638	-94.02715353	-94.02715353
215	36.44195232	36.44195232	-94.03010953	-94.03010953
216	36.4554972	36.4554972	-94.04649619	-94.04649619
217	36.4515841	36.4515841	-94.01817281	-94.01817281
218	36.45590009	36.45590009	-94.04456967	-94.04456967
219	36.46390619	36.46390619	-94.03260792	-94.03260792
220	36.44358512	36.44358512	-94.02744364	-94.02744364
221	36.44328054	36.44328054	-94.02786127	-94.02786127
222	36.44088043	36.44088043	-94.0320397	-94.0320397
223	36.44055229	36.44055229	-94.03293514	-94.03293514
224	36.44443898	36.44443898	-94.05232746	-94.05232746
225	36.44515579	36.44515579	-94.05221299	-94.05221299
226	36.4455026	36.4455026	-94.05209451	-94.05209451
227	36.44223212	36.44223212	-94.02965121	-94.02965121
228	36.44181943	36.44181943	-94.03035341	-94.03035341
229	36.44160142	36.44160142	-94.03068508	-94.03068508
230	36.44134852	36.44134852	-94.03113438	-94.03113438
