ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,TransectNumber,SampleLocation,Season,BankAngle_Degrees,BankVegCover_Percent,BankHeight_Meters,BankSubstrate,LargeTrees_TR,SmTreesShrubs_SH,GrassForbes_GR,BareRockSediment_BA,Artificial_AR,Comment,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,1,Left,2006,>60,50-80,>4,Boulder/cobble,FALSE,TRUE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,1,Right,2006,>60,>80,>4,Boulder/cobble,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,2,Left,2006,>60,<20,>4,Boulder/cobble,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,2,Right,2006,0-30,>80,1.1-2,Boulder/cobble,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,3,Left,2006,>60,>80,>4,Boulder/cobble,FALSE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,3,Right,2006,31-60,>80,3.1-4,Boulder/cobble,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,4,Left,2006,31-60,20-49,2.1-3,Boulder/cobble,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,4,Right,2006,0-30,50-80,1.1-2,Silt,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,5,Left,2006,0-30,50-80,0-1,Boulder/cobble,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,5,Right,2006,>60,>80,1.1-2,Boulder/cobble,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
