ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,SiteNumber,TransectNumber,SampleLocation,ChannelUnit,PoolForm,Width_Meters,Depth_Centimeters,Velocity_MetersPerSecond,Velocity_MetersPerSecond_flag,DominantWentworthSubstrate_Millimeters,WentworthMidpoint_Millimeters,EmbeddedCanopyCover,ECC_MidpointValue1_Percent,CanopyCover,ECC_MidpointValue2_Percent,Comment,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,main,1,11,Right,Pool,Mid-Channel Pool,33,85,0.02,A,45-64,54.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,1,2,Left,Riffle,NA,20,42,0.44,A,128-180,154,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,1,11,Right,Pool,Mid-Channel Pool,34,80,0.07,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,1,5,Middle,Riffle,NA,5,2,0.03,A,64-90,77,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,1,1,Left,Riffle-Run Complex,NA,24,50,0.34,A,32-45,38.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,1,6,Right,Glide,NA,36,52,0.03,A,32-45,38.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,1,7,Right,Pool,Mid-Channel Pool,29,92,0.01,A,256-362,309,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,1,10,Right,Pool,Mid-Channel Pool,33,96,0.07,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,1,4,Left,Riffle,NA,3.4,11,0.07,A,64-90,77,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,1,4,Middle,Riffle,NA,3.4,10,0.00999999977648258,A,45-64,54.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,1,4,Right,Riffle,NA,3.4,4,0.03,A,32-45,38.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,1,5,Left,Riffle,NA,4.2,4,0.01,A,45-64,54.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
