ParkName,ParkCode,LocationID,PeriodID,EventID,CloudCover_Percent,WindIntensity,PrecipitationType,PrecipitationIntensity,SH_Springs_Present,SH_StreamFlow_Description,WeatherComments,AdditionalComments,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,50,Calm,None,NA,FALSE,NA,NA,Rocky and open. difficult without boat; efficiency low above split due to deep water.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,100,Calm,Rain,Light,FALSE,NA,Rain showers early this morning,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,0,Light,None,NA,FALSE,NA,NA,sampling was not effective due to low conductivity. Fish were not  stunned long enough to capture. Settings were high barge @550volts and boat @ 400-450volts. Also PH was only calibrated at one point.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,60,Calm,None,NA,FALSE,NA,Rained earlier in the morning,Water a little turbid due to rain,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,0,Calm,None,NA,FALSE,NA,NA,Water up about half a foot and moderately turbid. Visibiity about 3 ft. Was able to see bottom along banks.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2013May20,BUFFRMFish2013May29,10,Light,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,15,Calm,None,NA,FALSE,NA,NA,water slightly turbid; difficult to see bottom in larger pool; backpack shocker quit working on side channel,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,80,Light,None,NA,FALSE,NA,NA,Water cloudy; could see~3 ft into water. Due to high rain/flood events diversity & abundance low,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2023May23,BUFFRMFISH2023May24,0,Calm,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,80,Light,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,50,Light,None,NA,FALSE,NA,NA,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2008May19,BUFFRMFish2008May22,10,Calm,None,NA,FALSE,NA,NA,0nly one point calibration for PH meter. Fish were hard to capture- felt the edge of the electric field and ran,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,100,Light,None,NA,FALSE,NA,cooler,Water higher than average.  Water clarity not clear--some milky coloration.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,40,Calm,None,NA,FALSE,NA,Rained day before in upper part of watershed,"Water up about a foot from ""Average"" Turbidity moderate - about 2 foot visibility.",Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,100,Light,None,NA,FALSE,NA,NA,Slight haze to water. but water levels normal.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,0,Calm,None,NA,FALSE,NA,NA,50+ canoes floated by during sampling. Difficult to sample - had to shut down electrofhising equipment due to canoes,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,30,Calm,None,NA,FALSE,NA,NA,lots of deposited gravel and sand; Upper portion of reach filled in with gravel,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2019May22,BUFFRMFISH2019Jun12,0,Light,None,NA,FALSE,NA,Water murky/cloudy. Visability about 3 ft.,Due to high rain/flood events diversity & abundance low,Event,HumanObservation
