ParkName,ParkCode,LocationID,PeriodID,EventID,SiteNumber,Beginning_Ending,TimeSampled_hhmm_mil,WaterTemp_Celcius,AirTemp_Celcius,pH,SpecificConductance_MicrosiemensPerCentimeter,Conductivity_MicrosiemensPerCentimeter,DissolvedOxygen_MilligramsPerLiter,SecchiTube_Centimeters,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,1,BEGINNING,10:00:00,16.5,16,7.17,93.5,71,8.32,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,1,ENDING,14:30:00,19.7,20,6.95,100.2,73,9.86,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,BEGINNING,09:50:00,16.5,21,8.13,77.1,58.5,9.67,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,ENDING,15:30:00,19.1,26,7.78,78.7,58,9.64,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,BEGINNING,10:09:00,16.6,22.5,7.7,92.4,69.4,6.48,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,ENDING,13:10:00,18.3,24.5,7.66,84.4,62.7,8.74,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,BEGINNING,09:29:00,16.7,23,7.52,93,78.3,8.34,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,ENDING,14:00:00,18.7,27,7.66,77.7,68.6,9.5,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,1,BEGINNING,09:13:00,13.6,20,5.72,68.7,58.4,11.49,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,1,ENDING,11:27:00,14.5,25,7.58,68,59.2,12.42,-999,Event,MachineObservation
