ParkName,ParkCode,PeriodID,Season,SamplingPeriods_StartDate,SamplingPeriods_EndDate,EventID,SamplingEvents_StartDate,SamplingEvents_EndDate,EventComments,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISH2007May21,2007,5/21/2007,6/20/2007,BUFFRMFish2007Jun20,6/20/2007,6/20/2007,stopped shocking for about 2omins during last 15 mins of shocking due to heavy rain. Water cleared and we continued shocking,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2007May21,2007,5/21/2007,6/20/2007,BUFFRMFish2007May29,5/29/2007,5/29/2007,stream was dry at mouth- had to move reach upstream of road crossing,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2007May21,2007,5/21/2007,6/20/2007,BUFFRMFish2007May22,5/22/2007,5/22/2007,rain showers early this morning,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2007May21,2007,5/21/2007,6/20/2007,BUFFRMFish2007May21,5/21/2007,5/21/2007,habitat reach was 180. fish reach was 232,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2010May17,2010,5/17/2010,6/25/2010,BUFFRMFish2010May27,5/27/2010,5/27/2010,Water up about half a foot and moderately turbid.  Visibility about 3 feet. Was able to see bottom along banks.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2012May21,2012,5/21/2012,6/30/2012,BUFFRMFish2012May22,5/22/2012,5/22/2012,water levels lower than levels sampled in 2008,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2013May20,2013,5/20/2013,6/30/2013,BUFFRMFish2013May28,5/28/2013,5/28/2013,Slight haze to water. but water levels normal.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2013May20,2013,5/20/2013,6/30/2013,BUFFRMFish2013Jun10,6/10/2013,6/10/2013,Bear Creek,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019Jun14,6/14/2019,6/14/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019May28,5/28/2019,5/29/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019May24,5/24/2019,5/24/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019May23,5/23/2019,5/23/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019May22,5/22/2019,5/22/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019Jun20,6/20/2019,6/20/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019Jun19,6/19/2019,6/19/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019Jun05,6/5/2019,6/5/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISH2019May22,2019,5/22/2019,6/20/2019,BUFFRMFISH2019Jun17,6/17/2019,6/17/2019,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,Event,HumanObservation
