ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,SiteNumber,SampleLocation,RiparianCover_0to25_Meters,RiparianCover_26to50_Meters,RiparianCover_51to75_Meters,RiparianCover_76to100_Meters,RiparianCover_GT100_Meters,StreamBankErosionCover,dwcType,dwcBasisOfRecord
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),6,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),6,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,3,Left,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,3,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,4,Left,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,2,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,5,Left,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,1,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,5,Left,Mature woodland,Mature woodland,Mature woodland,Mature woodland,Mature woodland,6,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,2,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),5,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,3,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),5,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,4,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),6,Event,HumanObservation
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,5,Right,Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),Wetlan/native grasses & forbes (prairie),6,Event,HumanObservation
