attributeName	code	definition
CanopyCover	Absent (0%)	Absent (0%)
CanopyCover	Heavy (40-75%)	Heavy (40-75%)
CanopyCover	Moderate (10-40%)	Moderate (10-40%)
CanopyCover	Sparse (<10%)	Sparse (<10%)
CanopyCover	Very Heavy (>75%)	Very Heavy (>75%)
ChannelType	Backwater_main	Backwater habitat off of the main channel
ChannelType	Backwater_side	Backwater habitat off of the side channel
ChannelType	Main	The channel that contains the majority of flow
ChannelType	Side channel	The channel that contains the lesser amount of flow
ChannelType	backwater_main	Backwater habitat off of the main channel
ChannelType	backwater_side	Backwater habitat off of the side channel
ChannelType	main	The channel that contains the majority of flow
ChannelType	side channel	The channel that contains the lesser amount of flow
ChannelUnit	Glide	Glide
ChannelUnit	Pool	Pool
ChannelUnit	Pool-Glide Complex	Pool-Glide Complex
ChannelUnit	Riffle	Riffle
ChannelUnit	Riffle-Run Complex	Riffle-Run Complex
ChannelUnit	Run/Race	Run/Race
DominantWentworthSubstrate_Millimeters	0.062-0.125	0.062-0.125 millimeters
DominantWentworthSubstrate_Millimeters	0.125-0.25	0.125-0.25 millimeters
DominantWentworthSubstrate_Millimeters	0.25-0.50	0.25-0.50 millimeters
DominantWentworthSubstrate_Millimeters	0.5-1	0.5-1 millimeters
DominantWentworthSubstrate_Millimeters	 1-2	 1-2 millimeters
DominantWentworthSubstrate_Millimeters	1024-4096	1024-4096 millimeters
DominantWentworthSubstrate_Millimeters	11.3-16	11.3-16 millimeters
DominantWentworthSubstrate_Millimeters	128-180	128-180 millimeters
DominantWentworthSubstrate_Millimeters	16-22.6	16-22.6 millimeters
DominantWentworthSubstrate_Millimeters	180-256	180-256 millimeters
DominantWentworthSubstrate_Millimeters	 2-4	 2-4 millimeters
DominantWentworthSubstrate_Millimeters	22.6-32	22.6-32 millimeters
DominantWentworthSubstrate_Millimeters	256-362	256-362 millimeters
DominantWentworthSubstrate_Millimeters	32-45	32-45 millimeters
DominantWentworthSubstrate_Millimeters	362-512	362-512 millimeters
DominantWentworthSubstrate_Millimeters	4-5.7	4-5.7 millimeters
DominantWentworthSubstrate_Millimeters	45-64	45-64 millimeters
DominantWentworthSubstrate_Millimeters	5.7-8	5.7-8 millimeters
DominantWentworthSubstrate_Millimeters	512-1024	512-1024 millimeters
DominantWentworthSubstrate_Millimeters	64-90	64-90 millimeters
DominantWentworthSubstrate_Millimeters	8-11.3	8-11.3 millimeters
DominantWentworthSubstrate_Millimeters	90-128	90-128 millimeters
DominantWentworthSubstrate_Millimeters	<0.062	<0.062 millimeters
DominantWentworthSubstrate_Millimeters	>4096	>4096 millimeters
EmbeddedCanopyCover	Absent (0%)	Absent (0%)
EmbeddedCanopyCover	Heavy (40-75%)	Heavy (40-75%)
EmbeddedCanopyCover	Moderate (10-40%)	Moderate (10-40%)
EmbeddedCanopyCover	Sparse (<10%)	Sparse (<10%)
EmbeddedCanopyCover	Very Heavy (>75%)	Very Heavy (>75%)
ParkCode	BUFO	Buffalo National River
ParkCode	EFMO	Effigy Mounds National Monument
ParkCode	GWCA	George Washington Carver National Monument
ParkCode	HEHO	Herbert Hoover National Historic Site
ParkCode	HOME	Homestead National Monument of America
ParkCode	HOSP	Hot Springs National Park
ParkCode	OZAR	Ozark National Scenic Riverways
ParkCode	PERI	Pea Ridge National Military Park
ParkCode	PIPE	Pipestone National Monument
ParkCode	TAPR	Tallgrass Prairie National Preserve
ParkCode	WICR	Wilson's Creek National Battlefield
PoolForm	Backwater Pool	Backwater Pool
PoolForm	Bluff Pool	Bluff Pool
PoolForm	Lateral Pool	Lateral Pool
PoolForm	Mid-Channel Pool	Mid-Channel Pool
PoolForm	Obstruction Pool	Obstruction Pool
SampleLocation	Left	Left of sample location
SampleLocation	Middle	Middle of sample location
SampleLocation	Right	Right of sample location
Velocity_MetersPerSecond_flag	A	Accepted
Velocity_MetersPerSecond_flag	R	Rejected
dwcBasisOfRecord	HumanObservation	An output of a human observation process.
dwcType	Event	An action that occurs at some location during some time.
