attributeName	code	definition
County	Allamakee	Allamakee
County	Benton	Benton
County	Carter	Carter
County	Cedar	Cedar
County	Chase	Chase
County	Christian	Christian
County	Dent	Dent
County	Gage	Gage
County	Garland	Garland
County	Greene	Greene
County	Marion	Marion
County	Newton	Newton
County	Pipestone	Pipestone
County	Searcy	Searcy
County	Shannon	Shannon
LocationType	Mainstem	Mainstem
LocationType	Spring	Spring
LocationType	Tributary	Tributary
ParkCode	BUFF	Buffalo National River
ParkCode	EFMO	Effigy Mounds National Monument
ParkCode	GWCA	George Washington Carver National Monument
ParkCode	HEHO	Herbert Hoover National Historic Site
ParkCode	HOME	Homestead National Monument of America
ParkCode	HOSP	Hot Springs National Park
ParkCode	OZAR	Ozark National Scenic Riverways
ParkCode	PERI	Pea Ridge National Military Park
ParkCode	PIPE	Pipestone National Monument
ParkCode	TAPR	Tallgrass Prairie National Preserve
ParkCode	WICR	Wilson's Creek National Battlefield
dwcBasisOfRecord	HumanObservation	An output of a human observation process.
dwcType	Event	An action that occurs at some location during some time.
