attributeName	code	definition
ParkCode	BUFF	Buffalo National River
ParkCode	EFMO	Effigy Mounds National Monument
ParkCode	GWCA	George Washington Carver National Monument
ParkCode	HEHO	Herbert Hoover National Historic Site
ParkCode	HOME	Homestead National Monument of America
ParkCode	HOSP	Hot Springs National Park
ParkCode	OZAR	Ozark National Scenic Riverways
ParkCode	PERI	Pea Ridge National Military Park
ParkCode	PIPE	Pipestone National Monument
ParkCode	TAPR	Tallgrass Prairie National Preserve
ParkCode	WICR	Wilson's Creek National Battlefield
PrecipitationIntensity	Light	Light precipitation
PrecipitationIntensity	Moderate	Moderate precipitation
PrecipitationType	None	No precipitation
PrecipitationType	Rain	Rain
SH_Springs_Present	FALSE	Spring absent
SH_Springs_Present	TRUE	Spring present
WindIntensity	Calm	Calm wind
WindIntensity	Light	Light wind
WindIntensity	Moderate	Moderate wind
dwcBasisOfRecord	HumanObservation	An output of a human observation process.
dwcType	Event	An action that occurs at some location during some time.
