attributeName	code	definition
Beginning_Ending	BEGINNING	Water quality measured at beginning of event period at the site number
Beginning_Ending	ENDING	Water quality measured at end of event period at the site number
ParkCode	BUFF	Buffalo National River
ParkCode	EFMO	Effigy Mounds National Monument
ParkCode	GWCA	George Washington Carver National Monument
ParkCode	HEHO	Herbert Hoover National Historic Site
ParkCode	HOME	Homestead National Monument of America
ParkCode	HOSP	Hot Springs National Park
ParkCode	OZAR	Ozark National Scenic Riverways
ParkCode	PIPE	Pipestone National Monument
ParkCode	TAPR	Tallgrass Prairie National Preserve
ParkCode	WICR	Wilson's Creek National Battlefield
dwcBasisOfRecord	MachineObservation	An output of a machine observation process.
dwcType	Event	An action that occurs at some location during some time.
