attributeName	code	definition
Bedrock	0	none; DaubenmireCoverMidpoint: 0
Bedrock	1	trace; DaubenmireCoverMidpoint: 0.5
Bedrock	2	1-5%; DaubenmireCoverMidpoint: 3.5
Bedrock	3	5-25%; DaubenmireCoverMidpoint: 15
Bedrock	4	25-50%; DaubenmireCoverMidpoint: 37.5
Bedrock	5	50-75%; DaubenmireCoverMidpoint: 62.5
Bedrock	6	75-95%; DaubenmireCoverMidpoint: 85
Bedrock	7	95-100%; DaubenmireCoverMidpoint: 97.5
Boulder	0	none; DaubenmireCoverMidpoint: 0
Boulder	1	trace; DaubenmireCoverMidpoint: 0.5
Boulder	2	1-5%; DaubenmireCoverMidpoint: 3.5
Boulder	3	5-25%; DaubenmireCoverMidpoint: 15
Boulder	4	25-50%; DaubenmireCoverMidpoint: 37.5
Boulder	5	50-75%; DaubenmireCoverMidpoint: 62.5
Boulder	6	75-95%; DaubenmireCoverMidpoint: 85
ChannelType	main	The channel that contains the majority of flow
Coarse_gravel	0	none; DaubenmireCoverMidpoint: 0
Coarse_gravel	1	trace; DaubenmireCoverMidpoint: 0.5
Coarse_gravel	2	1-5%; DaubenmireCoverMidpoint: 3.5
Coarse_gravel	3	5-25%; DaubenmireCoverMidpoint: 15
Coarse_gravel	4	25-50%; DaubenmireCoverMidpoint: 37.5
Coarse_gravel	5	50-75%; DaubenmireCoverMidpoint: 62.5
Coarse_gravel	6	75-95%; DaubenmireCoverMidpoint: 85
Cobble	0	none; DaubenmireCoverMidpoint: 0
Cobble	1	trace; DaubenmireCoverMidpoint: 0.5
Cobble	2	1-5%; DaubenmireCoverMidpoint: 3.5
Cobble	3	5-25%; DaubenmireCoverMidpoint: 15
Cobble	4	25-50%; DaubenmireCoverMidpoint: 37.5
Cobble	5	50-75%; DaubenmireCoverMidpoint: 62.5
Cobble	6	75-95%; DaubenmireCoverMidpoint: 85
Detritus	0	none; DaubenmireCoverMidpoint: 0
Detritus	1	trace; DaubenmireCoverMidpoint: 0.5
Detritus	2	1-5%; DaubenmireCoverMidpoint: 3.5
Detritus	3	5-25%; DaubenmireCoverMidpoint: 15
Detritus	4	25-50%; DaubenmireCoverMidpoint: 37.5
Hardpan_shale	0	none; DaubenmireCoverMidpoint: 0
Hardpan_shale	1	trace; DaubenmireCoverMidpoint: 0.5
Hardpan_shale	2	1-5%; DaubenmireCoverMidpoint: 3.5
Hardpan_shale	3	5-25%; DaubenmireCoverMidpoint: 15
Hardpan_shale	4	25-50%; DaubenmireCoverMidpoint: 37.5
Hardpan_shale	5	50-75%; DaubenmireCoverMidpoint: 62.5
Hardpan_shale	6	75-95%; DaubenmireCoverMidpoint: 85
Muck	0	none; DaubenmireCoverMidpoint: 0
Muck	1	trace; DaubenmireCoverMidpoint: 0.5
Muck	2	1-5%; DaubenmireCoverMidpoint: 3.5
Muck	3	5-25%; DaubenmireCoverMidpoint: 15
Muck	4	25-50%; DaubenmireCoverMidpoint: 37.5
Muck	5	50-75%; DaubenmireCoverMidpoint: 62.5
Muck	6	75-95%; DaubenmireCoverMidpoint: 85
Muck	7	95-100%; DaubenmireCoverMidpoint: 97.5
ParkCode	HOME	Homestead National Monument of America
ParkCode	PIPE	Pipestone National Monument
ParkCode	TAPR	Tallgrass Prairie National Preserve
Pea_gravel	0	none; DaubenmireCoverMidpoint: 0
Pea_gravel	1	trace; DaubenmireCoverMidpoint: 0.5
Pea_gravel	2	1-5%; DaubenmireCoverMidpoint: 3.5
Pea_gravel	3	5-25%; DaubenmireCoverMidpoint: 15
Pea_gravel	4	25-50%; DaubenmireCoverMidpoint: 37.5
Pea_gravel	5	50-75%; DaubenmireCoverMidpoint: 62.5
Sand	0	none; DaubenmireCoverMidpoint: 0
Sand	1	trace; DaubenmireCoverMidpoint: 0.5
Sand	2	1-5%; DaubenmireCoverMidpoint: 3.5
Sand	3	5-25%; DaubenmireCoverMidpoint: 15
Sand	4	25-50%; DaubenmireCoverMidpoint: 37.5
Sand	5	50-75%; DaubenmireCoverMidpoint: 62.5
Sand	6	75-95%; DaubenmireCoverMidpoint: 85
Sand	7	95-100%; DaubenmireCoverMidpoint: 97.5
Silt	0	none; DaubenmireCoverMidpoint: 0
Silt	1	trace; DaubenmireCoverMidpoint: 0.5
Silt	2	1-5%; DaubenmireCoverMidpoint: 3.5
Silt	3	5-25%; DaubenmireCoverMidpoint: 15
Silt	4	25-50%; DaubenmireCoverMidpoint: 37.5
Silt	5	50-75%; DaubenmireCoverMidpoint: 62.5
Silt	6	75-95%; DaubenmireCoverMidpoint: 85
Silt	7	95-100%; DaubenmireCoverMidpoint: 97.5
dwcBasisOfRecord	HumanObservation	An output of a human observation process.
dwcType	Event	An action that occurs at some location during some time.
