geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
HOMELOW01	40.29	40.29	-96.835	-96.835
HOMEUPP01	40.285	40.285	-96.841	-96.841
PIPELOW01	44.016	44.016	-96.326	-96.326
PIPEMID01	44.014	44.014	-96.324	-96.324
PIPEUPP01	44.015	44.015	-96.321	-96.321
PIPEABV01	44.015	44.015	-96.319	-96.319
TAPRMID12	38.418	38.418	-96.505	-96.505
TAPRMID10	38.413	38.413	-96.536	-96.536
TAPRUPP10	38.417	38.417	-96.531	-96.531
TAPRMID05	38.413	38.413	-96.559	-96.559
TAPRMID04	38.417	38.417	-96.563	-96.563
TAPRLOW24	38.411	38.411	-96.584	-96.584
TAPRMID24	38.423	38.423	-96.585	-96.585
TAPRLOW02	38.43	38.43	-96.557	-96.557
TAPRMID02	38.43	38.43	-96.567	-96.567
TAPRMID23	38.444	38.444	-96.594	-96.594
TAPRUPP01	38.448	38.448	-96.576	-96.576
TAPRMID01	38.44	38.44	-96.561	-96.561
TAPRLOW01	38.437	38.437	-96.557	-96.557
TAPRLOW22	38.463	38.463	-96.565	-96.565
TAPRUPL22	38.465	38.465	-96.573	-96.573
TAPRUPR22	38.46	38.46	-96.576	-96.576
TAPRMID18	38.486	38.486	-96.592	-96.592
TAPRLOW34	38.495	38.495	-96.595	-96.595
TAPRUPP36	38.493	38.493	-96.591	-96.591
TAPRUPP17	38.495	38.495	-96.587	-96.587
TAPRLOW17	38.493	38.493	-96.586	-96.586
TAPRMID36	38.492	38.492	-96.586	-96.586
TAPRLOW35	38.436	38.436	-96.549	-96.549
EFMOUPP01	43.09	43.09	-91.216	-91.216
HEHOLOW01	41.67	41.67	-91.349	-91.349
HEHOUPP02	41.67	41.67	-91.353	-91.353
GWCALOW03	36.99	36.99	-94.359	-94.359
GWCALOW02	36.989	36.989	-94.356	-94.356
GWCALOW01	36.988	36.988	-94.355	-94.355
HOSPLOW02	34.517	34.517	-93.11	-93.11
HOSPLOW01	34.528	34.528	-93.034	-93.034
WICRLOW03	37.098	37.098	-93.414	-93.414
WICRLOW02	37.088	37.088	-93.403	-93.403
WICRLOW04	37.081	37.081	-93.42	-93.42
CURRM01	37.417	37.417	-91.604	-91.604
CURRM02	37.316	37.316	-91.452	-91.452
CURRM03	37.274	37.274	-91.398	-91.398
CURRM04	37.152	37.152	-91.171	-91.171
CURRT08	37.13	37.13	-91.181	-91.181
CURRM05	37.139	37.139	-91.139	-91.139
CURRT13	37.038	37.038	-91.066	-91.066
CURRM06	36.853	36.853	-90.93	-90.93
JACKM01	37.053	37.053	-91.652	-91.652
JACKM02	37.055	37.055	-91.566	-91.566
JACKM03	37.108	37.108	-91.5	-91.5
JACKT02	37.163	37.163	-91.426	-91.426
CURRT02	37.202	37.202	-91.32	-91.32
CURRT07	37.186	37.186	-91.173	-91.173
CURRT09	37.14	37.14	-91.13	-91.13
CURRT11	37.064	37.064	-91.051	-91.051
JACKT01	37.054	37.054	-91.571	-91.571
CURRT01	37.439	37.439	-91.621	-91.621
CURRT03	37.194	37.194	-91.284	-91.284
CURRT04	37.183	37.183	-91.265	-91.265
JACKT03	37.17	37.17	-91.303	-91.303
CURRT06	37.181	37.181	-91.21	-91.21
CURRT12	37.051	37.051	-91.063	-91.063
CURRT15	37.415	37.415	-91.609	-91.609
CURRT14	37.305	37.305	-91.406	-91.406
CURRT16	37.25	37.25	-91.33	-91.33
OZARSPRWEL	37.394	37.394	-91.574	-91.574
OZARSPRPUL	37.335	37.335	-91.49	-91.49
OZARSPRROU	37.282	37.282	-91.408	-91.408
OZARSPRALL	37.154	37.154	-91.441	-91.441
OZARSPRBLU	37.166	37.166	-91.162	-91.162
OZARSPRBIG	36.952	36.952	-90.993	-90.993
OZARSPRPHI	36.836	36.836	-90.945	-90.945
BUFFM01	35.974	35.974	-93.397	-93.397
BUFFM02	36.037	36.037	-93.105	-93.105
BUFFT09	36.033	36.033	-93.112	-93.112
BUFFM03	36	36	-93.006	-93.006
BUFFM04	35.982	35.982	-92.776	-92.776
BUFFM05	36.011	36.011	-92.682	-92.682
BUFFT22	36.02	36.02	-92.588	-92.588
BUFFM06	36.096	36.096	-92.498	-92.498
BUFFT03	35.992	35.992	-93.401	-93.401
BUFFT31	36.109	36.109	-92.427	-92.427
BUFFT30	36.084	36.084	-92.427	-92.427
BUFFT24	36.072	36.072	-92.552	-92.552
BUFFT05	36.08	36.08	-93.222	-93.222
BUFFT07	36.061	36.061	-93.135	-93.135
BUFFT12	35.993	35.993	-93.084	-93.084
BUFFT13	35.972	35.972	-93.047	-93.047
BUFFT15	36.01	36.01	-92.956	-92.956
BUFFT16	36.012	36.012	-92.952	-92.952
BUFFT19	35.974	35.974	-92.772	-92.772
BUFFT21	35.999	35.999	-92.685	-92.685
BUFFT25	36.087	36.087	-92.557	-92.557
BUFFT28	36.132	36.132	-92.509	-92.509
BUFFT33	36.152	36.152	-92.416	-92.416
BUFFT04	36.059	36.059	-93.311	-93.311
BUFFT01	35.945	35.945	-93.395	-93.395
BUFFT06	36.08	36.08	-93.207	-93.207
BUFFT08	36.052	36.052	-93.117	-93.117
BUFFT10	36.025	36.025	-93.1	-93.1
BUFFT11	36.001	36.001	-93.085	-93.085
BUFFT14	35.995	35.995	-93.003	-93.003
BUFFT17	35.923	35.923	-92.898	-92.898
BUFFT20	35.989	35.989	-92.699	-92.699
BUFFT23	36.051	36.051	-92.58	-92.58
BUFFT27	36.132	36.132	-92.547	-92.547
BUFFT29	36.072	36.072	-92.474	-92.474
BUFFT32	36.135	36.135	-92.433	-92.433
