name	name_type	name_resolved	authority_system	authority_id
Ambloplites ariommus	scientific	Ambloplites ariommus	GBIF Backbone Taxonomy	2394517
Ambloplites constellatus	scientific	Ambloplites constellatus	GBIF Backbone Taxonomy	2394513
Ameiurus melas	scientific	Ameiurus melas	GBIF Backbone Taxonomy	2340977
Ameiurus natalis	scientific	Ameiurus natalis	GBIF Backbone Taxonomy	2340969
Campostoma anomalum	scientific	Campostoma anomalum	GBIF Backbone Taxonomy	2361357
Campostoma	scientific	Campostoma	GBIF Backbone Taxonomy	2361338
Catostomus commersonii	scientific	Catostomus commersonii	GBIF Backbone Taxonomy	2359014
Chrosomus erythrogaster	scientific	Chrosomus erythrogaster	GBIF Backbone Taxonomy	2365382
Cottus bairdii	scientific	Cottus bairdii	GBIF Backbone Taxonomy	2334131
Cottus carolinae	scientific	Cottus carolinae	GBIF Backbone Taxonomy	2334072
Cottus immaculatus	scientific	Cottus immaculatus	GBIF Backbone Taxonomy	5962227
Cottus	scientific	Cottus	GBIF Backbone Taxonomy	2334066
Notropis greenei	scientific	Notropis greenei	GBIF Backbone Taxonomy	2362277
Cyprinella lutrensis	scientific	Cyprinella lutrensis	GBIF Backbone Taxonomy	5207666
Erimyzon claviformis	scientific	Erimyzon claviformis	GBIF Backbone Taxonomy	5962904
Erimystax harryi	scientific	Erimystax harryi	GBIF Backbone Taxonomy	2362097
Etheostoma autumnale	scientific	Etheostoma autumnale	GBIF Backbone Taxonomy	5853466
Etheostoma caeruleum	scientific	Etheostoma caeruleum	GBIF Backbone Taxonomy	2382341
Etheostoma cragini	scientific	Etheostoma cragini	GBIF Backbone Taxonomy	2382268
Etheostoma euzonum erizonum	scientific	Etheostoma euzonum erizonum	GBIF Backbone Taxonomy	NA
Etheostoma euzonum	scientific	Etheostoma euzonum	GBIF Backbone Taxonomy	2382395
Etheostoma flabellare	scientific	Etheostoma flabellare	GBIF Backbone Taxonomy	2382246
Etheostoma juliae	scientific	Etheostoma juliae	GBIF Backbone Taxonomy	2382294
Etheostoma mihileze	scientific	Etheostoma mihileze	GBIF Backbone Taxonomy	5853467
Etheostoma nigrum	scientific	Etheostoma nigrum	GBIF Backbone Taxonomy	2382319
Etheostoma radiosum	scientific	Etheostoma radiosum	GBIF Backbone Taxonomy	2382258
Etheostoma spectabile	scientific	Etheostoma spectabile	GBIF Backbone Taxonomy	2382332
Etheostoma	scientific	Etheostoma	GBIF Backbone Taxonomy	2382199
Etheostoma uniporum	scientific	Etheostoma uniporum	GBIF Backbone Taxonomy	2382354
Fundulus catenatus	scientific	Fundulus catenatus	GBIF Backbone Taxonomy	5203654
Hybopsis amblops	scientific	Hybopsis amblops	GBIF Backbone Taxonomy	2366620
Hypentelium nigricans	scientific	Hypentelium nigricans	GBIF Backbone Taxonomy	2358931
Ichthyomyzon	scientific	Ichthyomyzon	GBIF Backbone Taxonomy	2421239
Ichthyomyzon castaneus	scientific	Ichthyomyzon castaneus	GBIF Backbone Taxonomy	2421240
Ichthyomyzon fossor	scientific	Ichthyomyzon fossor	GBIF Backbone Taxonomy	2421249
Ichthyomyzon gagei	scientific	Ichthyomyzon gagei	GBIF Backbone Taxonomy	2421246
Lampetra aepyptera	scientific	Lampetra aepyptera	GBIF Backbone Taxonomy	5216490
Lampetra	scientific	Lampetra	GBIF Backbone Taxonomy	2421329
Lepomis humilis x megalotis	scientific	Lepomis humilis x megalotis	GBIF Backbone Taxonomy	NA
Lepomis megalotis	scientific	Lepomis megalotis	GBIF Backbone Taxonomy	2394510
Lethenteron appendix	scientific	Lethenteron appendix	GBIF Backbone Taxonomy	2421396
Luxilus cardinalis	scientific	Luxilus cardinalis	GBIF Backbone Taxonomy	2366982
Luxilus chrysocephalus	scientific	Luxilus chrysocephalus	GBIF Backbone Taxonomy	2366993
Luxilus cornutus	scientific	Luxilus cornutus	GBIF Backbone Taxonomy	2366967
Luxilus pilsbryi	scientific	Luxilus pilsbryi	GBIF Backbone Taxonomy	2366961
Luxilus zonatus	scientific	Luxilus zonatus	GBIF Backbone Taxonomy	2366990
Lythrurus umbratilis	scientific	Lythrurus umbratilis	GBIF Backbone Taxonomy	2366052
Micropterus dolomieu	scientific	Micropterus dolomieu	GBIF Backbone Taxonomy	5211250
Minytrema melanops	scientific	Minytrema melanops	GBIF Backbone Taxonomy	2358945
Moxostoma carinatum	scientific	Moxostoma carinatum	GBIF Backbone Taxonomy	2358998
Moxostoma duquesnii	scientific	Moxostoma duquesnii	GBIF Backbone Taxonomy	2358983
Moxostoma erythrurum	scientific	Moxostoma erythrurum	GBIF Backbone Taxonomy	2358966
Moxostoma pisolabrum	scientific	Moxostoma pisolabrum	GBIF Backbone Taxonomy	2358979
Moxostoma	scientific	Moxostoma	GBIF Backbone Taxonomy	2358961
