ParkName,ParkCode,LocationID,PeriodID,EventID,TransectNumber,SampleLocation,SampleLocationDescr,ChannelType,ChannelTypeDescr,HydroMoss_HY,Boulders_BO,Artificial_AR,SmallWoodDeb_SWD,LargeWoodDeb_LWD,TreesRoots_TR,OverhangVeg_OV,UndercutBank_UC,Bluff_BL,Comment
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,1,L,Left,main,The channel that contains the majority of flow,0,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,1,M,Middle,main,The channel that contains the majority of flow,0,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,1,R,Right,main,The channel that contains the majority of flow,-1,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,2,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,2,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,2,R,Right,main,The channel that contains the majority of flow,-1,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,3,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,3,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,3,R,Right,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,4,L,Left,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,4,M,Middle,main,The channel that contains the majority of flow,0,0,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,4,R,Right,main,The channel that contains the majority of flow,-1,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,5,L,Left,main,The channel that contains the majority of flow,0,-1,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,5,M,Middle,main,The channel that contains the majority of flow,0,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,5,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,6,L,Left,main,The channel that contains the majority of flow,0,-1,0,-1,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,6,M,Middle,main,The channel that contains the majority of flow,0,-1,0,0,0,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,6,R,Right,main,The channel that contains the majority of flow,0,0,0,-1,0,0,0,0,0,
