ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00
Buffalo National River,BUFF,BUFFRMFISHBM02,02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00
Buffalo National River,BUFF,BUFFRMFISHBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00
Buffalo National River,BUFF,BUFFRMFISHBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,620,1975.00
Buffalo National River,BUFF,BUFFRMFISHBM05,05,Mainstem,,Buffalo River,,Searcy,73,BUFFM05,560,2478.00
Buffalo National River,BUFF,BUFFRMFISHBM06,06,Mainstem,,Buffalo River,,Marion,87,BUFFM06,726,2988.00
Buffalo National River,BUFF,BUFFRMFISHBT01,01,Tributary,First riffle above water crossing,Smith Creek,Smith,Newton,279,BUFFT01,150,22.00
Buffalo National River,BUFF,BUFFRMFISHBT02,02,Tributary,,Moore Creek,Moore,Newton,481,BUFFT02,,14.00
Buffalo National River,BUFF,BUFFRMFISHBT03,03,Tributary,Whiteley Creek - US Hwy 21; upstream of Hwy,Whiteley Creek,Whiteley,Newton,640,BUFFT03,150,14.00
Buffalo National River,BUFF,BUFFRMFISHBT04,04,Tributary,Sneeds Creek. Downstream boundary is located at large boulder in center of channel 2 riffles upstream of stretch,Sneeds Creek,Sneeds,Newton,441,BUFFT04,150,12.00
Buffalo National River,BUFF,BUFFRMFISHBT05,05,Tributary,end of fish reach located at second riffle upstream of second slab. Upper end of site located at bottom of riffle next to waterfall,Cecil Creek,Cecil,Newton,462,BUFFT05,232,59.00
Buffalo National River,BUFF,BUFFRMFISHBT06,06,Tributary,Began at second riffle up from confluence with Buffalo River,Glade Creek,Glade,Newton,403,BUFFT06,150,6.00
Buffalo National River,BUFF,BUFFRMFISHBT07,07,Tributary,Mill creek at Pruitt,Mill Creek,Mill,Newton,646,BUFFT07,180,55.00
Buffalo National River,BUFF,BUFFRMFISHBT08,08,Tributary,Downstream boundry located at 2nd riffle from confluence with Buffalo River; Vanishing Creek,Vanishing Creek,Vanishing,Newton,229,BUFFT08,150,4.00
Buffalo National River,BUFF,BUFFRMFISHBT09,09,Tributary,Little Buffalo,Little Buffalo,Little Buffalo,Newton,420,BUFFT09,260,371.00
Buffalo National River,BUFF,BUFFRMFISHBT10,10,Tributary,Reach begins ~ 50m upstream of confluence with Buffalo. Begins at head of 2nd riffle.,Wells Creek,Wells,Newton,638,BUFFT10,150,31.00
Buffalo National River,BUFF,BUFFRMFISHBT11,11,Tributary,Reach begins ~130m below road crossing & ends ~20m upstream of road crossing,Rock Creek,Rock,Newton,317,BUFFT11,150,16.00
Buffalo National River,BUFF,BUFFRMFISHBT12,12,Tributary,located 1.5 miles from Hasty; lower reach boundry located at riffle just upstream of second road crossing,Sheldon Branch,Sheldon Branch,Newton,242,BUFFT12,150,8.00
