ParkName,ParkCode,LocationID,PeriodID,EventID,Pct_CloudCover,WindIntensity,PrecipitationType,PrecipitationIntensity,SH_Springs_Present,SH_StreamFlow_Description,WeatherComments,AdditionalComments
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,50,Calm,None,N/A,0,unknown,,Rocky and open. difficult without boat; efficiency low above split due to deep water.
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,100,Calm,Rain,Light,0,unknown,Rain showers early this morning,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,0,Light,None,N/A,0,unknown,,sampling was not effective due to low conductivity. Fish were not  stunned long enough to capture. Settings were high barge @550volts and boat @ 400-450volts. Also PH was only calibrated at one point.
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,60,Calm,None,N/A,0,unknown,Rained earlier in the morning,Water a little turbid due to rain
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,0,Calm,None,N/A,0,unknown,,Water up about half a foot and moderately turbid. Visibiity about 3 ft. Was able to see bottom along banks.
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2013May20,BUFFRMFish2013May29,10,Light,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,15,Calm,None,N/A,0,unknown,,water slightly turbid; difficult to see bottom in larger pool; backpack shocker quit working on side channel
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,0,Calm,None,N/A,0,unknown,,
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2019May22,BUFFRMFISH2019May23,80,Light,None,N/A,0,unknown,,Water cloudy; could see~3 ft into water. Due to high rain/flood events diversity & abundance low
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2023May23,BUFFRMFISH2023May24,0,Calm,None,N/A,0,unknown,,
