ParkName,ParkCode,LocationID,PeriodID,EventID,SiteNumber,Beginning_Ending,TimeSampled_hhmm_mil,WaterTemp_C,AirTemp_C,pH,SpecificConductance_microScm,Conductivity_microScm,DissolvedOxygen_mgL,SecchiTube,Units
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,1,BEGINNING,12/30/1899 10:00:00,16.50,16.00,7.17,93.50,71.00,8.32,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY23,1,ENDING,12/30/1899 14:30:00,19.70,20.00,6.95,100.20,73.00,9.86,120.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,BEGINNING,12/30/1899 9:50:00,16.50,21.00,8.13,77.10,58.50,9.67,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,1,ENDING,12/30/1899 15:30:00,19.10,26.00,7.78,78.70,58.00,9.64,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,BEGINNING,12/30/1899 10:09:00,16.60,22.50,7.70,92.40,69.40,6.48,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,1,ENDING,12/30/1899 13:10:00,18.30,24.50,7.66,84.40,62.70,8.74,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,BEGINNING,12/30/1899 9:29:00,16.70,23.00,7.52,93.00,78.30,8.34,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2009May19,BUFFRMFish2009May27,1,ENDING,12/30/1899 14:00:00,18.70,27.00,7.66,77.70,68.60,9.50,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,1,BEGINNING,12/30/1899 9:13:00,13.60,20.00,5.72,68.70,58.40,11.49,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2010May17,BUFFRMFish2010May27,1,ENDING,12/30/1899 11:27:00,14.50,25.00,7.58,68.00,59.20,12.42,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2013May20,BUFFRMFish2013May29,1,BEGINNING,12/30/1899 9:29:00,17.20,22.50,8.48,97.00,81.40,8.07,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2013May20,BUFFRMFish2013May29,1,ENDING,12/30/1899 12:00:00,17.90,25.00,8.07,85.30,73.70,9.10,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,1,BEGINNING,12/30/1899 10:04:00,17.70,27.00,7.53,77.10,66.40,9.38,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFrmfish2015May22,BUFFrmfish2015Jun05,1,ENDING,12/30/1899 13:04:00,19.90,33.00,7.63,78.20,70.60,10.40,-999.00,metric
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2017May24,BUFFRMFISH2017May31,1,BEGINNING,12/30/1899 10:05:00,17.30,24.00,7.56,95.10,79.50,10.77,-999.00,metric
