ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,SiteNumber,Season,Muck,Detritus,Silt,Sand,Pea_gravel,Coarse_gravel,Cobble,Boulder,Bedrock,Hardpan_shale
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,1,2004,6,2,3,3,1,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,2,2004,3,2,2,6,0,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,3,2004,2,2,2,6,2,0,0,2,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,4,2004,2,2,2,6,2,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2004Sep13,HOMEShiner2004Sep13,main,5,2004,2,2,3,6,2,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,1,2006,0,0,1,7,1,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,2,2006,0,0,1,7,1,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,3,2006,0,0,1,7,1,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,4,2006,0,0,1,7,2,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2006Aug31,HOMEShiner2006Aug31,main,5,2006,3,0,2,6,2,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,1,2008,3,2,3,5,2,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,2,2008,2,2,3,6,2,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,3,2008,3,2,3,6,2,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,4,2008,0,2,2,5,3,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2008Aug27,HOMEShiner2008Aug27,main,5,2008,2,2,3,6,2,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,1,2011,0,3,1,5,2,0,2,0,0,4
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,2,2011,0,2,1,5,2,0,0,0,0,4
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,3,2011,0,2,0,5,2,0,0,0,0,4
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,4,2011,0,2,1,6,2,0,0,0,0,3
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2011Sep20,HOMEShiner2011Sep20,main,5,2011,0,3,1,5,2,0,0,0,0,4
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,1,2015,5,3,4,3,2,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,2,2015,6,2,2,0,0,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,3,2015,6,2,2,3,1,0,0,0,0,2
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,4,2015,6,2,2,3,0,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2015Sep03,HOMEShiner2015Sep03,main,5,2015,3,2,3,5,0,0,0,0,0,3
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,1,2017,3,2,6,3,2,1,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,2,2017,3,2,6,2,3,1,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,3,2017,3,2,6,2,2,1,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,4,2017,3,2,6,2,2,2,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2017Sep07,HOMEShiner2017Sep07,main,5,2017,3,2,6,2,3,1,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,1,2023,5,3,4,0,0,0,0,0,0,0
Homestead National Monument of America,HOME,HOMEShiner01lower,HOMEShiner2023Sep07,HOMEShiner2023Sep07,main,2,2023,6,3,3,0,0,0,0,0,0,0
