geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
PERI_InvPla_97	36.446769	36.446769	-94.024529	-94.024529
PERI_InvPla_116	36.449462	36.449462	-94.008782	-94.008782
PERI_InvPla_117	36.452029	36.452029	-94.005661	-94.005661
PERI_InvPla_118	36.454605	36.454605	-94.002543	-94.002543
PERI_InvPla_36	36.451648	36.451648	-94.049843	-94.049843
PERI_InvPla_37	36.454226	36.454226	-94.046721	-94.046721
PERI_InvPla_38	36.456803	36.456803	-94.0436	-94.0436
PERI_InvPla_39	36.45938	36.45938	-94.040478	-94.040478
PERI_InvPla_40	36.461957	36.461957	-94.037356	-94.037356
PERI_InvPla_46	36.443972	36.443972	-94.052895	-94.052895
PERI_InvPla_19	36.468553	36.468553	-94.040673	-94.040673
PERI_InvPla_27	36.461902	36.461902	-94.043668	-94.043668
PERI_InvPla_28	36.464479	36.464479	-94.040546	-94.040546
PERI_InvPla_29	36.467033	36.467033	-94.037424	-94.037424
PERI_InvPla_30	36.469344	36.469344	-94.033831	-94.033831
PERI_InvPla_31	36.470995	36.470995	-94.031538	-94.031538
PERI_InvPla_68	36.43757	36.43757	-94.049619	-94.049619
PERI_InvPla_69	36.439428	36.439428	-94.047289	-94.047289
PERI_InvPla_70	36.441586	36.441586	-94.043396	-94.043396
PERI_InvPla_71	36.444083	36.444083	-94.040273	-94.040273
PERI_InvPla_76	36.456967	36.456967	-94.024663	-94.024663
PERI_InvPla_77	36.459539	36.459539	-94.021543	-94.021543
PERI_InvPla_78	36.461819	36.461819	-94.01832	-94.01832
PERI_InvPla_79	36.467063	36.467063	-94.011802	-94.011802
PERI_InvPla_80	36.468234	36.468234	-94.009066	-94.009066
PERI_InvPla_92	36.467119	36.467119	-94.005995	-94.005995
PERI_InvPla_93	36.468628	36.468628	-94.004008	-94.004008
PERI_InvPla_98	36.449345	36.449345	-94.021407	-94.021407
PERI_InvPla_99	36.451922	36.451922	-94.018285	-94.018285
PERI_InvPla_100	36.454498	36.454498	-94.015162	-94.015162
PERI_InvPla_101	36.457075	36.457075	-94.012039	-94.012039
PERI_InvPla_102	36.459651	36.459651	-94.008916	-94.008916
PERI_InvPla_103	36.462227	36.462227	-94.005793	-94.005793
PERI_InvPla_104	36.464293	36.464293	-94.002917	-94.002917
PERI_InvPla_105	36.442697	36.442697	-94.025069	-94.025069
PERI_InvPla_106	36.444565	36.444565	-94.021451	-94.021451
PERI_InvPla_107	36.446823	36.446823	-94.018218	-94.018218
PERI_InvPla_120	36.447882	36.447882	-94.005581	-94.005581
PERI_InvPla_121	36.449508	36.449508	-94.002493	-94.002493
PERI_InvPla_122	36.452118	36.452118	-94.000573	-94.000573
ARPO_InvPla_100	34.018124	34.018124	-91.348845	-91.348845
ARPO_InvPla_104	34.016457	34.016457	-91.349342	-91.349342
ARPO_InvPla_107	34.01282	34.01282	-91.344738	-91.344738
ARPO_InvPla_109	34.013113	34.013113	-91.343035	-91.343035
ARPO_InvPla_113	34.011551	34.011551	-91.343131	-91.343131
ARPO_InvPla_114	34.011492	34.011492	-91.342094	-91.342094
ARPO_InvPla_129	33.983823	33.983823	-91.258296	-91.258296
ARPO_InvPla_95	34.01883	34.01883	-91.346852	-91.346852
