"ParkName","ParkCode","dwcType","dwcBasisOfRecord","CalYr","scientificName","DataReleaseID","dbhInCentimeters"
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_89c",9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_89f",7.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_89i",16.1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_89i",12.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90a",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90a",12.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90a",3.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90a",7.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90a",10.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90a",6.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90b",13.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90c",7.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90c",14.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90e",13.1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90e",7.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90f",4.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90f",3.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90f",4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90f",4.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90g",10.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90g",3.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90g",5.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90g",2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90h",15.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_90h",20.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91a",16.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91b",9.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91b",4.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91b",2.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91b",11.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91c",4.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91c",4.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91c",9.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91c",4.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91c",9.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91d",9.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_91g",8.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_73b",11.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_73d",4.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_73g",4.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_73h",5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_73h",1.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76a",7.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",6.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",2.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",2.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",2.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",11
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",5.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",3.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_54i",6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_52c",5.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_52c",11.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_52d",1.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_52f",1.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_52g",2.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_72f",1.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_65i",15.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_59b",7.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_59b",10.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_59c",8.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_59e",9.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_59e",10.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_59g",12.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_59g",8.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_59h",9.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_59h",6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_58b",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_58e",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_58g",1.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61a",6.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61a",9.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61a",9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61a",7.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61b",5.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61c",5.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61c",6.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61c",2.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61c",3.1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61c",3.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61c",2.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61c",2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61e",8.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61e",9.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61e",9.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61e",1.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61e",2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61e",3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",7.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",5.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",2.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",1.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",10
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",8.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",3.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",4.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",3.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",4.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",6.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",4.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",3.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",3.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",1.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",1.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",3.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",1.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",1.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",3.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",1.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",5.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61f",5.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_61g",2.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76a",2.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76b",8.1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76b",10.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76b",2.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76b",6.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76b",13.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76b",9.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76b",8.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76c",3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76c",10.1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76c",2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76c",4.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76c",5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76e",8.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76f",4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76f",5.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76g",7.1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76g",9.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76g",5.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76g",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76g",2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76g",5.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76i",6.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76i",3.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76i",5.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76i",5.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76i",4.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76i",3.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_76i",4.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75b",9.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75b",2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75b",7.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75e",3.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75e",2.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75e",14.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75f",8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75f",3.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75f",3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75f",3.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75h",5.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84a",5.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84a",4.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84a",9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84a",9.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84b",3.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84b",7.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84c",3.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84e",9.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84e",7.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84e",6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84e",6.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84h",7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84h",3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",4.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",1.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",1.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",3.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",2.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",1.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_84i",1.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",6.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",3.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",3.1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",3.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",5.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",2.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_75i",4.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_80b",2.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",2006,"Juniperus virginiana","A_80c",1.5
