"ParkName","ParkCode","dwcType","dwcBasisOfRecord","CalYr","scientificName","GridSizeInMeters","DataReleaseID","DensityClass","ClassRange","LowerBound","UpperBound","Midpoint"
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_100a",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_100b",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_100c",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_100d",1,"1 - 10",1,9,5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_100e",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_100f",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_100g",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_100h",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_100i",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_101a",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_101b",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_101c",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_101d",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_101e",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_101f",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_101g",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_101h",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_101i",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_102a",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_102b",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_102c",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_102d",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_102e",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_102f",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_102g",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_102h",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_102i",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_103a",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_103b",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_103c",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_103d",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_103e",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_103f",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_103g",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_103h",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_103i",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_104a",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_104b",1,"1 - 10",1,9,5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_104c",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_104d",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_104e",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_104f",0,"0",0,0,0
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation",1997,"Physaria filiformis",5,"A_104g",0,"0",0,0,0
