"ParkName","ParkCode","dwcType","dwcBasisOfRecord","PeriodDescriptor","CalYr","scientificName","DataReleaseID","Reading_No","PAR_CanopyInMicroMolePerMeterSquaredPerSecond","PAR_FullSunInMicroMolePerMeterSquaredPerSecond"
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_66i",1,1574.5,1920.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_66i",2,213.4,1818
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_66i",3,319.1,1742.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_66i",4,1624.7,1767.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_67f",1,288.1,1897.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_67f",2,493.6,1996.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_67f",3,1158.5,2049
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_67f",4,1733.6,1955.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_68d",1,140.75,2053
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_68d",2,84.39,2047
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_68d",3,356.2,2085
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_68d",4,150.26,2068
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_72c",1,1978.8,1906.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_72c",2,1251.5,1948.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_72c",3,1862.3,1846.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_72c",4,1627.5,1307.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_72e",1,1864.2,1611.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_72e",2,891.4,1254.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_72e",3,582.3,656.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_72e",4,770.4,643.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_73b",1,1820.5,1932.2
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_73b",2,966.5,1939.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_73b",3,1724.7,1909.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_73b",4,486.3,1954.1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_73i",1,1979.3,2095
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_73i",2,1961.7,1999.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_73i",3,1914.5,1914.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_73i",4,1988.7,1923
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_74a",1,2066,1704.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_74a",2,1544.6,1404.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_74a",3,1894.5,1981.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_74a",4,1678.5,1945.4
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_74g",1,1283.7,2016
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_74g",2,1852.3,1792.7
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_74g",3,1577.5,2011
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_74g",4,1928,2024
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75a",1,1977.4,2005
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75a",2,783,1976.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75a",3,1655.2,2034
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75a",4,1914.7,2038
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75b",1,1808.1,1988.8
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75b",2,1591.6,2000
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75b",3,1900.6,2015
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75b",4,1807.4,1881.3
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75i",1,709.6,1857.1
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75i",2,369.1,1940.6
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75i",3,621.7,1923.5
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_75i",4,823.2,2017
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_76b",1,144.86,1929.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_76b",2,231.4,1927.9
"Wilson's Creek National Battlefield","WICR","Event","HumanObservation","Spring",2007,"Physaria filiformis","A_76b",3,730.7,1882.9
