attributeName	code	definition
DensityClass	-1	Not sampled
DensityClass	0	No plants
DensityClass	1	1-9 plants
DensityClass	2	10-49 plants
DensityClass	3	50-99 plants
DensityClass	4	100-499 plants
DensityClass	5	500-999 plants
DensityClass	6	1,000-4,999 plants
DensityClass	7	>5,000 plants
ClassRange	0	No plants
ClassRange	1 - 10	1-9 plants
ClassRange	10 - 50	10-49 plants
ClassRange	100 - 500	100-499 plants
ClassRange	1000 - 5000	1000-4999 plants
ClassRange	50 - 100	50-99 plants
ClassRange	500 - 1000	500-999 plants
ClassRange	5000 - 10000	5,000-9,999 plants
ClassRange	Not Sampled	Not sampled
ParkCode	WICR	Wilson's Creek National Battlefield
ParkName	Wilson's Creek National Battlefield	Wilson's Creek National Battlefield
dwcBasisOfRecord	HumanObservation	Observation made in-person
dwcType	Event	An occurence of sampling
