ID,YEAR,PLANTID,PHENOLOGY,PopUnit,HEIGHTCM,FLOWERPOSI,HeightInfl_cm,FlwrStage,FlwrCond,COMMENTS,TypeFlower,GPS_DATE,GPS_TIME,dwcType,dwcBasisOfRecord
1,1993,1,Reproductive,A,77,13,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
2,1993,2,Reproductive,A,62,9,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
3,1993,3,Reproductive,A,56,10,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
4,1993,4,Reproductive,A,59,11,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
5,1993,5,Reproductive,A,61,5,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
6,1993,6,Reproductive,A,58,5,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
7,1993,7,Reproductive,A,58,8,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
8,1993,8,Reproductive,A,77,15,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
9,1993,9,Reproductive,A,63,8,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
10,1993,10,Reproductive,A,63,13,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
11,1993,11,Reproductive,A,47,8,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
12,1993,12,Reproductive,A,62,8,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
13,1993,13,Reproductive,A,56,9,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
14,1993,14,Reproductive,B,59,9,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
15,1993,15,Reproductive,B,56,9,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
16,1993,16,Reproductive,A,73,20,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
17,1993,17,Reproductive,A,62,11,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
18,1993,18,Reproductive,A,53,8,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
19,1993,19,Reproductive,A,60,13,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
20,1993,20,Reproductive,A,50,9,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
21,1993,21,Reproductive,A,54,9,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
22,1993,22,Reproductive,A,47,6,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
23,1993,23,Reproductive,A,54,9,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
24,1993,24,Reproductive,A,58,13,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
25,1993,25,Reproductive,A,52,3,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
26,1993,26,Reproductive,A,57,5,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
28,1993,27,Reproductive,A,62,9,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
29,1993,28,Reproductive,A,82,13,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
30,1993,29,Reproductive,A,56,9,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
31,1993,30,Reproductive,A,63,10,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
32,1993,31,Reproductive,A,53,6,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
33,1993,32,Reproductive,A,58,6,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
34,1993,33,Reproductive,A,57,11,NA,NA,NA,NA,Flowers Produced,1993-07-13,NA,event,HumanObservation
35,1994,1,Reproductive,A,63,8,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
36,1994,2,Reproductive,A,70,7,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
37,1994,3,Reproductive,A,49,5,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
38,1994,4,Reproductive,A,48,5,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
39,1994,5,Reproductive,A,74,15,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
40,1994,6,Reproductive,A,63,8,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
41,1994,7,Reproductive,A,66,15,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
42,1994,8,Reproductive,A,55,3,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
43,1994,9,Reproductive,A,61,12,NA,NA,NA,NA,Flowers Produced,1994-07-20,NA,event,HumanObservation
