verbatimTimestamps,five_cmDepth_m3WaterContent,five_cmDepth_CSoilTemperature,ten_cmDepth_m3WaterContent,ten_cmDepth_CSoilTemperature,twenty_cmDepth_m3WaterContent,twentycmDepth_CSoilTemperature,thirty_cmDepth_m3WaterContent,thirty_cmDepth_CSoilTemperature,forty_cmDepth_m3WaterContent,forty_cmDepth_CSoilTemperature,PrimaryKeyID,eventDate,eventTime,dwcType,dwcBasisOfRecord
4/9/2015 20:00,0.364,4.5,0.358,3.2,0.343,1.6,0.266,1,0.242,0.5,1,2015-04-09,20:00-05:00,event,MachineObservation
4/9/2015 22:00,0.381,3.4,0.364,2.4,0.361,1.2,0.275,0.6,0.247,0.2,2,2015-04-09,22:00-05:00,event,MachineObservation
4/10/2015 0:00,0.381,2.4,0.368,1.8,0.362,1,0.278,0.6,0.247,0.2,3,2015-04-10,00:00-05:00,event,MachineObservation
4/10/2015 2:00,0.381,1.7,0.369,1.4,0.363,0.9,0.281,0.6,0.247,0.2,4,2015-04-10,02:00-05:00,event,MachineObservation
4/10/2015 4:00,0.381,1.3,0.37,1,0.364,0.8,0.283,0.6,0.248,0.2,5,2015-04-10,04:00-05:00,event,MachineObservation
4/10/2015 6:00,0.381,0.9,0.37,0.8,0.364,0.7,0.284,0.6,0.248,0.2,6,2015-04-10,06:00-05:00,event,MachineObservation
4/10/2015 8:00,0.381,0.8,0.369,0.6,0.364,0.6,0.285,0.6,0.249,0.2,7,2015-04-10,08:00-05:00,event,MachineObservation
4/10/2015 10:00,0.38,0.6,0.368,0.5,0.364,0.6,0.285,0.6,0.25,0.2,8,2015-04-10,10:00-05:00,event,MachineObservation
4/10/2015 12:00,0.381,0.6,0.37,0.4,0.364,0.6,0.286,0.6,0.251,0.2,9,2015-04-10,12:00-05:00,event,MachineObservation
4/10/2015 14:00,0.382,1.5,0.37,0.5,0.365,0.6,0.287,0.6,0.251,0.2,10,2015-04-10,14:00-05:00,event,MachineObservation
4/10/2015 16:00,0.383,3.8,0.369,1.4,0.366,0.6,0.288,0.6,0.252,0.2,11,2015-04-10,16:00-05:00,event,MachineObservation
4/10/2015 18:00,0.383,5.9,0.37,2.7,0.366,0.9,0.288,0.6,0.253,0.2,12,2015-04-10,18:00-05:00,event,MachineObservation
4/10/2015 20:00,0.383,6.7,0.365,3.7,0.367,1.3,0.289,0.6,0.254,0.2,13,2015-04-10,20:00-05:00,event,MachineObservation
4/10/2015 22:00,0.383,5.9,0.365,3.9,0.367,1.7,0.29,0.6,0.256,0.2,14,2015-04-10,22:00-05:00,event,MachineObservation
4/11/2015 0:00,0.383,4.5,0.365,3.4,0.368,1.7,0.29,0.6,0.257,0.2,15,2015-04-11,00:00-05:00,event,MachineObservation
4/11/2015 2:00,0.383,3.2,0.365,2.7,0.368,1.7,0.29,0.6,0.259,0.2,16,2015-04-11,02:00-05:00,event,MachineObservation
4/11/2015 4:00,0.383,2.3,0.365,2.1,0.368,1.5,0.291,0.6,0.262,0.2,17,2015-04-11,04:00-05:00,event,MachineObservation
4/11/2015 6:00,0.383,1.8,0.369,1.6,0.368,1.2,0.292,0.6,0.265,0.2,18,2015-04-11,06:00-05:00,event,MachineObservation
4/11/2015 8:00,0.383,1.4,0.365,1.2,0.368,1,0.292,0.6,0.267,0.2,19,2015-04-11,08:00-05:00,event,MachineObservation
4/11/2015 10:00,0.383,1.1,0.364,1,0.368,0.9,0.293,0.6,0.269,0.2,20,2015-04-11,10:00-05:00,event,MachineObservation
4/11/2015 12:00,0.383,1.5,0.365,0.9,0.369,0.8,0.294,0.6,0.271,0.2,21,2015-04-11,12:00-05:00,event,MachineObservation
4/11/2015 14:00,0.383,3.3,0.364,1.5,0.369,0.8,0.295,0.6,0.272,0.2,22,2015-04-11,14:00-05:00,event,MachineObservation
4/11/2015 16:00,0.383,5.6,0.364,2.6,0.369,1,0.295,0.6,0.274,0.2,23,2015-04-11,16:00-05:00,event,MachineObservation
4/11/2015 18:00,0.383,7.2,0.364,3.8,0.368,1.5,0.296,0.6,0.275,0.2,24,2015-04-11,18:00-05:00,event,MachineObservation
4/11/2015 20:00,0.384,7.7,0.365,4.7,0.368,1.9,0.297,0.7,0.276,0.2,25,2015-04-11,20:00-05:00,event,MachineObservation
4/11/2015 22:00,0.384,7.4,0.365,5,0.369,2.3,0.298,0.7,0.278,0.2,26,2015-04-11,22:00-05:00,event,MachineObservation
4/12/2015 0:00,0.384,6.6,0.365,4.8,0.369,2.5,0.3,0.8,0.279,0.2,27,2015-04-12,00:00-05:00,event,MachineObservation
4/12/2015 2:00,0.384,6,0.365,4.5,0.368,2.6,0.301,0.8,0.28,0.2,28,2015-04-12,02:00-05:00,event,MachineObservation
4/12/2015 4:00,0.383,5.5,0.365,4.2,0.368,2.5,0.302,0.8,0.281,0.2,29,2015-04-12,04:00-05:00,event,MachineObservation
4/12/2015 6:00,0.383,5.1,0.365,3.9,0.368,2.4,0.304,0.8,0.282,0.2,30,2015-04-12,06:00-05:00,event,MachineObservation
