YEAR,CountOfPopUnit,UnitCode,dwcType,dwcBasisOfRecord
1993,31,A,event,HumanObservation
1993,2,B,event,HumanObservation
1994,18,A,event,HumanObservation
1995,37,A,event,HumanObservation
1996,55,A,event,HumanObservation
1997,3,A,event,HumanObservation
1998,0,A,event,HumanObservation
1999,16,A,event,HumanObservation
2000,125,A,event,HumanObservation
2001,95,A,event,HumanObservation
2002,124,A,event,HumanObservation
2003,221,A,event,HumanObservation
2004,146,A,event,HumanObservation
2005,149,A,event,HumanObservation
2006,100,A,event,HumanObservation
2006,1,C,event,HumanObservation
2007,1,A,event,HumanObservation
2008,10,A,event,HumanObservation
2009,28,A,event,HumanObservation
2010,92,A,event,HumanObservation
2011,645,A,event,HumanObservation
2011,39,C,event,HumanObservation
2012,722,A,event,HumanObservation
2012,35,C,event,HumanObservation
2013,243,A,event,HumanObservation
2013,5,C,event,HumanObservation
2014,306,A,event,HumanObservation
2014,3,B,event,HumanObservation
2014,9,C,event,HumanObservation
2015,462,A,event,HumanObservation
2015,2,B,event,HumanObservation
2015,3,C,event,HumanObservation
2016,746,A,event,HumanObservation
2016,8,B,event,HumanObservation
2016,29,C,event,HumanObservation
2016,3,D,event,HumanObservation
2017,493,A,event,HumanObservation
2017,12,C,event,HumanObservation
2017,2,D,event,HumanObservation
2018,790,A,event,HumanObservation
2018,5,B,event,HumanObservation
2018,24,C,event,HumanObservation
2018,16,D,event,HumanObservation
2019,613,A,event,HumanObservation
2019,5,B,event,HumanObservation
2019,42,C,event,HumanObservation
2019,84,D,event,HumanObservation
2020,114,A,event,HumanObservation
2020,8,C,event,HumanObservation
2020,53,D,event,HumanObservation
2021,0,A,event,HumanObservation
2022,0,A,event,HumanObservation
