SubmetricID,MetricNo,SubmetricNo,Submet_Value,Submet_Order,Submet_Desc,Submet_Score
1,1,1,>50 acres (>20.2ha),7,Wetland Area (size),6.00
2,1,1,25 to <50 acres (10.1 to <20.2ha),6,Wetland Area (size),5.00
3,1,1,10 to <25 acres (4 to <10.1ha),5,Wetland Area (size),4.00
4,1,1,3 to <10 acres (1.2 to <4ha),4,Wetland Area (size),3.00
5,1,1,0.3 to <3 acres (0.12 to <1.2ha),3,Wetland Area (size),2.00
6,1,1,0.1 to <0.3 acres (0.04 to <0.12ha),2,Wetland Area (size),1.00
7,1,1,<0.1 acres (0.04ha) (0 pts),1,Wetland Area (size),0.00
8,2,2a,WIDE.   Buffers average 50m (164ft) or more around wetland perimeter ,4,Average Buffer,7.00
9,2,2a,MEDIUM.   Buffers average 25m to <50m (82 to <164ft) around wetland perimeter ,3,Average Buffer,4.00
10,2,2a,NARROW.   Buffers average 10m   to <25m (32ft to <82ft) around wetland perimeter,2,Average Buffer,1.00
11,2,2a,VERY NARROW.   Buffers average <10m (<32ft) around wetland perimeter ,1,Average Buffer,0.00
12,2,2b,VERY LOW.   2nd growth or older forest, prairie, savannah, wildlife area, etc. ,1,Intensity of Surrounding Land Use,7.00
13,2,2b,LOW.   Old field (>10 years), shrubland, young second growth forest.,2,Intensity of Surrounding Land Use,5.00
14,2,2b,MODERATELY HIGH.   Residential, fenced pasture, park, conservation tillage, new fallow field,3,Intensity of Surrounding Land Use,3.00
15,2,2b,HIGH.   Urban, industrial, open pasture, row cropping, mining, construction,4,Intensity of Surrounding Land Use,1.00
16,3,3a,High pH groundwater,1,Source of Water,5.00
17,3,3a,Other groundwater,2,Source of Water,3.00
18,3,3a,Precipitation ,3,Source of Water,1.00
19,3,3a,Seasonal/Intermittent surface water,4,Source of Water,3.00
20,3,3a,Perennial surface water (lake or stream) ,5,Source of Water,5.00
21,3,3b,100 year floodplain ,1,Connectivity,1.00
22,3,3b,Between stream/lake and other human use ,2,Connectivity,1.00
23,3,3b,Part of wetland/upland (e.g. forest), complex,3,Connectivity,1.00
24,3,3b,Part of riparian or upland corridor,4,Connectivity,1.00
25,3,3c,>0.7 (27.6in),1,Water Depth,3.00
26,3,3c,0.4 to 0.7m (15.7 to 27.6in),2,Water Depth,2.00
27,3,3c,<0.4m (<15.7in) ,3,Water Depth,1.00
28,3,3d,Semi- to permanently inundated/saturated ,1,Duration Inundation / Saturation,4.00
29,3,3d,Regularly inundated/saturated,2,Duration Inundation / Saturation,3.00
30,3,3d,Seasonally inundated,3,Duration Inundation / Saturation,2.00
31,3,3d,Seasonally saturated in upper 30cm (12in),4,Duration Inundation / Saturation,1.00
32,3,3e,None or none apparent,1,Hydrological Modifications,12.00
33,3,3e,Recovered,2,Hydrological Modifications,7.00
34,3,3e,Recovering,3,Hydrological Modifications,3.00
